Date,Confirmed
2020-05-01,40
2020-05-02,40
2020-05-03,46
2020-05-04,51
2020-05-05,51
2020-05-06,52
2020-05-07,52
2020-05-08,53
2020-05-09,57
2020-05-10,57
2020-05-11,70
2020-05-12,70
2020-05-13,70
2020-05-14,70
2020-05-15,81
2020-05-16,81
2020-05-17,82
2020-05-18,88
2020-05-19,88
2020-05-20,88
2020-05-21,90
2020-05-22,90
2020-05-23,109
2020-05-24,109
2020-05-25,109
2020-05-26,112
2020-05-27,120
2020-05-28,123
2020-05-29,123
2020-05-30,125
2020-05-31,125
2020-06-01,125
2020-06-02,129
2020-06-03,129
2020-06-04,131
2020-06-05,135
2020-06-06,135
2020-06-07,135
2020-06-08,135
2020-06-09,137
2020-06-10,139
2020-06-11,139
2020-06-12,141
2020-06-13,143
2020-06-14,144
2020-06-15,146
2020-06-16,146
2020-06-17,148
2020-06-18,150
2020-06-19,154
2020-06-20,155
2020-06-21,155
2020-06-22,155
2020-06-23,156
2020-06-24,159
2020-06-25,161
2020-06-26,161
2020-06-27,164
2020-06-28,166
2020-06-29,169
2020-06-30,172
2020-07-01,183
2020-07-02,192
2020-07-03,192
2020-07-04,205
2020-07-05,208
2020-07-06,209
2020-07-07,210
2020-07-08,217
2020-07-09,219
2020-07-10,220
2020-07-11,221
2020-07-12,224
2020-07-13,226
2020-07-14,235
2020-07-15,252
2020-07-16,252
2020-07-17,256
2020-07-18,257
2020-07-19,257
2020-07-20,278
2020-07-21,293
2020-07-22,307
2020-07-23,320
2020-07-24,321
2020-07-25,325
2020-07-26,343
2020-07-27,350
2020-07-28,370
2020-07-29,374
2020-07-30,398
2020-07-31,419
2020-08-01,445
2020-08-02,461
2020-08-03,479
2020-08-04,500
2020-08-05,502
2020-08-06,502
2020-08-07,502
2020-08-08,502
2020-08-09,536
2020-08-10,544
2020-08-11,555
2020-08-12,557
2020-08-13,557
2020-08-14,571
2020-08-15,582
2020-08-16,593
2020-08-17,603
2020-08-18,606
2020-08-19,608
2020-08-20,610
2020-08-21,610
2020-08-22,610
2020-08-23,613
2020-08-24,619
2020-08-25,624
2020-08-26,624
2020-08-27,624
2020-08-28,624
2020-08-29,624
2020-08-30,624
2020-08-31,624
2020-09-01,626
2020-09-02,626
2020-09-03,627
2020-09-04,630
2020-09-05,630
2020-09-06,630
2020-09-07,630
2020-09-08,631
2020-09-09,631
2020-09-10,631
2020-09-11,631
2020-09-12,631
2020-09-13,631
2020-09-14,631
2020-09-15,631
2020-09-16,633
2020-09-17,633
2020-09-18,634
2020-09-19,634
2020-09-20,635
2020-09-21,635
2020-09-22,635
2020-09-23,635
2020-09-24,635
2020-09-25,640
2020-09-26,640
2020-09-27,640
2020-09-28,641
2020-09-29,641
2020-09-30,643
2020-10-01,643
2020-10-02,644
2020-10-03,644
2020-10-04,644
2020-10-05,646
2020-10-06,646
2020-10-07,646
2020-10-08,647
2020-10-09,652
2020-10-10,654
2020-10-11,654
2020-10-12,655
2020-10-13,656
2020-10-14,656
2020-10-15,657
2020-10-16,659
2020-10-17,659
2020-10-18,659
2020-10-19,659
2020-10-20,663
2020-10-21,663
2020-10-22,666
2020-10-23,667
2020-10-24,667
2020-10-25,667
2020-10-26,667
2020-10-28,667
2020-10-29,667
2020-10-30,667
2020-10-31,667
2020-11-01,667
2020-11-02,667
2020-11-03,667
2020-11-04,667
2020-11-05,667
2020-11-06,667
2020-11-07,667
2020-11-08,667
2020-11-09,667
2020-11-10,667
2020-11-11,667
2020-11-12,667
2020-11-13,667
2020-11-14,667
2020-11-15,667
2020-11-16,667
2020-11-17,667
2020-11-18,667
2020-11-19,667
2020-11-20,667
2020-11-21,667
2020-11-22,667
2020-11-23,667
2020-11-24,667
2020-11-25,667
2020-11-26,667
2020-11-27,667
2020-11-28,667
2020-11-29,667
2020-11-30,667
2020-12-01,667
2020-12-02,667
2020-12-03,667
2020-12-04,667
2020-12-05,667
2020-12-06,667
2020-12-07,667
2020-12-08,667
2020-12-09,667
2020-12-10,667
2020-12-11,667
2020-12-12,667
2020-12-13,667
2020-12-14,667
2020-12-15,667
2020-12-16,667
2020-12-17,667
2020-12-18,667
2020-12-19,667
2020-12-20,667
2020-12-21,667
2020-12-22,667
2020-12-23,667
2020-12-24,667
2020-12-25,667
2020-12-26,667
2020-12-27,667
2020-12-28,667
2020-12-29,667
2021-01-03,667
2021-01-04,667
2021-01-05,667
2021-01-06,667
2021-01-07,667
2021-01-08,667
2021-01-09,667
2021-01-10,667
2021-01-11,667
2021-01-12,667
2021-01-13,667
2021-01-14,667
2021-01-15,667
2021-01-16,667
2021-01-17,667
2021-01-18,667
2021-01-19,667
2021-01-20,667
2021-01-21,667
2021-01-22,667
2021-01-23,667
2021-01-24,667
2021-01-25,667
2021-01-26,667
2021-01-27,667
2021-01-28,667
2021-01-29,667
2021-01-30,667
2021-01-31,667
