Date,Confirmed
2020-05-01,197
2020-05-02,205
2020-05-03,214
2020-05-04,224
2020-05-05,231
2020-05-06,237
2020-05-07,254
2020-05-08,258
2020-05-09,278
2020-05-10,281
2020-05-11,294
2020-05-12,299
2020-05-13,323
2020-05-14,325
2020-05-15,328
2020-05-16,345
2020-05-17,345
2020-05-18,350
2020-05-19,353
2020-05-20,353
2020-05-21,356
2020-05-22,362
2020-05-23,366
2020-05-24,373
2020-05-25,389
2020-05-26,389
2020-05-27,391
2020-05-28,394
2020-05-29,394
2020-05-30,394
2020-05-31,397
2020-06-01,398
2020-06-02,402
2020-06-03,402
2020-06-04,407
2020-06-05,409
2020-06-06,410
2020-06-07,411
2020-06-08,411
2020-06-09,411
2020-06-10,411
2020-06-11,412
2020-06-12,412
2020-06-13,412
2020-06-14,412
2020-06-15,413
2020-06-16,414
2020-06-17,416
2020-06-18,416
2020-06-19,416
2020-06-20,416
2020-06-21,416
2020-06-22,417
2020-06-23,418
2020-06-24,420
2020-06-25,420
2020-06-26,422
2020-06-27,423
2020-06-28,423
2020-06-29,423
2020-06-30,425
2020-07-01,432
2020-07-02,433
2020-07-03,433
2020-07-04,434
2020-07-05,434
2020-07-06,434
2020-07-07,435
2020-07-08,435
2020-07-09,435
2020-07-10,437
2020-07-11,438
2020-07-12,438
2020-07-13,438
2020-07-14,441
2020-07-15,442
2020-07-16,442
2020-07-17,444
2020-07-18,447
2020-07-19,456
2020-07-20,460
2020-07-21,463
2020-07-22,467
2020-07-23,474
2020-07-24,478
2020-07-25,480
2020-07-26,482
2020-07-27,485
2020-07-28,494
2020-07-29,499
2020-07-30,501
2020-07-31,510
2020-08-01,517
2020-08-02,522
2020-08-03,527
2020-08-04,537
2020-08-05,542
2020-08-06,556
2020-08-07,559
2020-08-08,566
2020-08-09,569
2020-08-10,573
2020-08-11,583
2020-08-12,600
2020-08-13,600
2020-08-14,625
2020-08-15,637
2020-08-16,651
2020-08-17,660
2020-08-18,678
2020-08-19,678
2020-08-20,685
2020-08-21,694
2020-08-22,711
2020-08-23,713
2020-08-24,713
2020-08-25,713
2020-08-26,719
2020-08-27,721
2020-08-28,723
2020-08-29,723
2020-08-30,733
2020-08-31,736
2020-09-01,741
2020-09-02,741
2020-09-03,742
2020-09-04,746
2020-09-05,748
2020-09-06,756
2020-09-07,758
2020-09-08,760
2020-09-09,760
2020-09-10,762
2020-09-11,763
2020-09-12,763
2020-09-13,764
2020-09-14,765
2020-09-15,765
2020-09-16,768
2020-09-17,768
2020-09-18,770
2020-09-19,770
2020-09-20,770
2020-09-21,772
2020-09-22,774
2020-09-23,774
2020-09-24,774
2020-09-25,774
2020-09-26,774
2020-09-27,774
2020-09-28,774
2020-09-29,774
2020-09-30,774
2020-10-01,774
2020-10-02,775
2020-10-03,775
2020-10-04,775
2020-10-05,776
2020-10-06,776
2020-10-07,776
2020-10-08,776
2020-10-09,776
2020-10-10,776
2020-10-11,776
2020-10-12,777
2020-10-13,777
2020-10-14,777
2020-10-15,777
2020-10-16,777
2020-10-17,777
2020-10-18,777
2020-10-19,777
2020-10-20,777
2020-10-21,777
2020-10-22,777
2020-10-23,777
2020-10-24,777
2020-10-25,777
2020-10-26,777
2020-10-28,777
2020-10-29,777
2020-10-30,777
2020-10-31,777
2020-11-01,777
2020-11-02,777
2020-11-03,777
2020-11-04,777
2020-11-05,777
2020-11-06,777
2020-11-07,777
2020-11-08,777
2020-11-09,777
2020-11-10,777
2020-11-11,777
2020-11-12,777
2020-11-13,777
2020-11-14,777
2020-11-15,777
2020-11-16,777
2020-11-17,777
2020-11-18,777
2020-11-19,777
2020-11-20,777
2020-11-21,777
2020-11-22,777
2020-11-23,777
2020-11-24,777
2020-11-25,777
2020-11-26,777
2020-11-27,777
2020-11-28,777
2020-11-29,777
2020-11-30,777
2020-12-01,777
2020-12-02,777
2020-12-03,777
2020-12-04,777
2020-12-05,777
2020-12-06,777
2020-12-07,777
2020-12-08,777
2020-12-09,777
2020-12-10,777
2020-12-11,777
2020-12-12,777
2020-12-13,777
2020-12-14,777
2020-12-15,777
2020-12-16,777
2020-12-17,777
2020-12-18,777
2020-12-19,777
2020-12-20,777
2020-12-21,777
2020-12-22,777
2020-12-23,777
2020-12-24,777
2020-12-25,777
2020-12-26,777
2020-12-27,777
2020-12-28,777
2020-12-29,777
2021-01-03,777
2021-01-04,777
2021-01-05,777
2021-01-06,777
2021-01-07,777
2021-01-08,777
2021-01-09,777
2021-01-10,777
2021-01-11,777
2021-01-12,777
2021-01-13,777
2021-01-14,777
2021-01-15,777
2021-01-16,777
2021-01-17,777
2021-01-18,777
2021-01-19,777
2021-01-20,777
2021-01-21,777
2021-01-22,777
2021-01-23,777
2021-01-24,777
2021-01-25,777
2021-01-26,777
2021-01-27,777
2021-01-28,777
2021-01-29,777
2021-01-30,777
2021-01-31,777
