Date,Confirmed
2020-05-01,43
2020-05-02,44
2020-05-03,45
2020-05-04,46
2020-05-05,47
2020-05-06,51
2020-05-07,60
2020-05-08,64
2020-05-09,64
2020-05-10,70
2020-05-11,77
2020-05-12,77
2020-05-13,77
2020-05-14,82
2020-05-15,82
2020-05-16,83
2020-05-17,83
2020-05-18,88
2020-05-19,91
2020-05-20,91
2020-05-21,91
2020-05-22,94
2020-05-23,96
2020-05-24,97
2020-05-25,97
2020-05-26,99
2020-05-27,101
2020-05-28,101
2020-05-29,101
2020-05-30,101
2020-05-31,102
2020-06-01,104
2020-06-02,104
2020-06-03,105
2020-06-04,107
2020-06-05,108
2020-06-06,111
2020-06-07,111
2020-06-08,113
2020-06-09,116
2020-06-10,117
2020-06-11,118
2020-06-12,118
2020-06-13,120
2020-06-14,121
2020-06-15,122
2020-06-16,122
2020-06-17,124
2020-06-18,126
2020-06-19,127
2020-06-20,129
2020-06-21,129
2020-06-22,129
2020-06-23,129
2020-06-24,130
2020-06-25,131
2020-06-26,135
2020-06-27,136
2020-06-28,136
2020-06-29,137
2020-06-30,139
2020-07-01,139
2020-07-02,142
2020-07-03,143
2020-07-04,143
2020-07-05,148
2020-07-06,151
2020-07-07,152
2020-07-08,153
2020-07-09,158
2020-07-10,158
2020-07-11,158
2020-07-12,158
2020-07-13,166
2020-07-14,166
2020-07-15,174
2020-07-16,178
2020-07-17,179
2020-07-18,181
2020-07-19,188
2020-07-20,198
2020-07-21,207
2020-07-22,243
2020-07-23,245
2020-07-24,265
2020-07-25,284
2020-07-26,306
2020-07-27,307
2020-07-28,335
2020-07-29,342
2020-07-30,352
2020-07-31,371
2020-08-01,411
2020-08-02,428
2020-08-03,451
2020-08-04,458
2020-08-05,464
2020-08-06,487
2020-08-07,503
2020-08-08,509
2020-08-09,524
2020-08-10,547
2020-08-11,551
2020-08-12,555
2020-08-13,555
2020-08-14,560
2020-08-15,564
2020-08-16,570
2020-08-17,583
2020-08-18,588
2020-08-19,590
2020-08-20,595
2020-08-21,595
2020-08-22,608
2020-08-23,616
2020-08-24,623
2020-08-25,627
2020-08-26,627
2020-08-27,630
2020-08-28,634
2020-08-29,636
2020-08-30,638
2020-08-31,648
2020-09-01,655
2020-09-02,660
2020-09-03,660
2020-09-04,661
2020-09-05,661
2020-09-06,664
2020-09-07,666
2020-09-08,666
2020-09-09,667
2020-09-10,667
2020-09-11,667
2020-09-12,668
2020-09-13,669
2020-09-14,669
2020-09-15,671
2020-09-16,671
2020-09-17,671
2020-09-18,672
2020-09-19,672
2020-09-20,672
2020-09-21,673
2020-09-22,677
2020-09-23,677
2020-09-24,677
2020-09-25,679
2020-09-26,679
2020-09-27,679
2020-09-28,679
2020-09-29,679
2020-09-30,683
2020-10-01,683
2020-10-02,683
2020-10-03,683
2020-10-04,683
2020-10-05,687
2020-10-06,688
2020-10-07,689
2020-10-08,691
2020-10-09,692
2020-10-10,693
2020-10-11,693
2020-10-12,694
2020-10-13,697
2020-10-14,697
2020-10-15,699
2020-10-16,699
2020-10-17,703
2020-10-18,703
2020-10-19,703
2020-10-20,710
2020-10-21,710
2020-10-22,714
2020-10-23,714
2020-10-24,714
2020-10-25,714
2020-10-26,714
2020-10-28,714
2020-10-29,714
2020-10-30,714
2020-10-31,714
2020-11-01,714
2020-11-02,714
2020-11-03,714
2020-11-04,714
2020-11-05,714
2020-11-06,714
2020-11-07,714
2020-11-08,714
2020-11-09,714
2020-11-10,714
2020-11-11,714
2020-11-12,714
2020-11-13,714
2020-11-14,714
2020-11-15,714
2020-11-16,714
2020-11-17,714
2020-11-18,714
2020-11-19,714
2020-11-20,714
2020-11-21,714
2020-11-22,714
2020-11-23,714
2020-11-24,714
2020-11-25,714
2020-11-26,714
2020-11-27,714
2020-11-28,714
2020-11-29,714
2020-11-30,714
2020-12-01,714
2020-12-02,714
2020-12-03,714
2020-12-04,714
2020-12-05,714
2020-12-06,714
2020-12-07,714
2020-12-08,714
2020-12-09,714
2020-12-10,714
2020-12-11,714
2020-12-12,714
2020-12-13,714
2020-12-14,714
2020-12-15,714
2020-12-16,714
2020-12-17,714
2020-12-18,714
2020-12-19,714
2020-12-20,714
2020-12-21,714
2020-12-22,714
2020-12-23,714
2020-12-24,714
2020-12-25,714
2020-12-26,714
2020-12-27,714
2020-12-28,714
2020-12-29,714
2021-01-03,714
2021-01-04,714
2021-01-05,714
2021-01-06,714
2021-01-07,714
2021-01-08,714
2021-01-09,714
2021-01-10,714
2021-01-11,714
2021-01-12,714
2021-01-13,714
2021-01-14,714
2021-01-15,714
2021-01-16,714
2021-01-17,714
2021-01-18,714
2021-01-19,714
2021-01-20,714
2021-01-21,714
2021-01-22,714
2021-01-23,714
2021-01-24,714
2021-01-25,714
2021-01-26,714
2021-01-27,714
2021-01-28,714
2021-01-29,714
2021-01-30,714
2021-01-31,714
