Date,Confirmed
2020-05-01,517
2020-05-02,533
2020-05-03,536
2020-05-04,543
2020-05-05,561
2020-05-06,563
2020-05-07,602
2020-05-08,611
2020-05-09,624
2020-05-10,631
2020-05-11,640
2020-05-12,677
2020-05-13,709
2020-05-14,722
2020-05-15,752
2020-05-16,784
2020-05-17,800
2020-05-18,816
2020-05-19,829
2020-05-20,854
2020-05-21,865
2020-05-22,883
2020-05-23,904
2020-05-24,918
2020-05-25,954
2020-05-26,991
2020-05-27,1010
2020-05-28,1024
2020-05-29,1040
2020-05-30,1050
2020-05-31,1059
2020-06-01,1074
2020-06-02,1083
2020-06-03,1091
2020-06-04,1098
2020-06-05,1111
2020-06-06,1125
2020-06-07,1135
2020-06-08,1144
2020-06-09,1158
2020-06-10,1166
2020-06-11,1177
2020-06-12,1189
2020-06-13,1203
2020-06-14,1212
2020-06-15,1221
2020-06-16,1235
2020-06-17,1245
2020-06-18,1261
2020-06-19,1273
2020-06-20,1288
2020-06-21,1302
2020-06-22,1311
2020-06-23,1327
2020-06-24,1343
2020-06-25,1365
2020-06-26,1380
2020-06-27,1402
2020-06-28,1411
2020-06-29,1433
2020-06-30,1465
2020-07-01,1495
2020-07-02,1535
2020-07-03,1581
2020-07-04,1619
2020-07-05,1639
2020-07-06,1689
2020-07-07,1723
2020-07-08,1757
2020-07-09,1779
2020-07-10,1830
2020-07-11,1877
2020-07-12,1907
2020-07-13,1945
2020-07-14,1981
2020-07-15,2012
2020-07-16,2074
2020-07-17,2154
2020-07-18,2207
2020-07-19,2255
2020-07-20,2336
2020-07-21,2368
2020-07-22,2399
2020-07-23,2515
2020-07-24,2572
2020-07-25,2623
2020-07-26,2717
2020-07-27,2831
2020-07-28,2929
2020-07-29,3007
2020-07-30,3077
2020-07-31,3128
2020-08-01,3174
2020-08-02,3210
2020-08-03,3289
2020-08-04,3341
2020-08-05,3424
2020-08-06,3488
2020-08-07,3528
2020-08-08,3608
2020-08-09,3674
2020-08-10,3719
2020-08-11,3771
2020-08-12,3822
2020-08-13,3822
2020-08-14,3924
2020-08-15,3992
2020-08-16,4038
2020-08-17,4071
2020-08-18,4109
2020-08-19,4144
2020-08-20,4170
2020-08-21,4219
2020-08-22,4254
2020-08-23,4293
2020-08-24,4346
2020-08-25,4423
2020-08-26,4501
2020-08-27,4540
2020-08-28,4600
2020-08-29,4633
2020-08-30,4676
2020-08-31,4718
2020-09-01,4771
2020-09-02,4810
2020-09-03,4848
2020-09-04,4893
2020-09-05,4911
2020-09-06,4944
2020-09-07,4995
2020-09-08,5039
2020-09-09,5078
2020-09-10,5141
2020-09-11,5187
2020-09-12,5220
2020-09-13,5261
2020-09-14,5300
2020-09-15,5327
2020-09-16,5364
2020-09-17,5402
2020-09-18,5432
2020-09-19,5444
2020-09-20,5487
2020-09-21,5524
2020-09-22,5568
2020-09-23,5587
2020-09-24,5587
2020-09-25,5653
2020-09-26,5675
2020-09-27,5695
2020-09-28,5724
2020-09-29,5724
2020-09-30,5790
2020-10-01,5814
2020-10-02,5842
2020-10-03,5862
2020-10-04,5873
2020-10-05,5902
2020-10-06,5930
2020-10-07,5952
2020-10-08,5981
2020-10-09,6002
2020-10-10,6021
2020-10-11,6039
2020-10-12,6070
2020-10-13,6112
2020-10-14,6112
2020-10-15,6184
2020-10-16,6237
2020-10-17,6258
2020-10-18,6287
2020-10-19,6287
2020-10-20,6380
2020-10-21,6380
2020-10-22,6453
2020-10-23,6506
2020-10-24,6506
2020-10-25,6506
2020-10-26,6506
2020-10-28,6506
2020-10-29,6506
2020-10-30,6506
2020-10-31,6506
2020-11-01,6506
2020-11-02,6506
2020-11-03,6506
2020-11-04,6506
2020-11-05,6506
2020-11-06,6506
2020-11-07,6506
2020-11-08,6506
2020-11-09,6506
2020-11-10,6506
2020-11-11,6506
2020-11-12,6506
2020-11-13,6506
2020-11-14,6506
2020-11-15,6506
2020-11-16,6506
2020-11-17,6506
2020-11-18,6506
2020-11-19,6506
2020-11-20,6506
2020-11-21,6506
2020-11-22,6506
2020-11-23,6506
2020-11-24,6506
2020-11-25,6506
2020-11-26,6506
2020-11-27,6506
2020-11-28,6506
2020-11-29,6506
2020-11-30,6506
2020-12-01,6506
2020-12-02,6506
2020-12-03,6506
2020-12-04,6506
2020-12-05,6506
2020-12-06,6506
2020-12-07,6506
2020-12-08,6506
2020-12-09,6506
2020-12-10,6506
2020-12-11,6506
2020-12-12,6506
2020-12-13,6506
2020-12-14,6506
2020-12-15,6506
2020-12-16,6506
2020-12-17,6506
2020-12-18,6506
2020-12-19,6506
2020-12-20,6506
2020-12-21,6506
2020-12-22,6506
2020-12-23,6506
2020-12-24,6506
2020-12-25,6506
2020-12-26,6506
2020-12-27,6506
2020-12-28,6506
2020-12-29,6506
2021-01-03,6506
2021-01-04,6506
2021-01-05,6506
2021-01-06,6506
2021-01-07,6506
2021-01-08,6506
2021-01-09,6506
2021-01-10,6506
2021-01-11,6506
2021-01-12,6506
2021-01-13,6506
2021-01-14,6506
2021-01-15,6506
2021-01-16,6506
2021-01-17,6506
2021-01-18,6506
2021-01-19,6506
2021-01-20,6506
2021-01-21,6506
2021-01-22,6506
2021-01-23,6506
2021-01-24,6506
2021-01-25,6506
2021-01-26,6506
2021-01-27,6506
2021-01-28,6506
2021-01-29,6506
2021-01-30,6506
2021-01-31,6506
