Date,Confirmed
2020-05-01,67
2020-05-02,67
2020-05-03,81
2020-05-04,81
2020-05-05,88
2020-05-06,88
2020-05-07,92
2020-05-08,104
2020-05-09,104
2020-05-10,105
2020-05-11,107
2020-05-12,107
2020-05-13,110
2020-05-14,115
2020-05-15,115
2020-05-16,115
2020-05-17,134
2020-05-18,141
2020-05-19,154
2020-05-20,157
2020-05-21,163
2020-05-22,169
2020-05-23,171
2020-05-24,183
2020-05-25,183
2020-05-26,183
2020-05-27,184
2020-05-28,184
2020-05-29,184
2020-05-30,184
2020-05-31,187
2020-06-01,187
2020-06-02,191
2020-06-03,194
2020-06-04,197
2020-06-05,200
2020-06-06,200
2020-06-07,200
2020-06-08,200
2020-06-09,200
2020-06-10,202
2020-06-11,204
2020-06-12,206
2020-06-13,207
2020-06-14,207
2020-06-15,207
2020-06-16,210
2020-06-17,210
2020-06-18,212
2020-06-19,214
2020-06-20,214
2020-06-21,217
2020-06-22,217
2020-06-23,223
2020-06-24,227
2020-06-25,227
2020-06-26,234
2020-06-27,240
2020-06-28,240
2020-06-29,242
2020-06-30,253
2020-07-01,273
2020-07-02,288
2020-07-03,288
2020-07-04,295
2020-07-05,302
2020-07-06,302
2020-07-07,312
2020-07-08,316
2020-07-09,322
2020-07-10,322
2020-07-11,330
2020-07-12,335
2020-07-13,335
2020-07-14,341
2020-07-15,341
2020-07-16,346
2020-07-17,349
2020-07-18,362
2020-07-19,362
2020-07-20,362
2020-07-21,373
2020-07-22,373
2020-07-23,396
2020-07-24,407
2020-07-25,426
2020-07-26,439
2020-07-27,439
2020-07-28,449
2020-07-29,459
2020-07-30,472
2020-07-31,500
2020-08-01,536
2020-08-02,536
2020-08-03,536
2020-08-04,553
2020-08-05,580
2020-08-06,621
2020-08-07,649
2020-08-08,680
2020-08-09,680
2020-08-10,717
2020-08-11,737
2020-08-12,746
2020-08-13,746
2020-08-14,827
2020-08-15,851
2020-08-16,851
2020-08-17,851
2020-08-18,873
2020-08-19,895
2020-08-20,935
2020-08-21,979
2020-08-22,989
2020-08-23,991
2020-08-24,1066
2020-08-25,1096
2020-08-26,1114
2020-08-27,1132
2020-08-28,1147
2020-08-29,1176
2020-08-30,1176
2020-08-31,1176
2020-09-01,1176
2020-09-02,1211
2020-09-03,1232
2020-09-04,1242
2020-09-05,1262
2020-09-06,1267
2020-09-07,1285
2020-09-08,1301
2020-09-09,1334
2020-09-10,1351
2020-09-11,1366
2020-09-12,1366
2020-09-13,1377
2020-09-14,1377
2020-09-15,1378
2020-09-16,1393
2020-09-17,1410
2020-09-18,1428
2020-09-19,1428
2020-09-20,1428
2020-09-21,1436
2020-09-22,1436
2020-09-23,1436
2020-09-24,1436
2020-09-25,1459
2020-09-26,1467
2020-09-27,1467
2020-09-28,1476
2020-09-29,1476
2020-09-30,1481
2020-10-01,1487
2020-10-02,1493
2020-10-03,1493
2020-10-04,1493
2020-10-05,1494
2020-10-06,1497
2020-10-07,1503
2020-10-08,1508
2020-10-09,1513
2020-10-10,1517
2020-10-11,1517
2020-10-12,1517
2020-10-13,1524
2020-10-14,1524
2020-10-15,1527
2020-10-16,1527
2020-10-17,1527
2020-10-18,1527
2020-10-19,1527
2020-10-20,1527
2020-10-21,1527
2020-10-22,1530
2020-10-23,1530
2020-10-24,1530
2020-10-25,1530
2020-10-26,1530
2020-10-28,1530
2020-10-29,1530
2020-10-30,1530
2020-10-31,1530
2020-11-01,1530
2020-11-02,1530
2020-11-03,1530
2020-11-04,1530
2020-11-05,1530
2020-11-06,1530
2020-11-07,1530
2020-11-08,1530
2020-11-09,1530
2020-11-10,1530
2020-11-11,1530
2020-11-12,1530
2020-11-13,1530
2020-11-14,1530
2020-11-15,1530
2020-11-16,1530
2020-11-17,1530
2020-11-18,1530
2020-11-19,1530
2020-11-20,1530
2020-11-21,1530
2020-11-22,1530
2020-11-23,1530
2020-11-24,1530
2020-11-25,1530
2020-11-26,1530
2020-11-27,1530
2020-11-28,1530
2020-11-29,1530
2020-11-30,1530
2020-12-01,1530
2020-12-02,1530
2020-12-03,1530
2020-12-04,1530
2020-12-05,1530
2020-12-06,1530
2020-12-07,1530
2020-12-08,1530
2020-12-09,1530
2020-12-10,1530
2020-12-11,1530
2020-12-12,1530
2020-12-13,1530
2020-12-14,1530
2020-12-15,1530
2020-12-16,1530
2020-12-17,1530
2020-12-18,1530
2020-12-19,1530
2020-12-20,1530
2020-12-21,1530
2020-12-22,1530
2020-12-23,1530
2020-12-24,1530
2020-12-25,1530
2020-12-26,1530
2020-12-27,1530
2020-12-28,1530
2020-12-29,1530
2021-01-03,1530
2021-01-04,1530
2021-01-05,1530
2021-01-06,1530
2021-01-07,1530
2021-01-08,1530
2021-01-09,1530
2021-01-10,1530
2021-01-11,1530
2021-01-12,1530
2021-01-13,1530
2021-01-14,1530
2021-01-15,1530
2021-01-16,1530
2021-01-17,1530
2021-01-18,1530
2021-01-19,1530
2021-01-20,1530
2021-01-21,1530
2021-01-22,1530
2021-01-23,1530
2021-01-24,1530
2021-01-25,1530
2021-01-26,1530
2021-01-27,1530
2021-01-28,1530
2021-01-29,1530
2021-01-30,1530
2021-01-31,1530
