Date,Confirmed
2020-05-01,35
2020-05-02,35
2020-05-03,49
2020-05-04,51
2020-05-05,58
2020-05-06,58
2020-05-07,64
2020-05-08,79
2020-05-09,79
2020-05-10,79
2020-05-11,79
2020-05-12,83
2020-05-13,83
2020-05-14,84
2020-05-15,93
2020-05-16,93
2020-05-17,94
2020-05-18,100
2020-05-19,104
2020-05-20,122
2020-05-21,125
2020-05-22,130
2020-05-23,133
2020-05-24,143
2020-05-25,143
2020-05-26,143
2020-05-27,145
2020-05-28,150
2020-05-29,153
2020-05-30,156
2020-05-31,159
2020-06-01,162
2020-06-02,165
2020-06-03,169
2020-06-04,170
2020-06-05,174
2020-06-06,178
2020-06-07,180
2020-06-08,183
2020-06-09,185
2020-06-10,186
2020-06-11,188
2020-06-12,190
2020-06-13,191
2020-06-14,193
2020-06-15,195
2020-06-16,196
2020-06-17,199
2020-06-18,201
2020-06-19,203
2020-06-20,210
2020-06-21,215
2020-06-22,220
2020-06-23,227
2020-06-24,227
2020-06-25,230
2020-06-26,243
2020-06-27,273
2020-06-28,332
2020-06-29,339
2020-06-30,339
2020-07-01,360
2020-07-02,362
2020-07-03,362
2020-07-04,385
2020-07-05,416
2020-07-06,445
2020-07-07,455
2020-07-08,472
2020-07-09,497
2020-07-10,514
2020-07-11,584
2020-07-12,603
2020-07-13,663
2020-07-14,681
2020-07-15,740
2020-07-16,753
2020-07-17,768
2020-07-18,791
2020-07-19,816
2020-07-20,847
2020-07-21,877
2020-07-22,933
2020-07-23,966
2020-07-24,974
2020-07-25,992
2020-07-26,992
2020-07-27,999
2020-07-28,1003
2020-07-29,1005
2020-07-30,1007
2020-07-31,1007
2020-08-01,1007
2020-08-02,1053
2020-08-03,1056
2020-08-04,1058
2020-08-05,1073
2020-08-06,1091
2020-08-07,1101
2020-08-08,1102
2020-08-09,1114
2020-08-10,1114
2020-08-11,1143
2020-08-12,1156
2020-08-13,1156
2020-08-14,1226
2020-08-15,1226
2020-08-16,1244
2020-08-17,1255
2020-08-18,1281
2020-08-19,1300
2020-08-20,1323
2020-08-21,1367
2020-08-22,1375
2020-08-23,1389
2020-08-24,1400
2020-08-25,1400
2020-08-26,1422
2020-08-27,1448
2020-08-28,1457
2020-08-29,1457
2020-08-30,1507
2020-08-31,1523
2020-09-01,1547
2020-09-02,1558
2020-09-03,1582
2020-09-04,1595
2020-09-05,1609
2020-09-06,1619
2020-09-07,1639
2020-09-08,1656
2020-09-09,1656
2020-09-10,1679
2020-09-11,1685
2020-09-12,1691
2020-09-13,1695
2020-09-14,1695
2020-09-15,1705
2020-09-16,1705
2020-09-17,1729
2020-09-18,1740
2020-09-19,1749
2020-09-20,1764
2020-09-21,1769
2020-09-22,1779
2020-09-23,1806
2020-09-24,1806
2020-09-25,1826
2020-09-26,1841
2020-09-27,1854
2020-09-28,1860
2020-09-29,1860
2020-09-30,1876
2020-10-01,1889
2020-10-02,1904
2020-10-03,1910
2020-10-04,1923
2020-10-05,1928
2020-10-06,1943
2020-10-07,1953
2020-10-08,1966
2020-10-09,1980
2020-10-10,1985
2020-10-11,2004
2020-10-12,2009
2020-10-13,2024
2020-10-14,2024
2020-10-15,2062
2020-10-16,2076
2020-10-17,2082
2020-10-18,2082
2020-10-19,2082
2020-10-20,2117
2020-10-21,2117
2020-10-22,2174
2020-10-23,2183
2020-10-24,2183
2020-10-25,2183
2020-10-26,2183
2020-10-28,2183
2020-10-29,2183
2020-10-30,2183
2020-10-31,2183
2020-11-01,2183
2020-11-02,2183
2020-11-03,2183
2020-11-04,2183
2020-11-05,2183
2020-11-06,2183
2020-11-07,2183
2020-11-08,2183
2020-11-09,2183
2020-11-10,2183
2020-11-11,2183
2020-11-12,2183
2020-11-13,2183
2020-11-14,2183
2020-11-15,2183
2020-11-16,2183
2020-11-17,2183
2020-11-18,2183
2020-11-19,2183
2020-11-20,2183
2020-11-21,2183
2020-11-22,2183
2020-11-23,2183
2020-11-24,2183
2020-11-25,2183
2020-11-26,2183
2020-11-27,2183
2020-11-28,2183
2020-11-29,2183
2020-11-30,2183
2020-12-01,2183
2020-12-02,2183
2020-12-03,2183
2020-12-04,2183
2020-12-05,2183
2020-12-06,2183
2020-12-07,2183
2020-12-08,2183
2020-12-09,2183
2020-12-10,2183
2020-12-11,2183
2020-12-12,2183
2020-12-13,2183
2020-12-14,2183
2020-12-15,2183
2020-12-16,2183
2020-12-17,2183
2020-12-18,2183
2020-12-19,2183
2020-12-20,2183
2020-12-21,2183
2020-12-22,2183
2020-12-23,2183
2020-12-24,2183
2020-12-25,2183
2020-12-26,2183
2020-12-27,2183
2020-12-28,2183
2020-12-29,2183
2021-01-03,2183
2021-01-04,2183
2021-01-05,2183
2021-01-06,2183
2021-01-07,2183
2021-01-08,2183
2021-01-09,2183
2021-01-10,2183
2021-01-11,2183
2021-01-12,2183
2021-01-13,2183
2021-01-14,2183
2021-01-15,2183
2021-01-16,2183
2021-01-17,2183
2021-01-18,2183
2021-01-19,2183
2021-01-20,2183
2021-01-21,2183
2021-01-22,2183
2021-01-23,2183
2021-01-24,2183
2021-01-25,2183
2021-01-26,2183
2021-01-27,2183
2021-01-28,2183
2021-01-29,2183
2021-01-30,2183
2021-01-31,2183
