Date,Confirmed
2020-05-01,58
2020-05-02,60
2020-05-03,65
2020-05-04,67
2020-05-05,69
2020-05-06,69
2020-05-07,73
2020-05-08,75
2020-05-09,75
2020-05-10,76
2020-05-11,76
2020-05-12,81
2020-05-13,86
2020-05-14,90
2020-05-15,93
2020-05-16,97
2020-05-17,97
2020-05-18,101
2020-05-19,104
2020-05-20,106
2020-05-21,108
2020-05-22,111
2020-05-23,117
2020-05-24,121
2020-05-25,121
2020-05-26,121
2020-05-27,124
2020-05-28,124
2020-05-29,126
2020-05-30,126
2020-05-31,129
2020-06-01,133
2020-06-02,133
2020-06-03,133
2020-06-04,135
2020-06-05,135
2020-06-06,138
2020-06-07,140
2020-06-08,142
2020-06-09,144
2020-06-10,146
2020-06-11,148
2020-06-12,150
2020-06-13,152
2020-06-14,153
2020-06-15,153
2020-06-16,155
2020-06-17,155
2020-06-18,156
2020-06-19,156
2020-06-20,165
2020-06-21,177
2020-06-22,190
2020-06-23,191
2020-06-24,191
2020-06-25,194
2020-06-26,196
2020-06-27,198
2020-06-28,199
2020-06-29,200
2020-06-30,200
2020-07-01,202
2020-07-02,205
2020-07-03,205
2020-07-04,228
2020-07-05,247
2020-07-06,282
2020-07-07,327
2020-07-08,343
2020-07-09,393
2020-07-10,393
2020-07-11,442
2020-07-12,461
2020-07-13,485
2020-07-14,549
2020-07-15,552
2020-07-16,561
2020-07-17,568
2020-07-18,583
2020-07-19,614
2020-07-20,615
2020-07-21,632
2020-07-22,640
2020-07-23,656
2020-07-24,671
2020-07-25,680
2020-07-26,693
2020-07-27,693
2020-07-28,695
2020-07-29,695
2020-07-30,695
2020-07-31,704
2020-08-01,715
2020-08-02,775
2020-08-03,832
2020-08-04,853
2020-08-05,866
2020-08-06,888
2020-08-07,908
2020-08-08,908
2020-08-09,936
2020-08-10,958
2020-08-11,971
2020-08-12,990
2020-08-13,990
2020-08-14,1006
2020-08-15,1010
2020-08-16,1031
2020-08-17,1055
2020-08-18,1072
2020-08-19,1089
2020-08-20,1101
2020-08-21,1110
2020-08-22,1116
2020-08-23,1171
2020-08-24,1181
2020-08-25,1200
2020-08-26,1200
2020-08-27,1203
2020-08-28,1210
2020-08-29,1212
2020-08-30,1212
2020-08-31,1217
2020-09-01,1217
2020-09-02,1221
2020-09-03,1222
2020-09-04,1228
2020-09-05,1228
2020-09-06,1228
2020-09-07,1231
2020-09-08,1233
2020-09-09,1234
2020-09-10,1235
2020-09-11,1237
2020-09-12,1237
2020-09-13,1241
2020-09-14,1245
2020-09-15,1248
2020-09-16,1252
2020-09-17,1252
2020-09-18,1258
2020-09-19,1258
2020-09-20,1259
2020-09-21,1261
2020-09-22,1263
2020-09-23,1266
2020-09-24,1266
2020-09-25,1269
2020-09-26,1271
2020-09-27,1271
2020-09-28,1276
2020-09-29,1276
2020-09-30,1290
2020-10-01,1291
2020-10-02,1291
2020-10-03,1291
2020-10-04,1313
2020-10-05,1318
2020-10-06,1320
2020-10-07,1322
2020-10-08,1323
2020-10-09,1323
2020-10-10,1323
2020-10-11,1323
2020-10-12,1323
2020-10-13,1323
2020-10-14,1323
2020-10-15,1328
2020-10-16,1334
2020-10-17,1334
2020-10-18,1341
2020-10-19,1341
2020-10-20,1345
2020-10-21,1345
2020-10-22,1352
2020-10-23,1352
2020-10-24,1352
2020-10-25,1352
2020-10-26,1352
2020-10-28,1352
2020-10-29,1352
2020-10-30,1352
2020-10-31,1352
2020-11-01,1352
2020-11-02,1352
2020-11-03,1352
2020-11-04,1352
2020-11-05,1352
2020-11-06,1352
2020-11-07,1352
2020-11-08,1352
2020-11-09,1352
2020-11-10,1352
2020-11-11,1352
2020-11-12,1352
2020-11-13,1352
2020-11-14,1352
2020-11-15,1352
2020-11-16,1352
2020-11-17,1352
2020-11-18,1352
2020-11-19,1352
2020-11-20,1352
2020-11-21,1352
2020-11-22,1352
2020-11-23,1352
2020-11-24,1352
2020-11-25,1352
2020-11-26,1352
2020-11-27,1352
2020-11-28,1352
2020-11-29,1352
2020-11-30,1352
2020-12-01,1352
2020-12-02,1352
2020-12-03,1352
2020-12-04,1352
2020-12-05,1352
2020-12-06,1352
2020-12-07,1352
2020-12-08,1352
2020-12-09,1352
2020-12-10,1352
2020-12-11,1352
2020-12-12,1352
2020-12-13,1352
2020-12-14,1352
2020-12-15,1352
2020-12-16,1352
2020-12-17,1352
2020-12-18,1352
2020-12-19,1352
2020-12-20,1352
2020-12-21,1352
2020-12-22,1352
2020-12-23,1352
2020-12-24,1352
2020-12-25,1352
2020-12-26,1352
2020-12-27,1352
2020-12-28,1352
2020-12-29,1352
2021-01-03,1352
2021-01-04,1352
2021-01-05,1352
2021-01-06,1352
2021-01-07,1352
2021-01-08,1352
2021-01-09,1352
2021-01-10,1352
2021-01-11,1352
2021-01-12,1352
2021-01-13,1352
2021-01-14,1352
2021-01-15,1352
2021-01-16,1352
2021-01-17,1352
2021-01-18,1352
2021-01-19,1352
2021-01-20,1352
2021-01-21,1352
2021-01-22,1352
2021-01-23,1352
2021-01-24,1352
2021-01-25,1352
2021-01-26,1352
2021-01-27,1352
2021-01-28,1352
2021-01-29,1352
2021-01-30,1352
2021-01-31,1352
