Date,Confirmed
2020-03-02,4
2020-03-03,7
2020-03-04,14
2020-03-05,14
2020-03-06,14
2020-03-07,15
2020-03-08,15
2020-03-09,15
2020-03-10,15
2020-03-11,18
2020-03-12,18
2020-03-13,18
2020-03-14,25
2020-03-15,31
2020-03-16,31
2020-03-17,31
2020-03-18,35
2020-03-19,47
2020-03-20,47
2020-03-21,47
2020-03-22,110
2020-03-23,125
2020-03-24,125
2020-03-25,150
2020-03-26,176
2020-03-27,176
2020-03-28,176
2020-03-29,220
2020-03-30,220
2020-03-31,294
2020-04-01,342
2020-04-02,385
2020-04-03,432
2020-04-04,447
2020-04-05,456
2020-04-06,474
2020-04-07,490
2020-04-08,494
2020-04-09,508
2020-04-10,529
2020-04-11,538
2020-04-12,554
2020-04-13,560
2020-04-14,575
2020-04-15,597
2020-04-16,615
2020-04-17,628
2020-04-18,663
2020-04-19,669
2020-04-20,677
2020-04-21,692
2020-04-22,701
2020-04-23,702
2020-04-24,730
2020-04-25,749
2020-04-26,749
2020-04-27,761
2020-04-28,772
2020-04-29,786
2020-04-30,799
2020-05-01,810
2020-05-02,820
2020-05-03,839
2020-05-04,846
2020-05-05,860
2020-05-06,865
2020-05-07,880
2020-05-08,898
2020-05-09,913
2020-05-10,925
2020-05-11,934
2020-05-12,939
2020-05-13,954
2020-05-14,969
2020-05-15,977
2020-05-16,996
2020-05-17,1002
2020-05-18,1016
2020-05-19,1022
2020-05-20,1038
2020-05-21,1043
2020-05-22,1049
2020-05-23,1062
2020-05-24,1078
2020-05-25,1093
2020-05-26,1107
2020-05-27,1124
2020-05-28,1127
2020-05-29,1138
2020-05-30,1150
2020-05-31,1159
2020-06-01,1169
2020-06-02,1176
2020-06-03,1185
2020-06-04,1193
2020-06-05,1207
2020-06-06,1230
2020-06-07,1247
2020-06-08,1264
2020-06-09,1273
2020-06-10,1288
2020-06-11,1307
2020-06-12,1331
2020-06-13,1357
2020-06-14,1372
2020-06-15,1388
2020-06-16,1403
2020-06-17,1410
2020-06-18,1428
2020-06-19,1432
2020-06-20,1452
2020-06-21,1463
2020-06-22,1474
2020-06-23,1489
2020-06-24,1512
2020-06-25,1527
2020-06-26,1541
2020-06-27,1562
2020-06-28,1579
2020-06-29,1603
2020-06-30,1629
2020-07-01,1643
2020-07-02,1665
2020-07-03,1688
2020-07-04,1715
2020-07-05,1733
2020-07-06,1778
2020-07-07,1798
2020-07-08,1826
2020-07-09,1845
2020-07-10,1871
2020-07-11,1916
2020-07-12,1957
2020-07-13,1984
2020-07-14,2007
2020-07-15,2024
2020-07-16,2049
2020-07-17,2087
2020-07-18,2112
2020-07-19,2134
2020-07-20,2184
2020-07-21,2200
2020-07-22,2220
2020-07-23,2255
2020-07-24,2287
2020-07-25,2298
2020-07-26,2328
2020-07-27,2352
2020-07-28,2371
2020-07-29,2391
2020-07-30,2415
2020-07-31,2429
2020-08-01,2446
2020-08-02,2488
2020-08-03,2513
2020-08-04,2548
2020-08-05,2573
2020-08-06,2625
2020-08-07,2630
2020-08-08,2686
2020-08-09,2711
2020-08-10,2718
2020-08-11,2731
2020-08-12,2766
2020-08-13,2766
2020-08-14,2808
2020-08-15,2853
2020-08-16,2896
2020-08-17,2926
2020-08-18,2961
2020-08-19,2979
2020-08-20,3004
2020-08-21,3036
2020-08-22,3076
2020-08-23,3097
2020-08-24,3111
2020-08-25,3151
2020-08-26,3209
2020-08-27,3254
2020-08-28,3287
2020-08-29,3336
2020-08-30,3406
2020-08-31,3452
2020-09-01,3478
2020-09-02,3519
2020-09-03,3560
2020-09-04,3590
2020-09-05,3611
2020-09-06,3624
2020-09-07,3666
2020-09-08,3693
2020-09-09,3713
2020-09-10,3754
2020-09-11,3782
2020-09-12,3835
2020-09-13,3859
2020-09-14,3905
2020-09-15,3923
2020-09-16,3945
2020-09-17,3964
2020-09-18,3976
2020-09-19,3984
2020-09-20,4011
2020-09-21,4034
2020-09-22,4064
2020-09-23,4064
2020-09-24,4064
2020-09-25,4096
2020-09-26,4101
2020-09-27,4123
2020-09-28,4133
2020-09-29,4133
2020-09-30,4158
2020-10-01,4163
2020-10-02,4176
2020-10-03,4189
2020-10-04,4200
2020-10-05,4211
2020-10-06,4214
2020-10-07,4218
2020-10-08,4229
2020-10-09,4246
2020-10-10,4263
2020-10-11,4275
2020-10-12,4281
2020-10-13,4294
2020-10-14,4294
2020-10-15,4319
2020-10-16,4333
2020-10-17,4339
2020-10-18,4358
2020-10-19,4358
2020-10-20,4386
2020-10-21,4386
2020-10-22,4422
2020-10-23,4435
2020-10-24,4435
2020-10-25,4435
2020-10-26,4435
2020-10-28,4435
2020-10-29,4435
2020-10-30,4435
2020-10-31,4435
2020-11-01,4435
2020-11-02,4435
2020-11-03,4435
2020-11-04,4435
2020-11-05,4435
2020-11-06,4435
2020-11-07,4435
2020-11-08,4435
2020-11-09,4435
2020-11-10,4435
2020-11-11,4435
2020-11-12,4435
2020-11-13,4435
2020-11-14,4435
2020-11-15,4435
2020-11-16,4435
2020-11-17,4435
2020-11-18,4435
2020-11-19,4435
2020-11-20,4435
2020-11-21,4435
2020-11-22,4435
2020-11-23,4435
2020-11-24,4435
2020-11-25,4435
2020-11-26,4435
2020-11-27,4435
2020-11-28,4435
2020-11-29,4435
2020-11-30,4435
2020-12-01,4435
2020-12-02,4435
2020-12-03,4435
2020-12-04,4435
2020-12-05,4435
2020-12-06,4435
2020-12-07,4435
2020-12-08,4435
2020-12-09,4435
2020-12-10,4435
2020-12-11,4435
2020-12-12,4435
2020-12-13,4435
2020-12-14,4435
2020-12-15,4435
2020-12-16,4435
2020-12-17,4435
2020-12-18,4435
2020-12-19,4435
2020-12-20,4435
2020-12-21,4435
2020-12-22,4435
2020-12-23,4435
2020-12-24,4435
2020-12-25,4435
2020-12-26,4435
2020-12-27,4435
2020-12-28,4435
2020-12-29,4435
2021-01-03,4435
2021-01-04,4435
2021-01-05,4435
2021-01-06,4435
2021-01-07,4435
2021-01-08,4435
2021-01-09,4435
2021-01-10,4435
2021-01-11,4435
2021-01-12,4435
2021-01-13,4435
2021-01-14,4435
2021-01-15,4435
2021-01-16,4435
2021-01-17,4435
2021-01-18,4435
2021-01-19,4435
2021-01-20,4435
2021-01-21,4435
2021-01-22,4435
2021-01-23,4435
2021-01-24,4435
2021-01-25,4435
2021-01-26,4435
2021-01-27,4435
2021-01-28,4435
2021-01-29,4435
2021-01-30,4435
2021-01-31,4435
