Date,Confirmed
2020-05-01,109
2020-05-02,150
2020-05-03,150
2020-05-04,164
2020-05-05,166
2020-05-06,167
2020-05-07,171
2020-05-08,181
2020-05-09,186
2020-05-10,191
2020-05-11,195
2020-05-12,198
2020-05-13,201
2020-05-14,205
2020-05-15,208
2020-05-16,212
2020-05-17,212
2020-05-18,212
2020-05-19,215
2020-05-20,215
2020-05-21,216
2020-05-22,217
2020-05-23,219
2020-05-24,219
2020-05-25,222
2020-05-26,224
2020-05-27,226
2020-05-28,227
2020-05-29,227
2020-05-30,227
2020-05-31,230
2020-06-01,233
2020-06-02,235
2020-06-03,235
2020-06-04,235
2020-06-05,235
2020-06-06,235
2020-06-07,235
2020-06-08,235
2020-06-09,235
2020-06-10,235
2020-06-11,235
2020-06-12,235
2020-06-13,235
2020-06-14,235
2020-06-15,236
2020-06-16,236
2020-06-17,237
2020-06-18,237
2020-06-19,237
2020-06-20,238
2020-06-21,238
2020-06-22,238
2020-06-23,239
2020-06-24,242
2020-06-25,243
2020-06-26,244
2020-06-27,247
2020-06-28,247
2020-06-29,250
2020-06-30,252
2020-07-01,254
2020-07-02,259
2020-07-03,261
2020-07-04,265
2020-07-05,268
2020-07-06,270
2020-07-07,273
2020-07-08,273
2020-07-09,274
2020-07-10,275
2020-07-11,276
2020-07-12,276
2020-07-13,279
2020-07-14,285
2020-07-15,289
2020-07-16,290
2020-07-17,296
2020-07-18,303
2020-07-19,310
2020-07-20,317
2020-07-21,318
2020-07-22,321
2020-07-23,327
2020-07-24,332
2020-07-25,333
2020-07-26,340
2020-07-27,345
2020-07-28,353
2020-07-29,360
2020-07-30,363
2020-07-31,365
2020-08-01,367
2020-08-02,370
2020-08-03,374
2020-08-04,376
2020-08-05,376
2020-08-06,379
2020-08-07,379
2020-08-08,382
2020-08-09,385
2020-08-10,387
2020-08-11,390
2020-08-12,390
2020-08-13,390
2020-08-14,394
2020-08-15,397
2020-08-16,401
2020-08-17,401
2020-08-18,401
2020-08-19,404
2020-08-20,405
2020-08-21,407
2020-08-22,409
2020-08-23,409
2020-08-24,409
2020-08-25,409
2020-08-26,412
2020-08-27,414
2020-08-28,416
2020-08-29,416
2020-08-30,417
2020-08-31,417
2020-09-01,417
2020-09-02,417
2020-09-03,417
2020-09-04,417
2020-09-05,417
2020-09-06,417
2020-09-07,417
2020-09-08,417
2020-09-09,418
2020-09-10,418
2020-09-11,418
2020-09-12,418
2020-09-13,418
2020-09-14,420
2020-09-15,420
2020-09-16,420
2020-09-17,420
2020-09-18,420
2020-09-19,420
2020-09-20,422
2020-09-21,422
2020-09-22,422
2020-09-23,422
2020-09-24,422
2020-09-25,422
2020-09-26,422
2020-09-27,422
2020-09-28,422
2020-09-29,422
2020-09-30,422
2020-10-01,422
2020-10-02,422
2020-10-03,422
2020-10-04,422
2020-10-05,422
2020-10-06,422
2020-10-07,422
2020-10-08,422
2020-10-09,422
2020-10-10,422
2020-10-11,422
2020-10-12,422
2020-10-13,422
2020-10-14,422
2020-10-15,422
2020-10-16,422
2020-10-17,422
2020-10-18,422
2020-10-19,422
2020-10-20,422
2020-10-21,422
2020-10-22,422
2020-10-23,422
2020-10-24,422
2020-10-25,422
2020-10-26,422
2020-10-28,422
2020-10-29,422
2020-10-30,422
2020-10-31,422
2020-11-01,422
2020-11-02,422
2020-11-03,422
2020-11-04,422
2020-11-05,422
2020-11-06,422
2020-11-07,422
2020-11-08,422
2020-11-09,422
2020-11-10,422
2020-11-11,422
2020-11-12,422
2020-11-13,422
2020-11-14,422
2020-11-15,422
2020-11-16,422
2020-11-17,422
2020-11-18,422
2020-11-19,422
2020-11-20,422
2020-11-21,422
2020-11-22,422
2020-11-23,422
2020-11-24,422
2020-11-25,422
2020-11-26,422
2020-11-27,422
2020-11-28,422
2020-11-29,422
2020-11-30,422
2020-12-01,422
2020-12-02,422
2020-12-03,422
2020-12-04,422
2020-12-05,422
2020-12-06,422
2020-12-07,422
2020-12-08,422
2020-12-09,422
2020-12-10,422
2020-12-11,422
2020-12-12,422
2020-12-13,422
2020-12-14,422
2020-12-15,422
2020-12-16,422
2020-12-17,422
2020-12-18,422
2020-12-19,422
2020-12-20,422
2020-12-21,422
2020-12-22,422
2020-12-23,422
2020-12-24,422
2020-12-25,422
2020-12-26,422
2020-12-27,422
2020-12-28,422
2020-12-29,422
2021-01-03,422
2021-01-04,422
2021-01-05,422
2021-01-06,422
2021-01-07,422
2021-01-08,422
2021-01-09,422
2021-01-10,422
2021-01-11,422
2021-01-12,422
2021-01-13,422
2021-01-14,422
2021-01-15,422
2021-01-16,422
2021-01-17,422
2021-01-18,422
2021-01-19,422
2021-01-20,422
2021-01-21,422
2021-01-22,422
2021-01-23,422
2021-01-24,422
2021-01-25,422
2021-01-26,422
2021-01-27,422
2021-01-28,422
2021-01-29,422
2021-01-30,422
2021-01-31,422
