Date,Confirmed
2020-05-01,27
2020-05-02,28
2020-05-03,28
2020-05-04,28
2020-05-05,28
2020-05-06,32
2020-05-07,32
2020-05-08,34
2020-05-09,38
2020-05-10,39
2020-05-11,42
2020-05-12,46
2020-05-13,48
2020-05-14,51
2020-05-15,51
2020-05-16,55
2020-05-17,58
2020-05-18,58
2020-05-19,58
2020-05-20,58
2020-05-21,60
2020-05-22,65
2020-05-23,68
2020-05-24,69
2020-05-25,78
2020-05-26,78
2020-05-27,81
2020-05-28,84
2020-05-29,84
2020-05-30,87
2020-05-31,90
2020-06-01,92
2020-06-02,96
2020-06-03,96
2020-06-04,98
2020-06-05,101
2020-06-06,105
2020-06-07,108
2020-06-08,111
2020-06-09,114
2020-06-10,116
2020-06-11,118
2020-06-12,120
2020-06-13,123
2020-06-14,123
2020-06-15,125
2020-06-16,127
2020-06-17,129
2020-06-18,131
2020-06-19,133
2020-06-20,133
2020-06-21,138
2020-06-22,140
2020-06-23,144
2020-06-24,146
2020-06-25,149
2020-06-26,151
2020-06-27,155
2020-06-28,169
2020-06-29,171
2020-06-30,186
2020-07-01,193
2020-07-02,205
2020-07-03,215
2020-07-04,219
2020-07-05,226
2020-07-06,232
2020-07-07,247
2020-07-08,263
2020-07-09,268
2020-07-10,269
2020-07-11,277
2020-07-12,281
2020-07-13,298
2020-07-14,315
2020-07-15,327
2020-07-16,336
2020-07-17,378
2020-07-18,396
2020-07-19,408
2020-07-20,420
2020-07-21,436
2020-07-22,471
2020-07-23,482
2020-07-24,493
2020-07-25,501
2020-07-26,517
2020-07-27,549
2020-07-28,605
2020-07-29,623
2020-07-30,641
2020-07-31,664
2020-08-01,672
2020-08-02,684
2020-08-03,704
2020-08-04,729
2020-08-05,734
2020-08-06,779
2020-08-07,791
2020-08-08,811
2020-08-09,822
2020-08-10,834
2020-08-11,839
2020-08-12,853
2020-08-13,853
2020-08-14,886
2020-08-15,913
2020-08-16,926
2020-08-17,937
2020-08-18,956
2020-08-19,957
2020-08-20,972
2020-08-21,984
2020-08-22,1001
2020-08-23,1019
2020-08-24,1019
2020-08-25,1032
2020-08-26,1038
2020-08-27,1040
2020-08-28,1049
2020-08-29,1064
2020-08-30,1067
2020-08-31,1088
2020-09-01,1090
2020-09-02,1099
2020-09-03,1107
2020-09-04,1116
2020-09-05,1124
2020-09-06,1139
2020-09-07,1150
2020-09-08,1168
2020-09-09,1174
2020-09-10,1177
2020-09-11,1188
2020-09-12,1206
2020-09-13,1214
2020-09-14,1222
2020-09-15,1230
2020-09-16,1238
2020-09-17,1240
2020-09-18,1249
2020-09-19,1267
2020-09-20,1279
2020-09-21,1283
2020-09-22,1287
2020-09-23,1287
2020-09-24,1287
2020-09-25,1292
2020-09-26,1294
2020-09-27,1294
2020-09-28,1300
2020-09-29,1300
2020-09-30,1311
2020-10-01,1312
2020-10-02,1316
2020-10-03,1319
2020-10-04,1322
2020-10-05,1323
2020-10-06,1325
2020-10-07,1327
2020-10-08,1330
2020-10-09,1331
2020-10-10,1334
2020-10-11,1334
2020-10-12,1335
2020-10-13,1339
2020-10-14,1339
2020-10-15,1346
2020-10-16,1351
2020-10-17,1352
2020-10-18,1355
2020-10-19,1355
2020-10-20,1370
2020-10-21,1370
2020-10-22,1386
2020-10-23,1394
2020-10-24,1394
2020-10-25,1394
2020-10-26,1394
2020-10-28,1394
2020-10-29,1394
2020-10-30,1394
2020-10-31,1394
2020-11-01,1394
2020-11-02,1394
2020-11-03,1394
2020-11-04,1394
2020-11-05,1394
2020-11-06,1394
2020-11-07,1394
2020-11-08,1394
2020-11-09,1394
2020-11-10,1394
2020-11-11,1394
2020-11-12,1394
2020-11-13,1394
2020-11-14,1394
2020-11-15,1394
2020-11-16,1394
2020-11-17,1394
2020-11-18,1394
2020-11-19,1394
2020-11-20,1394
2020-11-21,1394
2020-11-22,1394
2020-11-23,1394
2020-11-24,1394
2020-11-25,1394
2020-11-26,1394
2020-11-27,1394
2020-11-28,1394
2020-11-29,1394
2020-11-30,1394
2020-12-01,1394
2020-12-02,1394
2020-12-03,1394
2020-12-04,1394
2020-12-05,1394
2020-12-06,1394
2020-12-07,1394
2020-12-08,1394
2020-12-09,1394
2020-12-10,1394
2020-12-11,1394
2020-12-12,1394
2020-12-13,1394
2020-12-14,1394
2020-12-15,1394
2020-12-16,1394
2020-12-17,1394
2020-12-18,1394
2020-12-19,1394
2020-12-20,1394
2020-12-21,1394
2020-12-22,1394
2020-12-23,1394
2020-12-24,1394
2020-12-25,1394
2020-12-26,1394
2020-12-27,1394
2020-12-28,1394
2020-12-29,1394
2021-01-03,1394
2021-01-04,1394
2021-01-05,1394
2021-01-06,1394
2021-01-07,1394
2021-01-08,1394
2021-01-09,1394
2021-01-10,1394
2021-01-11,1394
2021-01-12,1394
2021-01-13,1394
2021-01-14,1394
2021-01-15,1394
2021-01-16,1394
2021-01-17,1394
2021-01-18,1394
2021-01-19,1394
2021-01-20,1394
2021-01-21,1394
2021-01-22,1394
2021-01-23,1394
2021-01-24,1394
2021-01-25,1394
2021-01-26,1394
2021-01-27,1394
2021-01-28,1394
2021-01-29,1394
2021-01-30,1394
2021-01-31,1394
