Date,Confirmed
2020-05-01,50
2020-05-02,51
2020-05-03,51
2020-05-04,52
2020-05-05,52
2020-05-06,53
2020-05-07,56
2020-05-08,56
2020-05-09,60
2020-05-10,65
2020-05-11,65
2020-05-12,68
2020-05-13,68
2020-05-14,76
2020-05-15,81
2020-05-16,81
2020-05-17,85
2020-05-18,94
2020-05-19,101
2020-05-20,103
2020-05-21,107
2020-05-22,110
2020-05-23,110
2020-05-24,113
2020-05-25,119
2020-05-26,119
2020-05-27,120
2020-05-28,120
2020-05-29,126
2020-05-30,126
2020-05-31,129
2020-06-01,129
2020-06-02,134
2020-06-03,138
2020-06-04,138
2020-06-05,138
2020-06-06,138
2020-06-07,141
2020-06-08,144
2020-06-09,146
2020-06-10,146
2020-06-11,148
2020-06-12,150
2020-06-13,150
2020-06-14,151
2020-06-15,151
2020-06-16,151
2020-06-17,151
2020-06-18,151
2020-06-19,153
2020-06-20,154
2020-06-21,154
2020-06-22,154
2020-06-23,154
2020-06-24,154
2020-06-25,154
2020-06-26,171
2020-06-27,186
2020-06-28,186
2020-06-29,186
2020-06-30,195
2020-07-01,219
2020-07-02,219
2020-07-03,220
2020-07-04,220
2020-07-05,235
2020-07-06,267
2020-07-07,281
2020-07-08,295
2020-07-09,301
2020-07-10,301
2020-07-11,301
2020-07-12,301
2020-07-13,301
2020-07-14,330
2020-07-15,363
2020-07-16,363
2020-07-17,374
2020-07-18,375
2020-07-19,398
2020-07-20,420
2020-07-21,438
2020-07-22,438
2020-07-23,438
2020-07-24,438
2020-07-25,458
2020-07-26,458
2020-07-27,470
2020-07-28,478
2020-07-29,479
2020-07-30,479
2020-07-31,479
2020-08-01,503
2020-08-02,539
2020-08-03,546
2020-08-04,558
2020-08-05,558
2020-08-06,558
2020-08-07,558
2020-08-08,575
2020-08-09,575
2020-08-10,592
2020-08-11,597
2020-08-12,598
2020-08-13,598
2020-08-14,606
2020-08-15,606
2020-08-16,613
2020-08-17,616
2020-08-18,618
2020-08-19,635
2020-08-20,635
2020-08-21,635
2020-08-22,672
2020-08-23,672
2020-08-24,698
2020-08-25,722
2020-08-26,727
2020-08-27,748
2020-08-28,769
2020-08-29,784
2020-08-30,808
2020-08-31,814
2020-09-01,828
2020-09-02,841
2020-09-03,853
2020-09-04,876
2020-09-05,885
2020-09-06,911
2020-09-07,911
2020-09-08,911
2020-09-09,911
2020-09-10,913
2020-09-11,922
2020-09-12,939
2020-09-13,948
2020-09-14,948
2020-09-15,953
2020-09-16,962
2020-09-17,962
2020-09-18,980
2020-09-19,1000
2020-09-20,1007
2020-09-21,1020
2020-09-22,1025
2020-09-23,1038
2020-09-24,1038
2020-09-25,1043
2020-09-26,1043
2020-09-27,1043
2020-09-28,1043
2020-09-29,1043
2020-09-30,1051
2020-10-01,1052
2020-10-02,1058
2020-10-03,1067
2020-10-04,1078
2020-10-05,1081
2020-10-06,1089
2020-10-07,1095
2020-10-08,1096
2020-10-09,1101
2020-10-10,1109
2020-10-11,1114
2020-10-12,1125
2020-10-13,1130
2020-10-14,1130
2020-10-15,1143
2020-10-16,1149
2020-10-17,1155
2020-10-18,1168
2020-10-19,1168
2020-10-20,1180
2020-10-21,1180
2020-10-22,1197
2020-10-23,1206
2020-10-24,1206
2020-10-25,1206
2020-10-26,1206
2020-10-28,1206
2020-10-29,1206
2020-10-30,1206
2020-10-31,1206
2020-11-01,1206
2020-11-02,1206
2020-11-03,1206
2020-11-04,1206
2020-11-05,1206
2020-11-06,1206
2020-11-07,1206
2020-11-08,1206
2020-11-09,1206
2020-11-10,1206
2020-11-11,1206
2020-11-12,1206
2020-11-13,1206
2020-11-14,1206
2020-11-15,1206
2020-11-16,1206
2020-11-17,1206
2020-11-18,1206
2020-11-19,1206
2020-11-20,1206
2020-11-21,1206
2020-11-22,1206
2020-11-23,1206
2020-11-24,1206
2020-11-25,1206
2020-11-26,1206
2020-11-27,1206
2020-11-28,1206
2020-11-29,1206
2020-11-30,1206
2020-12-01,1206
2020-12-02,1206
2020-12-03,1206
2020-12-04,1206
2020-12-05,1206
2020-12-06,1206
2020-12-07,1206
2020-12-08,1206
2020-12-09,1206
2020-12-10,1206
2020-12-11,1206
2020-12-12,1206
2020-12-13,1206
2020-12-14,1206
2020-12-15,1206
2020-12-16,1206
2020-12-17,1206
2020-12-18,1206
2020-12-19,1206
2020-12-20,1206
2020-12-21,1206
2020-12-22,1206
2020-12-23,1206
2020-12-24,1206
2020-12-25,1206
2020-12-26,1206
2020-12-27,1206
2020-12-28,1206
2020-12-29,1206
2021-01-03,1206
2021-01-04,1206
2021-01-05,1206
2021-01-06,1206
2021-01-07,1206
2021-01-08,1206
2021-01-09,1206
2021-01-10,1206
2021-01-11,1206
2021-01-12,1206
2021-01-13,1206
2021-01-14,1206
2021-01-15,1206
2021-01-16,1206
2021-01-17,1206
2021-01-18,1206
2021-01-19,1206
2021-01-20,1206
2021-01-21,1206
2021-01-22,1206
2021-01-23,1206
2021-01-24,1206
2021-01-25,1206
2021-01-26,1206
2021-01-27,1206
2021-01-28,1206
2021-01-29,1206
2021-01-30,1206
2021-01-31,1206
