Date,Confirmed
2020-05-01,42
2020-05-02,42
2020-05-03,42
2020-05-04,52
2020-05-05,61
2020-05-06,69
2020-05-07,69
2020-05-08,69
2020-05-09,81
2020-05-10,83
2020-05-11,83
2020-05-12,87
2020-05-13,87
2020-05-14,100
2020-05-15,100
2020-05-16,102
2020-05-17,102
2020-05-18,119
2020-05-19,119
2020-05-20,119
2020-05-21,128
2020-05-22,128
2020-05-23,135
2020-05-24,135
2020-05-25,135
2020-05-26,163
2020-05-27,163
2020-05-28,163
2020-05-29,163
2020-05-30,163
2020-05-31,163
2020-06-01,163
2020-06-02,169
2020-06-03,169
2020-06-04,169
2020-06-05,169
2020-06-06,169
2020-06-07,169
2020-06-08,169
2020-06-09,169
2020-06-10,169
2020-06-11,169
2020-06-12,169
2020-06-13,170
2020-06-14,170
2020-06-15,171
2020-06-16,172
2020-06-17,172
2020-06-18,172
2020-06-19,176
2020-06-20,176
2020-06-21,176
2020-06-22,176
2020-06-23,176
2020-06-24,176
2020-06-25,176
2020-06-26,179
2020-06-27,179
2020-06-28,179
2020-06-29,179
2020-06-30,179
2020-07-01,179
2020-07-02,180
2020-07-03,180
2020-07-04,180
2020-07-05,183
2020-07-06,183
2020-07-07,186
2020-07-08,190
2020-07-09,193
2020-07-10,193
2020-07-11,193
2020-07-12,193
2020-07-13,197
2020-07-14,199
2020-07-15,204
2020-07-16,208
2020-07-17,208
2020-07-18,208
2020-07-19,208
2020-07-20,214
2020-07-21,215
2020-07-22,215
2020-07-23,224
2020-07-24,242
2020-07-25,252
2020-07-26,252
2020-07-27,252
2020-07-28,252
2020-07-29,256
2020-07-30,256
2020-07-31,277
2020-08-01,295
2020-08-02,295
2020-08-03,296
2020-08-04,296
2020-08-05,296
2020-08-06,296
2020-08-07,296
2020-08-08,296
2020-08-09,299
2020-08-10,300
2020-08-11,300
2020-08-12,300
2020-08-13,300
2020-08-14,314
2020-08-15,314
2020-08-16,314
2020-08-17,316
2020-08-18,328
2020-08-19,328
2020-08-20,337
2020-08-21,337
2020-08-22,340
2020-08-23,340
2020-08-24,341
2020-08-25,342
2020-08-26,343
2020-08-27,347
2020-08-28,347
2020-08-29,347
2020-08-30,347
2020-08-31,347
2020-09-01,347
2020-09-02,347
2020-09-03,347
2020-09-04,347
2020-09-05,347
2020-09-06,347
2020-09-07,347
2020-09-08,347
2020-09-09,347
2020-09-10,348
2020-09-11,348
2020-09-12,348
2020-09-13,348
2020-09-14,348
2020-09-15,348
2020-09-16,348
2020-09-17,348
2020-09-18,348
2020-09-19,348
2020-09-20,348
2020-09-21,348
2020-09-22,348
2020-09-23,348
2020-09-24,348
2020-09-25,348
2020-09-26,348
2020-09-27,348
2020-09-28,348
2020-09-29,348
2020-09-30,348
2020-10-01,348
2020-10-02,348
2020-10-03,348
2020-10-04,348
2020-10-05,348
2020-10-06,348
2020-10-07,348
2020-10-08,348
2020-10-09,348
2020-10-10,348
2020-10-11,348
2020-10-12,348
2020-10-13,348
2020-10-14,348
2020-10-15,348
2020-10-16,348
2020-10-17,348
2020-10-18,348
2020-10-19,348
2020-10-20,348
2020-10-21,348
2020-10-22,348
2020-10-23,348
2020-10-24,348
2020-10-25,348
2020-10-26,348
2020-10-28,348
2020-10-29,348
2020-10-30,348
2020-10-31,348
2020-11-01,348
2020-11-02,348
2020-11-03,348
2020-11-04,348
2020-11-05,348
2020-11-06,348
2020-11-07,348
2020-11-08,348
2020-11-09,348
2020-11-10,348
2020-11-11,348
2020-11-12,348
2020-11-13,348
2020-11-14,348
2020-11-15,348
2020-11-16,348
2020-11-17,348
2020-11-18,348
2020-11-19,348
2020-11-20,348
2020-11-21,348
2020-11-22,348
2020-11-23,348
2020-11-24,348
2020-11-25,348
2020-11-26,348
2020-11-27,348
2020-11-28,348
2020-11-29,348
2020-11-30,348
2020-12-01,348
2020-12-02,348
2020-12-03,348
2020-12-04,348
2020-12-05,348
2020-12-06,348
2020-12-07,348
2020-12-08,348
2020-12-09,348
2020-12-10,348
2020-12-11,348
2020-12-12,348
2020-12-13,348
2020-12-14,348
2020-12-15,348
2020-12-16,348
2020-12-17,348
2020-12-18,348
2020-12-19,348
2020-12-20,348
2020-12-21,348
2020-12-22,348
2020-12-23,348
2020-12-24,348
2020-12-25,348
2020-12-26,348
2020-12-27,348
2020-12-28,348
2020-12-29,348
2021-01-03,348
2021-01-04,348
2021-01-05,348
2021-01-06,348
2021-01-07,348
2021-01-08,348
2021-01-09,348
2021-01-10,348
2021-01-11,348
2021-01-12,348
2021-01-13,348
2021-01-14,348
2021-01-15,348
2021-01-16,348
2021-01-17,348
2021-01-18,348
2021-01-19,348
2021-01-20,348
2021-01-21,348
2021-01-22,348
2021-01-23,348
2021-01-24,348
2021-01-25,348
2021-01-26,348
2021-01-27,348
2021-01-28,348
2021-01-29,348
2021-01-30,348
2021-01-31,348
