Date,Confirmed
2020-05-01,131
2020-05-02,134
2020-05-03,135
2020-05-04,138
2020-05-05,149
2020-05-06,151
2020-05-07,151
2020-05-08,157
2020-05-09,163
2020-05-10,173
2020-05-11,175
2020-05-12,178
2020-05-13,182
2020-05-14,191
2020-05-15,198
2020-05-16,211
2020-05-17,219
2020-05-18,221
2020-05-19,221
2020-05-20,223
2020-05-21,228
2020-05-22,232
2020-05-23,238
2020-05-24,249
2020-05-25,252
2020-05-26,263
2020-05-27,277
2020-05-28,279
2020-05-29,281
2020-05-30,288
2020-05-31,291
2020-06-01,295
2020-06-02,297
2020-06-03,297
2020-06-04,298
2020-06-05,303
2020-06-06,305
2020-06-07,305
2020-06-08,309
2020-06-09,311
2020-06-10,314
2020-06-11,316
2020-06-12,316
2020-06-13,317
2020-06-14,317
2020-06-15,319
2020-06-16,321
2020-06-17,321
2020-06-18,323
2020-06-19,324
2020-06-20,325
2020-06-21,327
2020-06-22,328
2020-06-23,333
2020-06-24,340
2020-06-25,341
2020-06-26,342
2020-06-27,344
2020-06-28,344
2020-06-29,345
2020-06-30,353
2020-07-01,356
2020-07-02,375
2020-07-03,382
2020-07-04,393
2020-07-05,407
2020-07-06,418
2020-07-07,431
2020-07-08,453
2020-07-09,458
2020-07-10,458
2020-07-11,458
2020-07-12,462
2020-07-13,487
2020-07-14,491
2020-07-15,506
2020-07-16,521
2020-07-17,548
2020-07-18,574
2020-07-19,580
2020-07-20,589
2020-07-21,595
2020-07-22,601
2020-07-23,613
2020-07-24,673
2020-07-25,703
2020-07-26,722
2020-07-27,740
2020-07-28,767
2020-07-29,826
2020-07-30,832
2020-07-31,835
2020-08-01,847
2020-08-02,861
2020-08-03,909
2020-08-04,909
2020-08-05,947
2020-08-06,947
2020-08-07,1020
2020-08-08,1031
2020-08-09,1040
2020-08-10,1064
2020-08-11,1074
2020-08-12,1143
2020-08-13,1143
2020-08-14,1201
2020-08-15,1204
2020-08-16,1220
2020-08-17,1227
2020-08-18,1242
2020-08-19,1280
2020-08-20,1286
2020-08-21,1315
2020-08-22,1363
2020-08-23,1393
2020-08-24,1394
2020-08-25,1405
2020-08-26,1418
2020-08-27,1430
2020-08-28,1460
2020-08-29,1462
2020-08-30,1501
2020-08-31,1507
2020-09-01,1518
2020-09-02,1533
2020-09-03,1543
2020-09-04,1564
2020-09-05,1571
2020-09-06,1575
2020-09-07,1594
2020-09-08,1625
2020-09-09,1635
2020-09-10,1641
2020-09-11,1660
2020-09-12,1661
2020-09-13,1673
2020-09-14,1691
2020-09-15,1703
2020-09-16,1710
2020-09-17,1733
2020-09-18,1741
2020-09-19,1754
2020-09-20,1762
2020-09-21,1771
2020-09-22,1791
2020-09-23,1791
2020-09-24,1791
2020-09-25,1812
2020-09-26,1821
2020-09-27,1821
2020-09-28,1829
2020-09-29,1829
2020-09-30,1847
2020-10-01,1861
2020-10-02,1867
2020-10-03,1867
2020-10-04,1872
2020-10-05,1879
2020-10-06,1880
2020-10-07,1887
2020-10-08,1888
2020-10-09,1907
2020-10-10,1914
2020-10-11,1914
2020-10-12,1934
2020-10-13,1946
2020-10-14,1946
2020-10-15,1989
2020-10-16,2012
2020-10-17,2020
2020-10-18,2040
2020-10-19,2040
2020-10-20,2064
2020-10-21,2064
2020-10-22,2103
2020-10-23,2139
2020-10-24,2139
2020-10-25,2139
2020-10-26,2139
2020-10-28,2139
2020-10-29,2139
2020-10-30,2139
2020-10-31,2139
2020-11-01,2139
2020-11-02,2139
2020-11-03,2139
2020-11-04,2139
2020-11-05,2139
2020-11-06,2139
2020-11-07,2139
2020-11-08,2139
2020-11-09,2139
2020-11-10,2139
2020-11-11,2139
2020-11-12,2139
2020-11-13,2139
2020-11-14,2139
2020-11-15,2139
2020-11-16,2139
2020-11-17,2139
2020-11-18,2139
2020-11-19,2139
2020-11-20,2139
2020-11-21,2139
2020-11-22,2139
2020-11-23,2139
2020-11-24,2139
2020-11-25,2139
2020-11-26,2139
2020-11-27,2139
2020-11-28,2139
2020-11-29,2139
2020-11-30,2139
2020-12-01,2139
2020-12-02,2139
2020-12-03,2139
2020-12-04,2139
2020-12-05,2139
2020-12-06,2139
2020-12-07,2139
2020-12-08,2139
2020-12-09,2139
2020-12-10,2139
2020-12-11,2139
2020-12-12,2139
2020-12-13,2139
2020-12-14,2139
2020-12-15,2139
2020-12-16,2139
2020-12-17,2139
2020-12-18,2139
2020-12-19,2139
2020-12-20,2139
2020-12-21,2139
2020-12-22,2139
2020-12-23,2139
2020-12-24,2139
2020-12-25,2139
2020-12-26,2139
2020-12-27,2139
2020-12-28,2139
2020-12-29,2139
2021-01-03,2139
2021-01-04,2139
2021-01-05,2139
2021-01-06,2139
2021-01-07,2139
2021-01-08,2139
2021-01-09,2139
2021-01-10,2139
2021-01-11,2139
2021-01-12,2139
2021-01-13,2139
2021-01-14,2139
2021-01-15,2139
2021-01-16,2139
2021-01-17,2139
2021-01-18,2139
2021-01-19,2139
2021-01-20,2139
2021-01-21,2139
2021-01-22,2139
2021-01-23,2139
2021-01-24,2139
2021-01-25,2139
2021-01-26,2139
2021-01-27,2139
2021-01-28,2139
2021-01-29,2139
2021-01-30,2139
2021-01-31,2139
