Date,Confirmed
2020-05-01,49
2020-05-02,49
2020-05-03,49
2020-05-04,55
2020-05-05,55
2020-05-06,55
2020-05-07,59
2020-05-08,62
2020-05-09,63
2020-05-10,63
2020-05-11,63
2020-05-12,68
2020-05-13,68
2020-05-14,72
2020-05-15,72
2020-05-16,72
2020-05-17,72
2020-05-18,72
2020-05-19,72
2020-05-20,72
2020-05-21,72
2020-05-22,72
2020-05-23,72
2020-05-24,72
2020-05-25,72
2020-05-26,72
2020-05-27,72
2020-05-28,72
2020-05-29,72
2020-05-30,73
2020-05-31,73
2020-06-01,73
2020-06-02,73
2020-06-03,73
2020-06-04,73
2020-06-05,73
2020-06-06,73
2020-06-07,73
2020-06-08,73
2020-06-09,73
2020-06-10,73
2020-06-11,73
2020-06-12,73
2020-06-13,73
2020-06-14,73
2020-06-15,73
2020-06-16,73
2020-06-17,76
2020-06-18,76
2020-06-19,77
2020-06-20,78
2020-06-21,80
2020-06-22,85
2020-06-23,88
2020-06-24,88
2020-06-25,92
2020-06-26,92
2020-06-27,99
2020-06-28,99
2020-06-29,99
2020-06-30,99
2020-07-01,99
2020-07-02,100
2020-07-03,100
2020-07-04,100
2020-07-05,100
2020-07-06,100
2020-07-07,100
2020-07-08,100
2020-07-09,100
2020-07-10,104
2020-07-11,104
2020-07-12,104
2020-07-13,104
2020-07-14,104
2020-07-15,104
2020-07-16,104
2020-07-17,104
2020-07-18,107
2020-07-19,107
2020-07-20,107
2020-07-21,107
2020-07-22,107
2020-07-23,107
2020-07-24,107
2020-07-25,107
2020-07-26,107
2020-07-27,107
2020-07-28,107
2020-07-29,107
2020-07-30,107
2020-07-31,107
2020-08-01,107
2020-08-02,107
2020-08-03,107
2020-08-04,107
2020-08-05,107
2020-08-06,107
2020-08-07,107
2020-08-08,107
2020-08-09,149
2020-08-10,165
2020-08-11,165
2020-08-12,175
2020-08-13,175
2020-08-14,188
2020-08-15,188
2020-08-16,188
2020-08-17,188
2020-08-18,188
2020-08-19,188
2020-08-20,188
2020-08-21,188
2020-08-22,194
2020-08-23,194
2020-08-24,194
2020-08-25,194
2020-08-26,194
2020-08-27,194
2020-08-28,194
2020-08-29,194
2020-08-30,194
2020-08-31,194
2020-09-01,194
2020-09-02,194
2020-09-03,203
2020-09-04,204
2020-09-05,204
2020-09-06,204
2020-09-07,204
2020-09-08,204
2020-09-09,205
2020-09-10,205
2020-09-11,216
2020-09-12,216
2020-09-13,216
2020-09-14,216
2020-09-15,216
2020-09-16,218
2020-09-17,218
2020-09-18,223
2020-09-19,223
2020-09-20,223
2020-09-21,226
2020-09-22,227
2020-09-23,233
2020-09-24,233
2020-09-25,234
2020-09-26,234
2020-09-27,234
2020-09-28,235
2020-09-29,235
2020-09-30,240
2020-10-01,240
2020-10-02,240
2020-10-03,240
2020-10-04,240
2020-10-05,240
2020-10-06,240
2020-10-07,240
2020-10-08,240
2020-10-09,240
2020-10-10,240
2020-10-11,240
2020-10-12,240
2020-10-13,240
2020-10-14,240
2020-10-15,240
2020-10-16,240
2020-10-17,240
2020-10-18,240
2020-10-19,240
2020-10-20,245
2020-10-21,245
2020-10-22,245
2020-10-23,248
2020-10-24,248
2020-10-25,248
2020-10-26,248
2020-10-28,248
2020-10-29,248
2020-10-30,248
2020-10-31,248
2020-11-01,248
2020-11-02,248
2020-11-03,248
2020-11-04,248
2020-11-05,248
2020-11-06,248
2020-11-07,248
2020-11-08,248
2020-11-09,248
2020-11-10,248
2020-11-11,248
2020-11-12,248
2020-11-13,248
2020-11-14,248
2020-11-15,248
2020-11-16,248
2020-11-17,248
2020-11-18,248
2020-11-19,248
2020-11-20,248
2020-11-21,248
2020-11-22,248
2020-11-23,248
2020-11-24,248
2020-11-25,248
2020-11-26,248
2020-11-27,248
2020-11-28,248
2020-11-29,248
2020-11-30,248
2020-12-01,248
2020-12-02,248
2020-12-03,248
2020-12-04,248
2020-12-05,248
2020-12-06,248
2020-12-07,248
2020-12-08,248
2020-12-09,248
2020-12-10,248
2020-12-11,248
2020-12-12,248
2020-12-13,248
2020-12-14,248
2020-12-15,248
2020-12-16,248
2020-12-17,248
2020-12-18,248
2020-12-19,248
2020-12-20,248
2020-12-21,248
2020-12-22,248
2020-12-23,248
2020-12-24,248
2020-12-25,248
2020-12-26,248
2020-12-27,248
2020-12-28,248
2020-12-29,248
2021-01-03,248
2021-01-04,248
2021-01-05,248
2021-01-06,248
2021-01-07,248
2021-01-08,248
2021-01-09,248
2021-01-10,248
2021-01-11,248
2021-01-12,248
2021-01-13,248
2021-01-14,248
2021-01-15,248
2021-01-16,248
2021-01-17,248
2021-01-18,248
2021-01-19,248
2021-01-20,248
2021-01-21,248
2021-01-22,248
2021-01-23,248
2021-01-24,248
2021-01-25,248
2021-01-26,248
2021-01-27,248
2021-01-28,248
2021-01-29,248
2021-01-30,248
2021-01-31,248
