Date,Confirmed
2020-05-01,181
2020-05-02,185
2020-05-03,185
2020-05-04,198
2020-05-05,211
2020-05-06,221
2020-05-07,233
2020-05-08,241
2020-05-09,242
2020-05-10,259
2020-05-11,259
2020-05-12,272
2020-05-13,281
2020-05-14,289
2020-05-15,302
2020-05-16,309
2020-05-17,324
2020-05-18,337
2020-05-19,358
2020-05-20,364
2020-05-21,372
2020-05-22,385
2020-05-23,390
2020-05-24,418
2020-05-25,418
2020-05-26,428
2020-05-27,428
2020-05-28,436
2020-05-29,443
2020-05-30,459
2020-05-31,464
2020-06-01,469
2020-06-02,473
2020-06-03,477
2020-06-04,480
2020-06-05,481
2020-06-06,484
2020-06-07,485
2020-06-08,487
2020-06-09,490
2020-06-10,492
2020-06-11,494
2020-06-12,497
2020-06-13,499
2020-06-14,501
2020-06-15,504
2020-06-16,507
2020-06-17,510
2020-06-18,513
2020-06-19,521
2020-06-20,524
2020-06-21,527
2020-06-22,531
2020-06-23,537
2020-06-24,541
2020-06-25,543
2020-06-26,544
2020-06-27,557
2020-06-28,572
2020-06-29,574
2020-06-30,585
2020-07-01,603
2020-07-02,613
2020-07-03,625
2020-07-04,632
2020-07-05,652
2020-07-06,664
2020-07-07,670
2020-07-08,680
2020-07-09,692
2020-07-10,742
2020-07-11,753
2020-07-12,757
2020-07-13,759
2020-07-14,787
2020-07-15,804
2020-07-16,832
2020-07-17,840
2020-07-18,845
2020-07-19,853
2020-07-20,857
2020-07-21,863
2020-07-22,880
2020-07-23,887
2020-07-24,917
2020-07-25,959
2020-07-26,982
2020-07-27,999
2020-07-28,1014
2020-07-29,1025
2020-07-30,1038
2020-07-31,1069
2020-08-01,1077
2020-08-02,1091
2020-08-03,1094
2020-08-04,1107
2020-08-05,1188
2020-08-06,1224
2020-08-07,1260
2020-08-08,1300
2020-08-09,1318
2020-08-10,1322
2020-08-11,1323
2020-08-12,1333
2020-08-13,1333
2020-08-14,1348
2020-08-15,1356
2020-08-16,1363
2020-08-17,1369
2020-08-18,1393
2020-08-19,1400
2020-08-20,1412
2020-08-21,1417
2020-08-22,1422
2020-08-23,1429
2020-08-24,1442
2020-08-25,1443
2020-08-26,1453
2020-08-27,1462
2020-08-28,1466
2020-08-29,1489
2020-08-30,1492
2020-08-31,1500
2020-09-01,1505
2020-09-02,1507
2020-09-03,1513
2020-09-04,1521
2020-09-05,1540
2020-09-06,1551
2020-09-07,1553
2020-09-08,1558
2020-09-09,1566
2020-09-10,1576
2020-09-11,1580
2020-09-12,1588
2020-09-13,1593
2020-09-14,1598
2020-09-15,1601
2020-09-16,1611
2020-09-17,1614
2020-09-18,1621
2020-09-19,1622
2020-09-20,1626
2020-09-21,1627
2020-09-22,1630
2020-09-23,1633
2020-09-24,1633
2020-09-25,1644
2020-09-26,1651
2020-09-27,1651
2020-09-28,1653
2020-09-29,1653
2020-09-30,1659
2020-10-01,1663
2020-10-02,1665
2020-10-03,1673
2020-10-04,1678
2020-10-05,1679
2020-10-06,1681
2020-10-07,1685
2020-10-08,1688
2020-10-09,1691
2020-10-10,1691
2020-10-11,1694
2020-10-12,1699
2020-10-13,1704
2020-10-14,1704
2020-10-15,1720
2020-10-16,1723
2020-10-17,1733
2020-10-18,1739
2020-10-19,1739
2020-10-20,1750
2020-10-21,1750
2020-10-22,1762
2020-10-23,1765
2020-10-24,1765
2020-10-25,1765
2020-10-26,1765
2020-10-28,1765
2020-10-29,1765
2020-10-30,1765
2020-10-31,1765
2020-11-01,1765
2020-11-02,1765
2020-11-03,1765
2020-11-04,1765
2020-11-05,1765
2020-11-06,1765
2020-11-07,1765
2020-11-08,1765
2020-11-09,1765
2020-11-10,1765
2020-11-11,1765
2020-11-12,1765
2020-11-13,1765
2020-11-14,1765
2020-11-15,1765
2020-11-16,1765
2020-11-17,1765
2020-11-18,1765
2020-11-19,1765
2020-11-20,1765
2020-11-21,1765
2020-11-22,1765
2020-11-23,1765
2020-11-24,1765
2020-11-25,1765
2020-11-26,1765
2020-11-27,1765
2020-11-28,1765
2020-11-29,1765
2020-11-30,1765
2020-12-01,1765
2020-12-02,1765
2020-12-03,1765
2020-12-04,1765
2020-12-05,1765
2020-12-06,1765
2020-12-07,1765
2020-12-08,1765
2020-12-09,1765
2020-12-10,1765
2020-12-11,1765
2020-12-12,1765
2020-12-13,1765
2020-12-14,1765
2020-12-15,1765
2020-12-16,1765
2020-12-17,1765
2020-12-18,1765
2020-12-19,1765
2020-12-20,1765
2020-12-21,1765
2020-12-22,1765
2020-12-23,1765
2020-12-24,1765
2020-12-25,1765
2020-12-26,1765
2020-12-27,1765
2020-12-28,1765
2020-12-29,1765
2021-01-03,1765
2021-01-04,1765
2021-01-05,1765
2021-01-06,1765
2021-01-07,1765
2021-01-08,1765
2021-01-09,1765
2021-01-10,1765
2021-01-11,1765
2021-01-12,1765
2021-01-13,1765
2021-01-14,1765
2021-01-15,1765
2021-01-16,1765
2021-01-17,1765
2021-01-18,1765
2021-01-19,1765
2021-01-20,1765
2021-01-21,1765
2021-01-22,1765
2021-01-23,1765
2021-01-24,1765
2021-01-25,1765
2021-01-26,1765
2021-01-27,1765
2021-01-28,1765
2021-01-29,1765
2021-01-30,1765
2021-01-31,1765
