Date,Confirmed
2020-05-01,3
2020-05-02,3
2020-05-03,3
2020-05-04,3
2020-05-05,5
2020-05-06,7
2020-05-07,7
2020-05-08,10
2020-05-09,10
2020-05-10,10
2020-05-11,16
2020-05-12,16
2020-05-13,16
2020-05-14,16
2020-05-15,16
2020-05-16,21
2020-05-17,21
2020-05-18,21
2020-05-19,28
2020-05-20,28
2020-05-21,28
2020-05-22,28
2020-05-23,28
2020-05-24,28
2020-05-25,28
2020-05-26,37
2020-05-27,42
2020-05-28,42
2020-05-29,42
2020-05-30,42
2020-05-31,46
2020-06-01,48
2020-06-02,48
2020-06-03,48
2020-06-04,48
2020-06-05,48
2020-06-06,48
2020-06-07,48
2020-06-08,51
2020-06-09,51
2020-06-10,51
2020-06-11,52
2020-06-12,52
2020-06-13,53
2020-06-14,55
2020-06-15,57
2020-06-16,58
2020-06-17,58
2020-06-18,60
2020-06-19,63
2020-06-20,65
2020-06-21,65
2020-06-22,67
2020-06-23,67
2020-06-24,67
2020-06-25,68
2020-06-26,74
2020-06-27,75
2020-06-28,75
2020-06-29,85
2020-06-30,85
2020-07-01,85
2020-07-02,89
2020-07-03,89
2020-07-04,89
2020-07-05,93
2020-07-06,97
2020-07-07,97
2020-07-08,101
2020-07-09,102
2020-07-10,105
2020-07-11,115
2020-07-12,115
2020-07-13,115
2020-07-14,117
2020-07-15,120
2020-07-16,120
2020-07-17,120
2020-07-18,143
2020-07-19,159
2020-07-20,169
2020-07-21,180
2020-07-22,180
2020-07-23,180
2020-07-24,186
2020-07-25,186
2020-07-26,186
2020-07-27,192
2020-07-28,193
2020-07-29,205
2020-07-30,205
2020-07-31,207
2020-08-01,209
2020-08-02,212
2020-08-03,212
2020-08-04,212
2020-08-05,217
2020-08-06,223
2020-08-07,223
2020-08-08,223
2020-08-09,223
2020-08-10,225
2020-08-11,225
2020-08-12,225
2020-08-13,225
2020-08-14,225
2020-08-15,231
2020-08-16,231
2020-08-17,231
2020-08-18,232
2020-08-19,232
2020-08-20,232
2020-08-21,232
2020-08-22,232
2020-08-23,232
2020-08-24,232
2020-08-25,232
2020-08-26,232
2020-08-27,232
2020-08-28,232
2020-08-29,232
2020-08-30,232
2020-08-31,232
2020-09-01,232
2020-09-02,232
2020-09-03,232
2020-09-04,232
2020-09-05,232
2020-09-06,232
2020-09-07,232
2020-09-08,232
2020-09-09,232
2020-09-10,232
2020-09-11,232
2020-09-12,232
2020-09-13,232
2020-09-14,232
2020-09-15,232
2020-09-16,232
2020-09-17,232
2020-09-18,232
2020-09-19,232
2020-09-20,232
2020-09-21,232
2020-09-22,232
2020-09-23,232
2020-09-24,232
2020-09-25,232
2020-09-26,232
2020-09-27,232
2020-09-28,232
2020-09-29,232
2020-09-30,232
2020-10-01,232
2020-10-02,232
2020-10-03,232
2020-10-04,232
2020-10-05,232
2020-10-06,232
2020-10-07,232
2020-10-08,232
2020-10-09,232
2020-10-10,232
2020-10-11,232
2020-10-12,232
2020-10-13,232
2020-10-14,232
2020-10-15,232
2020-10-16,232
2020-10-17,232
2020-10-18,232
2020-10-19,232
2020-10-20,232
2020-10-21,232
2020-10-22,232
2020-10-23,232
2020-10-24,232
2020-10-25,232
2020-10-26,232
2020-10-28,232
2020-10-29,232
2020-10-30,232
2020-10-31,232
2020-11-01,232
2020-11-02,232
2020-11-03,232
2020-11-04,232
2020-11-05,232
2020-11-06,232
2020-11-07,232
2020-11-08,232
2020-11-09,232
2020-11-10,232
2020-11-11,232
2020-11-12,232
2020-11-13,232
2020-11-14,232
2020-11-15,232
2020-11-16,232
2020-11-17,232
2020-11-18,232
2020-11-19,232
2020-11-20,232
2020-11-21,232
2020-11-22,232
2020-11-23,232
2020-11-24,232
2020-11-25,232
2020-11-26,232
2020-11-27,232
2020-11-28,232
2020-11-29,232
2020-11-30,232
2020-12-01,232
2020-12-02,232
2020-12-03,232
2020-12-04,232
2020-12-05,232
2020-12-06,232
2020-12-07,232
2020-12-08,232
2020-12-09,232
2020-12-10,232
2020-12-11,232
2020-12-12,232
2020-12-13,232
2020-12-14,232
2020-12-15,232
2020-12-16,232
2020-12-17,232
2020-12-18,232
2020-12-19,232
2020-12-20,232
2020-12-21,232
2020-12-22,232
2020-12-23,232
2020-12-24,232
2020-12-25,232
2020-12-26,232
2020-12-27,232
2020-12-28,232
2020-12-29,232
2021-01-03,232
2021-01-04,232
2021-01-05,232
2021-01-06,232
2021-01-07,232
2021-01-08,232
2021-01-09,232
2021-01-10,232
2021-01-11,232
2021-01-12,232
2021-01-13,232
2021-01-14,232
2021-01-15,232
2021-01-16,232
2021-01-17,232
2021-01-18,232
2021-01-19,232
2021-01-20,232
2021-01-21,232
2021-01-22,232
2021-01-23,232
2021-01-24,232
2021-01-25,232
2021-01-26,232
2021-01-27,232
2021-01-28,232
2021-01-29,232
2021-01-30,232
2021-01-31,232
