Date,Confirmed
2020-05-01,16
2020-05-02,16
2020-05-03,16
2020-05-04,16
2020-05-05,16
2020-05-06,18
2020-05-07,19
2020-05-08,20
2020-05-09,20
2020-05-10,21
2020-05-11,21
2020-05-12,21
2020-05-13,21
2020-05-14,22
2020-05-15,22
2020-05-16,22
2020-05-17,22
2020-05-18,24
2020-05-19,24
2020-05-20,25
2020-05-21,25
2020-05-22,29
2020-05-23,29
2020-05-24,29
2020-05-25,29
2020-05-26,29
2020-05-27,29
2020-05-28,29
2020-05-29,30
2020-05-30,30
2020-05-31,34
2020-06-01,34
2020-06-02,35
2020-06-03,36
2020-06-04,37
2020-06-05,37
2020-06-06,38
2020-06-07,39
2020-06-08,39
2020-06-09,40
2020-06-10,41
2020-06-11,42
2020-06-12,42
2020-06-13,42
2020-06-14,43
2020-06-15,43
2020-06-16,45
2020-06-17,45
2020-06-18,45
2020-06-19,45
2020-06-20,47
2020-06-21,48
2020-06-22,49
2020-06-23,49
2020-06-24,53
2020-06-25,54
2020-06-26,55
2020-06-27,56
2020-06-28,59
2020-06-29,60
2020-06-30,61
2020-07-01,61
2020-07-02,61
2020-07-03,62
2020-07-04,62
2020-07-05,63
2020-07-06,63
2020-07-07,63
2020-07-08,65
2020-07-09,67
2020-07-10,67
2020-07-11,68
2020-07-12,68
2020-07-13,72
2020-07-14,75
2020-07-15,78
2020-07-16,79
2020-07-17,80
2020-07-18,83
2020-07-19,85
2020-07-20,91
2020-07-21,94
2020-07-22,99
2020-07-23,100
2020-07-24,107
2020-07-25,107
2020-07-26,111
2020-07-27,111
2020-07-28,119
2020-07-29,122
2020-07-30,122
2020-07-31,139
2020-08-01,142
2020-08-02,142
2020-08-03,146
2020-08-04,164
2020-08-05,171
2020-08-06,174
2020-08-07,187
2020-08-08,188
2020-08-09,191
2020-08-10,192
2020-08-11,192
2020-08-12,192
2020-08-13,192
2020-08-14,192
2020-08-15,199
2020-08-16,199
2020-08-17,204
2020-08-18,205
2020-08-19,205
2020-08-20,207
2020-08-21,207
2020-08-22,207
2020-08-23,207
2020-08-24,207
2020-08-25,207
2020-08-26,207
2020-08-27,207
2020-08-28,207
2020-08-29,207
2020-08-30,207
2020-08-31,207
2020-09-01,207
2020-09-02,207
2020-09-03,207
2020-09-04,207
2020-09-05,207
2020-09-06,207
2020-09-07,207
2020-09-08,207
2020-09-09,212
2020-09-10,222
2020-09-11,227
2020-09-12,227
2020-09-13,237
2020-09-14,242
2020-09-15,246
2020-09-16,246
2020-09-17,248
2020-09-18,251
2020-09-19,256
2020-09-20,257
2020-09-21,257
2020-09-22,259
2020-09-23,267
2020-09-24,267
2020-09-25,269
2020-09-26,276
2020-09-27,277
2020-09-28,280
2020-09-29,280
2020-09-30,281
2020-10-01,287
2020-10-02,290
2020-10-03,291
2020-10-04,294
2020-10-05,305
2020-10-06,307
2020-10-07,312
2020-10-08,313
2020-10-09,315
2020-10-10,317
2020-10-11,324
2020-10-12,328
2020-10-13,328
2020-10-14,328
2020-10-15,333
2020-10-16,336
2020-10-17,341
2020-10-18,347
2020-10-19,347
2020-10-20,347
2020-10-21,347
2020-10-22,355
2020-10-23,356
2020-10-24,356
2020-10-25,356
2020-10-26,356
2020-10-28,356
2020-10-29,356
2020-10-30,356
2020-10-31,356
2020-11-01,356
2020-11-02,356
2020-11-03,356
2020-11-04,356
2020-11-05,356
2020-11-06,356
2020-11-07,356
2020-11-08,356
2020-11-09,356
2020-11-10,356
2020-11-11,356
2020-11-12,356
2020-11-13,356
2020-11-14,356
2020-11-15,356
2020-11-16,356
2020-11-17,356
2020-11-18,356
2020-11-19,356
2020-11-20,356
2020-11-21,356
2020-11-22,356
2020-11-23,356
2020-11-24,356
2020-11-25,356
2020-11-26,356
2020-11-27,356
2020-11-28,356
2020-11-29,356
2020-11-30,356
2020-12-01,356
2020-12-02,356
2020-12-03,356
2020-12-04,356
2020-12-05,356
2020-12-06,356
2020-12-07,356
2020-12-08,356
2020-12-09,356
2020-12-10,356
2020-12-11,356
2020-12-12,356
2020-12-13,356
2020-12-14,356
2020-12-15,356
2020-12-16,356
2020-12-17,356
2020-12-18,356
2020-12-19,356
2020-12-20,356
2020-12-21,356
2020-12-22,356
2020-12-23,356
2020-12-24,356
2020-12-25,356
2020-12-26,356
2020-12-27,356
2020-12-28,356
2020-12-29,356
2021-01-03,356
2021-01-04,356
2021-01-05,356
2021-01-06,356
2021-01-07,356
2021-01-08,356
2021-01-09,356
2021-01-10,356
2021-01-11,356
2021-01-12,356
2021-01-13,356
2021-01-14,356
2021-01-15,356
2021-01-16,356
2021-01-17,356
2021-01-18,356
2021-01-19,356
2021-01-20,356
2021-01-21,356
2021-01-22,356
2021-01-23,356
2021-01-24,356
2021-01-25,356
2021-01-26,356
2021-01-27,356
2021-01-28,356
2021-01-29,356
2021-01-30,356
2021-01-31,356
