Date,Confirmed
2020-05-01,23
2020-05-02,24
2020-05-03,24
2020-05-04,28
2020-05-05,30
2020-05-06,30
2020-05-07,30
2020-05-08,33
2020-05-09,36
2020-05-10,36
2020-05-11,36
2020-05-12,36
2020-05-13,37
2020-05-14,40
2020-05-15,44
2020-05-16,46
2020-05-17,46
2020-05-18,48
2020-05-19,48
2020-05-20,51
2020-05-21,51
2020-05-22,52
2020-05-23,57
2020-05-24,57
2020-05-25,57
2020-05-26,57
2020-05-27,57
2020-05-28,58
2020-05-29,58
2020-05-30,58
2020-05-31,59
2020-06-01,59
2020-06-02,59
2020-06-03,59
2020-06-04,59
2020-06-05,59
2020-06-06,59
2020-06-07,61
2020-06-08,61
2020-06-09,61
2020-06-10,61
2020-06-11,63
2020-06-12,65
2020-06-13,65
2020-06-14,67
2020-06-15,68
2020-06-16,70
2020-06-17,70
2020-06-18,73
2020-06-19,75
2020-06-20,75
2020-06-21,79
2020-06-22,82
2020-06-23,82
2020-06-24,84
2020-06-25,87
2020-06-26,92
2020-06-27,92
2020-06-28,104
2020-06-29,106
2020-06-30,111
2020-07-01,112
2020-07-02,112
2020-07-03,117
2020-07-04,125
2020-07-05,125
2020-07-06,137
2020-07-07,137
2020-07-08,139
2020-07-09,156
2020-07-10,156
2020-07-11,157
2020-07-12,157
2020-07-13,164
2020-07-14,176
2020-07-15,187
2020-07-16,194
2020-07-17,194
2020-07-18,194
2020-07-19,203
2020-07-20,211
2020-07-21,223
2020-07-22,226
2020-07-23,246
2020-07-24,249
2020-07-25,249
2020-07-26,282
2020-07-27,283
2020-07-28,296
2020-07-29,316
2020-07-30,316
2020-07-31,323
2020-08-01,331
2020-08-02,346
2020-08-03,348
2020-08-04,358
2020-08-05,366
2020-08-06,366
2020-08-07,371
2020-08-08,371
2020-08-09,393
2020-08-10,394
2020-08-11,402
2020-08-12,403
2020-08-13,403
2020-08-14,408
2020-08-15,416
2020-08-16,427
2020-08-17,429
2020-08-18,431
2020-08-19,436
2020-08-20,442
2020-08-21,442
2020-08-22,449
2020-08-23,450
2020-08-24,450
2020-08-25,450
2020-08-26,455
2020-08-27,459
2020-08-28,461
2020-08-29,465
2020-08-30,465
2020-08-31,470
2020-09-01,476
2020-09-02,476
2020-09-03,477
2020-09-04,483
2020-09-05,483
2020-09-06,483
2020-09-07,490
2020-09-08,490
2020-09-09,493
2020-09-10,493
2020-09-11,493
2020-09-12,496
2020-09-13,500
2020-09-14,503
2020-09-15,508
2020-09-16,512
2020-09-17,513
2020-09-18,516
2020-09-19,516
2020-09-20,516
2020-09-21,516
2020-09-22,519
2020-09-23,519
2020-09-24,519
2020-09-25,522
2020-09-26,522
2020-09-27,529
2020-09-28,530
2020-09-29,530
2020-09-30,532
2020-10-01,534
2020-10-02,534
2020-10-03,534
2020-10-04,536
2020-10-05,536
2020-10-06,537
2020-10-07,537
2020-10-08,539
2020-10-09,540
2020-10-10,540
2020-10-11,542
2020-10-12,542
2020-10-13,543
2020-10-14,543
2020-10-15,545
2020-10-16,547
2020-10-17,550
2020-10-18,550
2020-10-19,550
2020-10-20,558
2020-10-21,558
2020-10-22,562
2020-10-23,567
2020-10-24,567
2020-10-25,567
2020-10-26,567
2020-10-28,567
2020-10-29,567
2020-10-30,567
2020-10-31,567
2020-11-01,567
2020-11-02,567
2020-11-03,567
2020-11-04,567
2020-11-05,567
2020-11-06,567
2020-11-07,567
2020-11-08,567
2020-11-09,567
2020-11-10,567
2020-11-11,567
2020-11-12,567
2020-11-13,567
2020-11-14,567
2020-11-15,567
2020-11-16,567
2020-11-17,567
2020-11-18,567
2020-11-19,567
2020-11-20,567
2020-11-21,567
2020-11-22,567
2020-11-23,567
2020-11-24,567
2020-11-25,567
2020-11-26,567
2020-11-27,567
2020-11-28,567
2020-11-29,567
2020-11-30,567
2020-12-01,567
2020-12-02,567
2020-12-03,567
2020-12-04,567
2020-12-05,567
2020-12-06,567
2020-12-07,567
2020-12-08,567
2020-12-09,567
2020-12-10,567
2020-12-11,567
2020-12-12,567
2020-12-13,567
2020-12-14,567
2020-12-15,567
2020-12-16,567
2020-12-17,567
2020-12-18,567
2020-12-19,567
2020-12-20,567
2020-12-21,567
2020-12-22,567
2020-12-23,567
2020-12-24,567
2020-12-25,567
2020-12-26,567
2020-12-27,567
2020-12-28,567
2020-12-29,567
2021-01-03,567
2021-01-04,567
2021-01-05,567
2021-01-06,567
2021-01-07,567
2021-01-08,567
2021-01-09,567
2021-01-10,567
2021-01-11,567
2021-01-12,567
2021-01-13,567
2021-01-14,567
2021-01-15,567
2021-01-16,567
2021-01-17,567
2021-01-18,567
2021-01-19,567
2021-01-20,567
2021-01-21,567
2021-01-22,567
2021-01-23,567
2021-01-24,567
2021-01-25,567
2021-01-26,567
2021-01-27,567
2021-01-28,567
2021-01-29,567
2021-01-30,567
2021-01-31,567
