Date,Confirmed
2020-05-01,2
2020-05-02,2
2020-05-03,2
2020-05-04,2
2020-05-05,2
2020-05-06,2
2020-05-07,2
2020-05-08,2
2020-05-09,3
2020-05-10,3
2020-05-11,3
2020-05-12,3
2020-05-13,3
2020-05-14,3
2020-05-15,4
2020-05-16,4
2020-05-17,4
2020-05-18,4
2020-05-19,4
2020-05-20,4
2020-05-21,5
2020-05-22,5
2020-05-23,5
2020-05-24,5
2020-05-25,5
2020-05-26,7
2020-05-27,7
2020-05-28,7
2020-05-29,7
2020-05-30,7
2020-05-31,7
2020-06-01,7
2020-06-02,7
2020-06-03,7
2020-06-04,9
2020-06-05,9
2020-06-06,9
2020-06-07,9
2020-06-08,9
2020-06-09,10
2020-06-10,10
2020-06-11,10
2020-06-12,10
2020-06-13,10
2020-06-14,10
2020-06-15,10
2020-06-16,11
2020-06-17,11
2020-06-18,11
2020-06-19,11
2020-06-20,11
2020-06-21,11
2020-06-22,11
2020-06-23,11
2020-06-24,11
2020-06-25,11
2020-06-26,11
2020-06-27,11
2020-06-28,11
2020-06-29,11
2020-06-30,13
2020-07-01,13
2020-07-02,13
2020-07-03,13
2020-07-04,13
2020-07-05,18
2020-07-06,18
2020-07-07,22
2020-07-08,28
2020-07-09,34
2020-07-10,34
2020-07-11,34
2020-07-12,34
2020-07-13,36
2020-07-14,37
2020-07-15,48
2020-07-16,50
2020-07-17,51
2020-07-18,57
2020-07-19,59
2020-07-20,60
2020-07-21,64
2020-07-22,65
2020-07-23,69
2020-07-24,69
2020-07-25,69
2020-07-26,77
2020-07-27,81
2020-07-28,81
2020-07-29,81
2020-07-30,82
2020-07-31,82
2020-08-01,82
2020-08-02,82
2020-08-03,82
2020-08-04,84
2020-08-05,84
2020-08-06,84
2020-08-07,85
2020-08-08,85
2020-08-09,96
2020-08-10,96
2020-08-11,108
2020-08-12,108
2020-08-13,108
2020-08-14,113
2020-08-15,113
2020-08-16,113
2020-08-17,114
2020-08-18,114
2020-08-19,123
2020-08-20,123
2020-08-21,123
2020-08-22,123
2020-08-23,124
2020-08-24,124
2020-08-25,124
2020-08-26,124
2020-08-27,124
2020-08-28,124
2020-08-29,124
2020-08-30,124
2020-08-31,124
2020-09-01,124
2020-09-02,124
2020-09-03,124
2020-09-04,124
2020-09-05,124
2020-09-06,124
2020-09-07,124
2020-09-08,127
2020-09-09,131
2020-09-10,131
2020-09-11,131
2020-09-12,131
2020-09-13,132
2020-09-14,134
2020-09-15,135
2020-09-16,135
2020-09-17,135
2020-09-18,135
2020-09-19,135
2020-09-20,135
2020-09-21,135
2020-09-22,135
2020-09-23,135
2020-09-24,135
2020-09-25,135
2020-09-26,135
2020-09-27,135
2020-09-28,135
2020-09-29,135
2020-09-30,135
2020-10-01,135
2020-10-02,135
2020-10-03,135
2020-10-04,136
2020-10-05,136
2020-10-06,136
2020-10-07,136
2020-10-08,136
2020-10-09,136
2020-10-10,136
2020-10-11,137
2020-10-12,137
2020-10-13,137
2020-10-14,137
2020-10-15,137
2020-10-16,139
2020-10-17,139
2020-10-18,139
2020-10-19,139
2020-10-20,139
2020-10-21,139
2020-10-22,139
2020-10-23,140
2020-10-24,140
2020-10-25,140
2020-10-26,140
2020-10-28,140
2020-10-29,140
2020-10-30,140
2020-10-31,140
2020-11-01,140
2020-11-02,140
2020-11-03,140
2020-11-04,140
2020-11-05,140
2020-11-06,140
2020-11-07,140
2020-11-08,140
2020-11-09,140
2020-11-10,140
2020-11-11,140
2020-11-12,140
2020-11-13,140
2020-11-14,140
2020-11-15,140
2020-11-16,140
2020-11-17,140
2020-11-18,140
2020-11-19,140
2020-11-20,140
2020-11-21,140
2020-11-22,140
2020-11-23,140
2020-11-24,140
2020-11-25,140
2020-11-26,140
2020-11-27,140
2020-11-28,140
2020-11-29,140
2020-11-30,140
2020-12-01,140
2020-12-02,140
2020-12-03,140
2020-12-04,140
2020-12-05,140
2020-12-06,140
2020-12-07,140
2020-12-08,140
2020-12-09,140
2020-12-10,140
2020-12-11,140
2020-12-12,140
2020-12-13,140
2020-12-14,140
2020-12-15,140
2020-12-16,140
2020-12-17,140
2020-12-18,140
2020-12-19,140
2020-12-20,140
2020-12-21,140
2020-12-22,140
2020-12-23,140
2020-12-24,140
2020-12-25,140
2020-12-26,140
2020-12-27,140
2020-12-28,140
2020-12-29,140
2021-01-03,140
2021-01-04,140
2021-01-05,140
2021-01-06,140
2021-01-07,140
2021-01-08,140
2021-01-09,140
2021-01-10,140
2021-01-11,140
2021-01-12,140
2021-01-13,140
2021-01-14,140
2021-01-15,140
2021-01-16,140
2021-01-17,140
2021-01-18,140
2021-01-19,140
2021-01-20,140
2021-01-21,140
2021-01-22,140
2021-01-23,140
2021-01-24,140
2021-01-25,140
2021-01-26,140
2021-01-27,140
2021-01-28,140
2021-01-29,140
2021-01-30,140
2021-01-31,140
