Date,Confirmed
2020-05-01,46
2020-05-02,46
2020-05-03,46
2020-05-04,46
2020-05-05,48
2020-05-06,48
2020-05-07,48
2020-05-08,49
2020-05-09,49
2020-05-10,49
2020-05-11,49
2020-05-12,49
2020-05-13,49
2020-05-14,49
2020-05-15,50
2020-05-16,51
2020-05-17,52
2020-05-18,52
2020-05-19,53
2020-05-20,55
2020-05-21,57
2020-05-22,57
2020-05-23,57
2020-05-24,57
2020-05-25,57
2020-05-26,58
2020-05-27,58
2020-05-28,59
2020-05-29,59
2020-05-30,61
2020-05-31,62
2020-06-01,62
2020-06-02,63
2020-06-03,63
2020-06-04,63
2020-06-05,63
2020-06-06,63
2020-06-07,66
2020-06-08,69
2020-06-09,70
2020-06-10,73
2020-06-11,76
2020-06-12,78
2020-06-13,78
2020-06-14,80
2020-06-15,81
2020-06-16,83
2020-06-17,85
2020-06-18,87
2020-06-19,88
2020-06-20,90
2020-06-21,91
2020-06-22,93
2020-06-23,93
2020-06-24,94
2020-06-25,96
2020-06-26,96
2020-06-27,98
2020-06-28,103
2020-06-29,107
2020-06-30,107
2020-07-01,114
2020-07-02,117
2020-07-03,123
2020-07-04,123
2020-07-05,123
2020-07-06,126
2020-07-07,130
2020-07-08,135
2020-07-09,137
2020-07-10,138
2020-07-11,138
2020-07-12,140
2020-07-13,144
2020-07-14,151
2020-07-15,154
2020-07-16,159
2020-07-17,162
2020-07-18,162
2020-07-19,168
2020-07-20,175
2020-07-21,180
2020-07-22,185
2020-07-23,190
2020-07-24,219
2020-07-25,226
2020-07-26,241
2020-07-27,246
2020-07-28,253
2020-07-29,262
2020-07-30,262
2020-07-31,276
2020-08-01,280
2020-08-02,285
2020-08-03,295
2020-08-04,327
2020-08-05,355
2020-08-06,360
2020-08-07,375
2020-08-08,377
2020-08-09,382
2020-08-10,394
2020-08-11,405
2020-08-12,411
2020-08-13,411
2020-08-14,444
2020-08-15,458
2020-08-16,481
2020-08-17,503
2020-08-18,517
2020-08-19,531
2020-08-20,547
2020-08-21,562
2020-08-22,574
2020-08-23,597
2020-08-24,603
2020-08-25,603
2020-08-26,603
2020-08-27,622
2020-08-28,637
2020-08-29,682
2020-08-30,687
2020-08-31,702
2020-09-01,706
2020-09-02,718
2020-09-03,731
2020-09-04,742
2020-09-05,760
2020-09-06,776
2020-09-07,786
2020-09-08,807
2020-09-09,814
2020-09-10,827
2020-09-11,839
2020-09-12,855
2020-09-13,873
2020-09-14,880
2020-09-15,893
2020-09-16,904
2020-09-17,909
2020-09-18,922
2020-09-19,939
2020-09-20,943
2020-09-21,952
2020-09-22,961
2020-09-23,978
2020-09-24,978
2020-09-25,1005
2020-09-26,1016
2020-09-27,1043
2020-09-28,1053
2020-09-29,1053
2020-09-30,1064
2020-10-01,1079
2020-10-02,1105
2020-10-03,1119
2020-10-04,1124
2020-10-05,1137
2020-10-06,1150
2020-10-07,1158
2020-10-08,1178
2020-10-09,1190
2020-10-10,1201
2020-10-11,1228
2020-10-12,1242
2020-10-13,1252
2020-10-14,1252
2020-10-15,1275
2020-10-16,1308
2020-10-17,1335
2020-10-18,1377
2020-10-19,1377
2020-10-20,1407
2020-10-21,1407
2020-10-22,1438
2020-10-23,1467
2020-10-24,1467
2020-10-25,1467
2020-10-26,1467
2020-10-28,1467
2020-10-29,1467
2020-10-30,1467
2020-10-31,1467
2020-11-01,1467
2020-11-02,1467
2020-11-03,1467
2020-11-04,1467
2020-11-05,1467
2020-11-06,1467
2020-11-07,1467
2020-11-08,1467
2020-11-09,1467
2020-11-10,1467
2020-11-11,1467
2020-11-12,1467
2020-11-13,1467
2020-11-14,1467
2020-11-15,1467
2020-11-16,1467
2020-11-17,1467
2020-11-18,1467
2020-11-19,1467
2020-11-20,1467
2020-11-21,1467
2020-11-22,1467
2020-11-23,1467
2020-11-24,1467
2020-11-25,1467
2020-11-26,1467
2020-11-27,1467
2020-11-28,1467
2020-11-29,1467
2020-11-30,1467
2020-12-01,1467
2020-12-02,1467
2020-12-03,1467
2020-12-04,1467
2020-12-05,1467
2020-12-06,1467
2020-12-07,1467
2020-12-08,1467
2020-12-09,1467
2020-12-10,1467
2020-12-11,1467
2020-12-12,1467
2020-12-13,1467
2020-12-14,1467
2020-12-15,1467
2020-12-16,1467
2020-12-17,1467
2020-12-18,1467
2020-12-19,1467
2020-12-20,1467
2020-12-21,1467
2020-12-22,1467
2020-12-23,1467
2020-12-24,1467
2020-12-25,1467
2020-12-26,1467
2020-12-27,1467
2020-12-28,1467
2020-12-29,1467
2021-01-03,1467
2021-01-04,1467
2021-01-05,1467
2021-01-06,1467
2021-01-07,1467
2021-01-08,1467
2021-01-09,1467
2021-01-10,1467
2021-01-11,1467
2021-01-12,1467
2021-01-13,1467
2021-01-14,1467
2021-01-15,1467
2021-01-16,1467
2021-01-17,1467
2021-01-18,1467
2021-01-19,1467
2021-01-20,1467
2021-01-21,1467
2021-01-22,1467
2021-01-23,1467
2021-01-24,1467
2021-01-25,1467
2021-01-26,1467
2021-01-27,1467
2021-01-28,1467
2021-01-29,1467
2021-01-30,1467
2021-01-31,1467
