Date,Confirmed
2020-05-01,39
2020-05-02,39
2020-05-03,46
2020-05-04,46
2020-05-05,47
2020-05-06,47
2020-05-07,49
2020-05-08,50
2020-05-09,50
2020-05-10,50
2020-05-11,50
2020-05-12,57
2020-05-13,64
2020-05-14,67
2020-05-15,70
2020-05-16,70
2020-05-17,70
2020-05-18,78
2020-05-19,93
2020-05-20,101
2020-05-21,106
2020-05-22,112
2020-05-23,117
2020-05-24,127
2020-05-25,127
2020-05-26,127
2020-05-27,129
2020-05-28,129
2020-05-29,130
2020-05-30,141
2020-05-31,144
2020-06-01,147
2020-06-02,150
2020-06-03,151
2020-06-04,153
2020-06-05,156
2020-06-06,158
2020-06-07,160
2020-06-08,162
2020-06-09,162
2020-06-10,164
2020-06-11,166
2020-06-12,168
2020-06-13,169
2020-06-14,170
2020-06-15,170
2020-06-16,172
2020-06-17,173
2020-06-18,174
2020-06-19,174
2020-06-20,176
2020-06-21,178
2020-06-22,182
2020-06-23,182
2020-06-24,182
2020-06-25,186
2020-06-26,187
2020-06-27,189
2020-06-28,189
2020-06-29,192
2020-06-30,192
2020-07-01,193
2020-07-02,195
2020-07-03,195
2020-07-04,203
2020-07-05,214
2020-07-06,225
2020-07-07,246
2020-07-08,249
2020-07-09,287
2020-07-10,290
2020-07-11,317
2020-07-12,336
2020-07-13,340
2020-07-14,359
2020-07-15,371
2020-07-16,396
2020-07-17,402
2020-07-18,418
2020-07-19,443
2020-07-20,449
2020-07-21,465
2020-07-22,477
2020-07-23,477
2020-07-24,491
2020-07-25,491
2020-07-26,491
2020-07-27,493
2020-07-28,499
2020-07-29,499
2020-07-30,503
2020-07-31,503
2020-08-01,503
2020-08-02,506
2020-08-03,512
2020-08-04,514
2020-08-05,519
2020-08-06,522
2020-08-07,526
2020-08-08,526
2020-08-09,526
2020-08-10,526
2020-08-11,540
2020-08-12,552
2020-08-13,552
2020-08-14,561
2020-08-15,561
2020-08-16,562
2020-08-17,563
2020-08-18,565
2020-08-19,570
2020-08-20,570
2020-08-21,570
2020-08-22,570
2020-08-23,570
2020-08-24,570
2020-08-25,570
2020-08-26,571
2020-08-27,573
2020-08-28,573
2020-08-29,573
2020-08-30,573
2020-08-31,573
2020-09-01,576
2020-09-02,576
2020-09-03,578
2020-09-04,578
2020-09-05,578
2020-09-06,578
2020-09-07,578
2020-09-08,579
2020-09-09,579
2020-09-10,581
2020-09-11,581
2020-09-12,582
2020-09-13,582
2020-09-14,582
2020-09-15,584
2020-09-16,584
2020-09-17,585
2020-09-18,587
2020-09-19,587
2020-09-20,590
2020-09-21,590
2020-09-22,591
2020-09-23,592
2020-09-24,592
2020-09-25,592
2020-09-26,592
2020-09-27,594
2020-09-28,594
2020-09-29,594
2020-09-30,594
2020-10-01,594
2020-10-02,596
2020-10-03,596
2020-10-04,597
2020-10-05,597
2020-10-06,598
2020-10-07,601
2020-10-08,602
2020-10-09,603
2020-10-10,604
2020-10-11,606
2020-10-12,607
2020-10-13,609
2020-10-14,609
2020-10-15,612
2020-10-16,613
2020-10-17,613
2020-10-18,613
2020-10-19,613
2020-10-20,617
2020-10-21,617
2020-10-22,622
2020-10-23,623
2020-10-24,623
2020-10-25,623
2020-10-26,623
2020-10-28,623
2020-10-29,623
2020-10-30,623
2020-10-31,623
2020-11-01,623
2020-11-02,623
2020-11-03,623
2020-11-04,623
2020-11-05,623
2020-11-06,623
2020-11-07,623
2020-11-08,623
2020-11-09,623
2020-11-10,623
2020-11-11,623
2020-11-12,623
2020-11-13,623
2020-11-14,623
2020-11-15,623
2020-11-16,623
2020-11-17,623
2020-11-18,623
2020-11-19,623
2020-11-20,623
2020-11-21,623
2020-11-22,623
2020-11-23,623
2020-11-24,623
2020-11-25,623
2020-11-26,623
2020-11-27,623
2020-11-28,623
2020-11-29,623
2020-11-30,623
2020-12-01,623
2020-12-02,623
2020-12-03,623
2020-12-04,623
2020-12-05,623
2020-12-06,623
2020-12-07,623
2020-12-08,623
2020-12-09,623
2020-12-10,623
2020-12-11,623
2020-12-12,623
2020-12-13,623
2020-12-14,623
2020-12-15,623
2020-12-16,623
2020-12-17,623
2020-12-18,623
2020-12-19,623
2020-12-20,623
2020-12-21,623
2020-12-22,623
2020-12-23,623
2020-12-24,623
2020-12-25,623
2020-12-26,623
2020-12-27,623
2020-12-28,623
2020-12-29,623
2021-01-03,623
2021-01-04,623
2021-01-05,623
2021-01-06,623
2021-01-07,623
2021-01-08,623
2021-01-09,623
2021-01-10,623
2021-01-11,623
2021-01-12,623
2021-01-13,623
2021-01-14,623
2021-01-15,623
2021-01-16,623
2021-01-17,623
2021-01-18,623
2021-01-19,623
2021-01-20,623
2021-01-21,623
2021-01-22,623
2021-01-23,623
2021-01-24,623
2021-01-25,623
2021-01-26,623
2021-01-27,623
2021-01-28,623
2021-01-29,623
2021-01-30,623
2021-01-31,623
