Date,Confirmed
2020-05-01,27
2020-05-02,30
2020-05-03,34
2020-05-04,40
2020-05-05,40
2020-05-06,41
2020-05-07,42
2020-05-08,43
2020-05-09,43
2020-05-10,45
2020-05-11,48
2020-05-12,49
2020-05-13,51
2020-05-14,54
2020-05-15,54
2020-05-16,55
2020-05-17,56
2020-05-18,57
2020-05-19,57
2020-05-20,58
2020-05-21,58
2020-05-22,59
2020-05-23,59
2020-05-24,60
2020-05-25,68
2020-05-26,73
2020-05-27,81
2020-05-28,86
2020-05-29,93
2020-05-30,105
2020-05-31,112
2020-06-01,115
2020-06-02,117
2020-06-03,117
2020-06-04,121
2020-06-05,122
2020-06-06,132
2020-06-07,135
2020-06-08,137
2020-06-09,140
2020-06-10,142
2020-06-11,143
2020-06-12,145
2020-06-13,147
2020-06-14,148
2020-06-15,150
2020-06-16,153
2020-06-17,155
2020-06-18,157
2020-06-19,157
2020-06-20,158
2020-06-21,162
2020-06-22,166
2020-06-23,168
2020-06-24,169
2020-06-25,171
2020-06-26,174
2020-06-27,184
2020-06-28,188
2020-06-29,201
2020-06-30,222
2020-07-01,226
2020-07-02,238
2020-07-03,258
2020-07-04,275
2020-07-05,289
2020-07-06,295
2020-07-07,306
2020-07-08,328
2020-07-09,332
2020-07-10,332
2020-07-11,332
2020-07-12,344
2020-07-13,351
2020-07-14,354
2020-07-15,358
2020-07-16,365
2020-07-17,381
2020-07-18,397
2020-07-19,406
2020-07-20,412
2020-07-21,427
2020-07-22,445
2020-07-23,453
2020-07-24,457
2020-07-25,457
2020-07-26,463
2020-07-27,474
2020-07-28,486
2020-07-29,497
2020-07-30,497
2020-07-31,517
2020-08-01,523
2020-08-02,537
2020-08-03,548
2020-08-04,557
2020-08-05,562
2020-08-06,565
2020-08-07,568
2020-08-08,571
2020-08-09,575
2020-08-10,579
2020-08-11,583
2020-08-12,590
2020-08-13,590
2020-08-14,598
2020-08-15,603
2020-08-16,615
2020-08-17,626
2020-08-18,631
2020-08-19,638
2020-08-20,640
2020-08-21,644
2020-08-22,652
2020-08-23,652
2020-08-24,652
2020-08-25,659
2020-08-26,662
2020-08-27,662
2020-08-28,668
2020-08-29,669
2020-08-30,669
2020-08-31,669
2020-09-01,669
2020-09-02,669
2020-09-03,669
2020-09-04,670
2020-09-05,670
2020-09-06,670
2020-09-07,670
2020-09-08,680
2020-09-09,686
2020-09-10,686
2020-09-11,686
2020-09-12,691
2020-09-13,692
2020-09-14,692
2020-09-15,692
2020-09-16,695
2020-09-17,695
2020-09-18,695
2020-09-19,695
2020-09-20,695
2020-09-21,695
2020-09-22,695
2020-09-23,695
2020-09-24,695
2020-09-25,695
2020-09-26,695
2020-09-27,695
2020-09-28,696
2020-09-29,696
2020-09-30,697
2020-10-01,697
2020-10-02,697
2020-10-03,697
2020-10-04,697
2020-10-05,697
2020-10-06,697
2020-10-07,698
2020-10-08,698
2020-10-09,698
2020-10-10,698
2020-10-11,698
2020-10-12,698
2020-10-13,699
2020-10-14,699
2020-10-15,699
2020-10-16,699
2020-10-17,699
2020-10-18,699
2020-10-19,699
2020-10-20,700
2020-10-21,700
2020-10-22,701
2020-10-23,701
2020-10-24,701
2020-10-25,701
2020-10-26,701
2020-10-28,701
2020-10-29,701
2020-10-30,701
2020-10-31,701
2020-11-01,701
2020-11-02,701
2020-11-03,701
2020-11-04,701
2020-11-05,701
2020-11-06,701
2020-11-07,701
2020-11-08,701
2020-11-09,701
2020-11-10,701
2020-11-11,701
2020-11-12,701
2020-11-13,701
2020-11-14,701
2020-11-15,701
2020-11-16,701
2020-11-17,701
2020-11-18,701
2020-11-19,701
2020-11-20,701
2020-11-21,701
2020-11-22,701
2020-11-23,701
2020-11-24,701
2020-11-25,701
2020-11-26,701
2020-11-27,701
2020-11-28,701
2020-11-29,701
2020-11-30,701
2020-12-01,701
2020-12-02,701
2020-12-03,701
2020-12-04,701
2020-12-05,701
2020-12-06,701
2020-12-07,701
2020-12-08,701
2020-12-09,701
2020-12-10,701
2020-12-11,701
2020-12-12,701
2020-12-13,701
2020-12-14,701
2020-12-15,701
2020-12-16,701
2020-12-17,701
2020-12-18,701
2020-12-19,701
2020-12-20,701
2020-12-21,701
2020-12-22,701
2020-12-23,701
2020-12-24,701
2020-12-25,701
2020-12-26,701
2020-12-27,701
2020-12-28,701
2020-12-29,701
2021-01-03,701
2021-01-04,701
2021-01-05,701
2021-01-06,701
2021-01-07,701
2021-01-08,701
2021-01-09,701
2021-01-10,701
2021-01-11,701
2021-01-12,701
2021-01-13,701
2021-01-14,701
2021-01-15,701
2021-01-16,701
2021-01-17,701
2021-01-18,701
2021-01-19,701
2021-01-20,701
2021-01-21,701
2021-01-22,701
2021-01-23,701
2021-01-24,701
2021-01-25,701
2021-01-26,701
2021-01-27,701
2021-01-28,701
2021-01-29,701
2021-01-30,701
2021-01-31,701
