Date,Confirmed
2020-05-01,49
2020-05-02,51
2020-05-03,52
2020-05-04,54
2020-05-05,58
2020-05-06,64
2020-05-07,71
2020-05-08,72
2020-05-09,75
2020-05-10,80
2020-05-11,86
2020-05-12,86
2020-05-13,87
2020-05-14,94
2020-05-15,94
2020-05-16,103
2020-05-17,106
2020-05-18,110
2020-05-19,112
2020-05-20,112
2020-05-21,114
2020-05-22,114
2020-05-23,123
2020-05-24,129
2020-05-25,130
2020-05-26,133
2020-05-27,133
2020-05-28,134
2020-05-29,134
2020-05-30,136
2020-05-31,136
2020-06-01,140
2020-06-02,141
2020-06-03,144
2020-06-04,144
2020-06-05,147
2020-06-06,150
2020-06-07,150
2020-06-08,154
2020-06-09,156
2020-06-10,158
2020-06-11,159
2020-06-12,162
2020-06-13,164
2020-06-14,166
2020-06-15,168
2020-06-16,168
2020-06-17,170
2020-06-18,173
2020-06-19,175
2020-06-20,177
2020-06-21,178
2020-06-22,180
2020-06-23,181
2020-06-24,182
2020-06-25,187
2020-06-26,193
2020-06-27,197
2020-06-28,197
2020-06-29,203
2020-06-30,204
2020-07-01,205
2020-07-02,212
2020-07-03,215
2020-07-04,217
2020-07-05,219
2020-07-06,225
2020-07-07,229
2020-07-08,232
2020-07-09,236
2020-07-10,237
2020-07-11,239
2020-07-12,242
2020-07-13,242
2020-07-14,243
2020-07-15,248
2020-07-16,248
2020-07-17,248
2020-07-18,255
2020-07-19,260
2020-07-20,265
2020-07-21,269
2020-07-22,276
2020-07-23,279
2020-07-24,296
2020-07-25,303
2020-07-26,304
2020-07-27,308
2020-07-28,310
2020-07-29,310
2020-07-30,310
2020-07-31,311
2020-08-01,312
2020-08-02,314
2020-08-03,314
2020-08-04,314
2020-08-05,315
2020-08-06,315
2020-08-07,316
2020-08-08,317
2020-08-09,319
2020-08-10,319
2020-08-11,319
2020-08-12,321
2020-08-13,321
2020-08-14,321
2020-08-15,321
2020-08-16,321
2020-08-17,321
2020-08-18,321
2020-08-19,321
2020-08-20,321
2020-08-21,321
2020-08-22,321
2020-08-23,321
2020-08-24,321
2020-08-25,323
2020-08-26,324
2020-08-27,324
2020-08-28,325
2020-08-29,325
2020-08-30,326
2020-08-31,326
2020-09-01,326
2020-09-02,327
2020-09-03,327
2020-09-04,327
2020-09-05,327
2020-09-06,327
2020-09-07,327
2020-09-08,327
2020-09-09,327
2020-09-10,327
2020-09-11,327
2020-09-12,327
2020-09-13,327
2020-09-14,327
2020-09-15,327
2020-09-16,327
2020-09-17,329
2020-09-18,329
2020-09-19,329
2020-09-20,329
2020-09-21,331
2020-09-22,331
2020-09-23,331
2020-09-24,331
2020-09-25,331
2020-09-26,331
2020-09-27,331
2020-09-28,331
2020-09-29,331
2020-09-30,332
2020-10-01,333
2020-10-02,333
2020-10-03,333
2020-10-04,333
2020-10-05,333
2020-10-06,334
2020-10-07,334
2020-10-08,334
2020-10-09,334
2020-10-10,334
2020-10-11,334
2020-10-12,334
2020-10-13,334
2020-10-14,334
2020-10-15,335
2020-10-16,335
2020-10-17,336
2020-10-18,336
2020-10-19,336
2020-10-20,336
2020-10-21,336
2020-10-22,337
2020-10-23,337
2020-10-24,337
2020-10-25,337
2020-10-26,337
2020-10-28,337
2020-10-29,337
2020-10-30,337
2020-10-31,337
2020-11-01,337
2020-11-02,337
2020-11-03,337
2020-11-04,337
2020-11-05,337
2020-11-06,337
2020-11-07,337
2020-11-08,337
2020-11-09,337
2020-11-10,337
2020-11-11,337
2020-11-12,337
2020-11-13,337
2020-11-14,337
2020-11-15,337
2020-11-16,337
2020-11-17,337
2020-11-18,337
2020-11-19,337
2020-11-20,337
2020-11-21,337
2020-11-22,337
2020-11-23,337
2020-11-24,337
2020-11-25,337
2020-11-26,337
2020-11-27,337
2020-11-28,337
2020-11-29,337
2020-11-30,337
2020-12-01,337
2020-12-02,337
2020-12-03,337
2020-12-04,337
2020-12-05,337
2020-12-06,337
2020-12-07,337
2020-12-08,337
2020-12-09,337
2020-12-10,337
2020-12-11,337
2020-12-12,337
2020-12-13,337
2020-12-14,337
2020-12-15,337
2020-12-16,337
2020-12-17,337
2020-12-18,337
2020-12-19,337
2020-12-20,337
2020-12-21,337
2020-12-22,337
2020-12-23,337
2020-12-24,337
2020-12-25,337
2020-12-26,337
2020-12-27,337
2020-12-28,337
2020-12-29,337
2021-01-03,337
2021-01-04,337
2021-01-05,337
2021-01-06,337
2021-01-07,337
2021-01-08,337
2021-01-09,337
2021-01-10,337
2021-01-11,337
2021-01-12,337
2021-01-13,337
2021-01-14,337
2021-01-15,337
2021-01-16,337
2021-01-17,337
2021-01-18,337
2021-01-19,337
2021-01-20,337
2021-01-21,337
2021-01-22,337
2021-01-23,337
2021-01-24,337
2021-01-25,337
2021-01-26,337
2021-01-27,337
2021-01-28,337
2021-01-29,337
2021-01-30,337
2021-01-31,337
