Date,Confirmed
2020-05-01,16
2020-05-02,16
2020-05-03,16
2020-05-04,16
2020-05-05,17
2020-05-06,21
2020-05-07,21
2020-05-08,22
2020-05-09,23
2020-05-10,25
2020-05-11,25
2020-05-12,30
2020-05-13,31
2020-05-14,31
2020-05-15,32
2020-05-16,34
2020-05-17,34
2020-05-18,36
2020-05-19,41
2020-05-20,45
2020-05-21,47
2020-05-22,48
2020-05-23,49
2020-05-24,52
2020-05-25,53
2020-05-26,53
2020-05-27,53
2020-05-28,57
2020-05-29,61
2020-05-30,62
2020-05-31,64
2020-06-01,67
2020-06-02,67
2020-06-03,69
2020-06-04,71
2020-06-05,71
2020-06-06,72
2020-06-07,76
2020-06-08,78
2020-06-09,80
2020-06-10,82
2020-06-11,83
2020-06-12,85
2020-06-13,86
2020-06-14,87
2020-06-15,89
2020-06-16,92
2020-06-17,94
2020-06-18,96
2020-06-19,99
2020-06-20,101
2020-06-21,103
2020-06-22,104
2020-06-23,106
2020-06-24,109
2020-06-25,112
2020-06-26,115
2020-06-27,116
2020-06-28,120
2020-06-29,120
2020-06-30,120
2020-07-01,121
2020-07-02,121
2020-07-03,129
2020-07-04,136
2020-07-05,144
2020-07-06,144
2020-07-07,145
2020-07-08,147
2020-07-09,148
2020-07-10,159
2020-07-11,167
2020-07-12,167
2020-07-13,176
2020-07-14,187
2020-07-15,193
2020-07-16,198
2020-07-17,205
2020-07-18,207
2020-07-19,223
2020-07-20,227
2020-07-21,237
2020-07-22,237
2020-07-23,237
2020-07-24,240
2020-07-25,240
2020-07-26,250
2020-07-27,255
2020-07-28,256
2020-07-29,260
2020-07-30,263
2020-07-31,279
2020-08-01,285
2020-08-02,287
2020-08-03,289
2020-08-04,292
2020-08-05,299
2020-08-06,300
2020-08-07,304
2020-08-08,312
2020-08-09,312
2020-08-10,315
2020-08-11,315
2020-08-12,316
2020-08-13,316
2020-08-14,319
2020-08-15,319
2020-08-16,322
2020-08-17,322
2020-08-18,323
2020-08-19,329
2020-08-20,332
2020-08-21,339
2020-08-22,346
2020-08-23,348
2020-08-24,348
2020-08-25,348
2020-08-26,348
2020-08-27,350
2020-08-28,354
2020-08-29,363
2020-08-30,363
2020-08-31,369
2020-09-01,369
2020-09-02,369
2020-09-03,370
2020-09-04,377
2020-09-05,381
2020-09-06,382
2020-09-07,382
2020-09-08,382
2020-09-09,385
2020-09-10,385
2020-09-11,392
2020-09-12,393
2020-09-13,397
2020-09-14,397
2020-09-15,398
2020-09-16,405
2020-09-17,405
2020-09-18,407
2020-09-19,409
2020-09-20,409
2020-09-21,409
2020-09-22,410
2020-09-23,415
2020-09-24,415
2020-09-25,415
2020-09-26,416
2020-09-27,416
2020-09-28,416
2020-09-29,416
2020-09-30,419
2020-10-01,426
2020-10-02,429
2020-10-03,429
2020-10-04,429
2020-10-05,429
2020-10-06,432
2020-10-07,432
2020-10-08,436
2020-10-09,437
2020-10-10,437
2020-10-11,441
2020-10-12,441
2020-10-13,446
2020-10-14,446
2020-10-15,449
2020-10-16,452
2020-10-17,458
2020-10-18,460
2020-10-19,460
2020-10-20,467
2020-10-21,467
2020-10-22,475
2020-10-23,475
2020-10-24,475
2020-10-25,475
2020-10-26,475
2020-10-28,475
2020-10-29,475
2020-10-30,475
2020-10-31,475
2020-11-01,475
2020-11-02,475
2020-11-03,475
2020-11-04,475
2020-11-05,475
2020-11-06,475
2020-11-07,475
2020-11-08,475
2020-11-09,475
2020-11-10,475
2020-11-11,475
2020-11-12,475
2020-11-13,475
2020-11-14,475
2020-11-15,475
2020-11-16,475
2020-11-17,475
2020-11-18,475
2020-11-19,475
2020-11-20,475
2020-11-21,475
2020-11-22,475
2020-11-23,475
2020-11-24,475
2020-11-25,475
2020-11-26,475
2020-11-27,475
2020-11-28,475
2020-11-29,475
2020-11-30,475
2020-12-01,475
2020-12-02,475
2020-12-03,475
2020-12-04,475
2020-12-05,475
2020-12-06,475
2020-12-07,475
2020-12-08,475
2020-12-09,475
2020-12-10,475
2020-12-11,475
2020-12-12,475
2020-12-13,475
2020-12-14,475
2020-12-15,475
2020-12-16,475
2020-12-17,475
2020-12-18,475
2020-12-19,475
2020-12-20,475
2020-12-21,475
2020-12-22,475
2020-12-23,475
2020-12-24,475
2020-12-25,475
2020-12-26,475
2020-12-27,475
2020-12-28,475
2020-12-29,475
2021-01-03,475
2021-01-04,475
2021-01-05,475
2021-01-06,475
2021-01-07,475
2021-01-08,475
2021-01-09,475
2021-01-10,475
2021-01-11,475
2021-01-12,475
2021-01-13,475
2021-01-14,475
2021-01-15,475
2021-01-16,475
2021-01-17,475
2021-01-18,475
2021-01-19,475
2021-01-20,475
2021-01-21,475
2021-01-22,475
2021-01-23,475
2021-01-24,475
2021-01-25,475
2021-01-26,475
2021-01-27,475
2021-01-28,475
2021-01-29,475
2021-01-30,475
2021-01-31,475
