Date,Confirmed
2020-05-01,72
2020-05-02,79
2020-05-03,88
2020-05-04,106
2020-05-05,117
2020-05-06,121
2020-05-07,124
2020-05-08,125
2020-05-09,139
2020-05-10,142
2020-05-11,147
2020-05-12,148
2020-05-13,150
2020-05-14,158
2020-05-15,167
2020-05-16,172
2020-05-17,172
2020-05-18,175
2020-05-19,177
2020-05-20,178
2020-05-21,180
2020-05-22,180
2020-05-23,182
2020-05-24,188
2020-05-25,192
2020-05-26,195
2020-05-27,209
2020-05-28,209
2020-05-29,210
2020-05-30,211
2020-05-31,216
2020-06-01,219
2020-06-02,223
2020-06-03,224
2020-06-04,227
2020-06-05,229
2020-06-06,233
2020-06-07,234
2020-06-08,238
2020-06-09,242
2020-06-10,245
2020-06-11,247
2020-06-12,247
2020-06-13,249
2020-06-14,252
2020-06-15,253
2020-06-16,256
2020-06-17,259
2020-06-18,259
2020-06-19,259
2020-06-20,260
2020-06-21,260
2020-06-22,263
2020-06-23,264
2020-06-24,265
2020-06-25,275
2020-06-26,281
2020-06-27,284
2020-06-28,286
2020-06-29,293
2020-06-30,302
2020-07-01,307
2020-07-02,311
2020-07-03,315
2020-07-04,327
2020-07-05,329
2020-07-06,334
2020-07-07,336
2020-07-08,340
2020-07-09,341
2020-07-10,351
2020-07-11,357
2020-07-12,358
2020-07-13,362
2020-07-14,366
2020-07-15,370
2020-07-16,378
2020-07-17,382
2020-07-18,390
2020-07-19,397
2020-07-20,412
2020-07-21,418
2020-07-22,425
2020-07-23,441
2020-07-24,444
2020-07-25,458
2020-07-26,478
2020-07-27,497
2020-07-28,509
2020-07-29,514
2020-07-30,536
2020-07-31,540
2020-08-01,544
2020-08-02,553
2020-08-03,564
2020-08-04,571
2020-08-05,579
2020-08-06,595
2020-08-07,601
2020-08-08,610
2020-08-09,622
2020-08-10,627
2020-08-11,632
2020-08-12,635
2020-08-13,635
2020-08-14,651
2020-08-15,655
2020-08-16,671
2020-08-17,679
2020-08-18,685
2020-08-19,689
2020-08-20,689
2020-08-21,689
2020-08-22,701
2020-08-23,704
2020-08-24,704
2020-08-25,704
2020-08-26,707
2020-08-27,711
2020-08-28,713
2020-08-29,716
2020-08-30,718
2020-08-31,720
2020-09-01,723
2020-09-02,725
2020-09-03,726
2020-09-04,726
2020-09-05,734
2020-09-06,737
2020-09-07,739
2020-09-08,741
2020-09-09,744
2020-09-10,746
2020-09-11,747
2020-09-12,748
2020-09-13,748
2020-09-14,753
2020-09-15,759
2020-09-16,762
2020-09-17,769
2020-09-18,770
2020-09-19,770
2020-09-20,774
2020-09-21,775
2020-09-22,776
2020-09-23,776
2020-09-24,776
2020-09-25,779
2020-09-26,781
2020-09-27,786
2020-09-28,787
2020-09-29,787
2020-09-30,792
2020-10-01,794
2020-10-02,796
2020-10-03,796
2020-10-04,798
2020-10-05,801
2020-10-06,803
2020-10-07,807
2020-10-08,809
2020-10-09,810
2020-10-10,811
2020-10-11,812
2020-10-12,814
2020-10-13,816
2020-10-14,816
2020-10-15,820
2020-10-16,822
2020-10-17,822
2020-10-18,822
2020-10-19,822
2020-10-20,824
2020-10-21,824
2020-10-22,826
2020-10-23,826
2020-10-24,826
2020-10-25,826
2020-10-26,826
2020-10-28,826
2020-10-29,826
2020-10-30,826
2020-10-31,826
2020-11-01,826
2020-11-02,826
2020-11-03,826
2020-11-04,826
2020-11-05,826
2020-11-06,826
2020-11-07,826
2020-11-08,826
2020-11-09,826
2020-11-10,826
2020-11-11,826
2020-11-12,826
2020-11-13,826
2020-11-14,826
2020-11-15,826
2020-11-16,826
2020-11-17,826
2020-11-18,826
2020-11-19,826
2020-11-20,826
2020-11-21,826
2020-11-22,826
2020-11-23,826
2020-11-24,826
2020-11-25,826
2020-11-26,826
2020-11-27,826
2020-11-28,826
2020-11-29,826
2020-11-30,826
2020-12-01,826
2020-12-02,826
2020-12-03,826
2020-12-04,826
2020-12-05,826
2020-12-06,826
2020-12-07,826
2020-12-08,826
2020-12-09,826
2020-12-10,826
2020-12-11,826
2020-12-12,826
2020-12-13,826
2020-12-14,826
2020-12-15,826
2020-12-16,826
2020-12-17,826
2020-12-18,826
2020-12-19,826
2020-12-20,826
2020-12-21,826
2020-12-22,826
2020-12-23,826
2020-12-24,826
2020-12-25,826
2020-12-26,826
2020-12-27,826
2020-12-28,826
2020-12-29,826
2021-01-03,826
2021-01-04,826
2021-01-05,826
2021-01-06,826
2021-01-07,826
2021-01-08,826
2021-01-09,826
2021-01-10,826
2021-01-11,826
2021-01-12,826
2021-01-13,826
2021-01-14,826
2021-01-15,826
2021-01-16,826
2021-01-17,826
2021-01-18,826
2021-01-19,826
2021-01-20,826
2021-01-21,826
2021-01-22,826
2021-01-23,826
2021-01-24,826
2021-01-25,826
2021-01-26,826
2021-01-27,826
2021-01-28,826
2021-01-29,826
2021-01-30,826
2021-01-31,826
