Date,Confirmed
2020-05-01,3
2020-05-02,3
2020-05-03,8
2020-05-04,8
2020-05-05,11
2020-05-06,11
2020-05-07,15
2020-05-08,21
2020-05-09,23
2020-05-10,23
2020-05-11,33
2020-05-12,33
2020-05-13,35
2020-05-14,35
2020-05-15,35
2020-05-16,42
2020-05-17,42
2020-05-18,42
2020-05-19,47
2020-05-20,48
2020-05-21,48
2020-05-22,48
2020-05-23,50
2020-05-24,52
2020-05-25,52
2020-05-26,52
2020-05-27,55
2020-05-28,57
2020-05-29,59
2020-05-30,59
2020-05-31,60
2020-06-01,60
2020-06-02,60
2020-06-03,62
2020-06-04,62
2020-06-05,62
2020-06-06,62
2020-06-07,62
2020-06-08,62
2020-06-09,64
2020-06-10,64
2020-06-11,64
2020-06-12,65
2020-06-13,65
2020-06-14,67
2020-06-15,68
2020-06-16,69
2020-06-17,71
2020-06-18,71
2020-06-19,72
2020-06-20,74
2020-06-21,74
2020-06-22,75
2020-06-23,75
2020-06-24,76
2020-06-25,77
2020-06-26,77
2020-06-27,77
2020-06-28,77
2020-06-29,84
2020-06-30,84
2020-07-01,84
2020-07-02,89
2020-07-03,94
2020-07-04,94
2020-07-05,96
2020-07-06,99
2020-07-07,100
2020-07-08,101
2020-07-09,103
2020-07-10,105
2020-07-11,106
2020-07-12,106
2020-07-13,106
2020-07-14,108
2020-07-15,112
2020-07-16,118
2020-07-17,118
2020-07-18,120
2020-07-19,128
2020-07-20,144
2020-07-21,160
2020-07-22,162
2020-07-23,162
2020-07-24,170
2020-07-25,176
2020-07-26,178
2020-07-27,181
2020-07-28,191
2020-07-29,193
2020-07-30,194
2020-07-31,201
2020-08-01,214
2020-08-02,216
2020-08-03,216
2020-08-04,221
2020-08-05,222
2020-08-06,230
2020-08-07,236
2020-08-08,240
2020-08-09,244
2020-08-10,244
2020-08-11,247
2020-08-12,247
2020-08-13,247
2020-08-14,247
2020-08-15,247
2020-08-16,249
2020-08-17,249
2020-08-18,249
2020-08-19,249
2020-08-20,249
2020-08-21,251
2020-08-22,251
2020-08-23,251
2020-08-24,251
2020-08-25,251
2020-08-26,254
2020-08-27,254
2020-08-28,254
2020-08-29,254
2020-08-30,254
2020-08-31,254
2020-09-01,254
2020-09-02,258
2020-09-03,258
2020-09-04,258
2020-09-05,258
2020-09-06,258
2020-09-07,258
2020-09-08,258
2020-09-09,260
2020-09-10,260
2020-09-11,260
2020-09-12,260
2020-09-13,260
2020-09-14,260
2020-09-15,260
2020-09-16,263
2020-09-17,263
2020-09-18,263
2020-09-19,263
2020-09-20,263
2020-09-21,263
2020-09-22,263
2020-09-23,263
2020-09-24,263
2020-09-25,263
2020-09-26,263
2020-09-27,263
2020-09-28,263
2020-09-29,263
2020-09-30,263
2020-10-01,263
2020-10-02,263
2020-10-03,263
2020-10-04,263
2020-10-05,264
2020-10-06,264
2020-10-07,264
2020-10-08,264
2020-10-09,264
2020-10-10,264
2020-10-11,264
2020-10-12,264
2020-10-13,264
2020-10-14,264
2020-10-15,264
2020-10-16,264
2020-10-17,264
2020-10-18,264
2020-10-19,264
2020-10-20,264
2020-10-21,264
2020-10-22,264
2020-10-23,264
2020-10-24,264
2020-10-25,264
2020-10-26,264
2020-10-28,264
2020-10-29,264
2020-10-30,264
2020-10-31,264
2020-11-01,264
2020-11-02,264
2020-11-03,264
2020-11-04,264
2020-11-05,264
2020-11-06,264
2020-11-07,264
2020-11-08,264
2020-11-09,264
2020-11-10,264
2020-11-11,264
2020-11-12,264
2020-11-13,264
2020-11-14,264
2020-11-15,264
2020-11-16,264
2020-11-17,264
2020-11-18,264
2020-11-19,264
2020-11-20,264
2020-11-21,264
2020-11-22,264
2020-11-23,264
2020-11-24,264
2020-11-25,264
2020-11-26,264
2020-11-27,264
2020-11-28,264
2020-11-29,264
2020-11-30,264
2020-12-01,264
2020-12-02,264
2020-12-03,264
2020-12-04,264
2020-12-05,264
2020-12-06,264
2020-12-07,264
2020-12-08,264
2020-12-09,264
2020-12-10,264
2020-12-11,264
2020-12-12,264
2020-12-13,264
2020-12-14,264
2020-12-15,264
2020-12-16,264
2020-12-17,264
2020-12-18,264
2020-12-19,264
2020-12-20,264
2020-12-21,264
2020-12-22,264
2020-12-23,264
2020-12-24,264
2020-12-25,264
2020-12-26,264
2020-12-27,264
2020-12-28,264
2020-12-29,264
2021-01-03,264
2021-01-04,264
2021-01-05,264
2021-01-06,264
2021-01-07,264
2021-01-08,264
2021-01-09,264
2021-01-10,264
2021-01-11,264
2021-01-12,264
2021-01-13,264
2021-01-14,264
2021-01-15,264
2021-01-16,264
2021-01-17,264
2021-01-18,264
2021-01-19,264
2021-01-20,264
2021-01-21,264
2021-01-22,264
2021-01-23,264
2021-01-24,264
2021-01-25,264
2021-01-26,264
2021-01-27,264
2021-01-28,264
2021-01-29,264
2021-01-30,264
2021-01-31,264
