Date,Confirmed
2020-05-01,246
2020-05-02,254
2020-05-03,258
2020-05-04,261
2020-05-05,274
2020-05-06,286
2020-05-07,298
2020-05-08,306
2020-05-09,318
2020-05-10,334
2020-05-11,353
2020-05-12,376
2020-05-13,387
2020-05-14,387
2020-05-15,421
2020-05-16,431
2020-05-17,450
2020-05-18,461
2020-05-19,470
2020-05-20,476
2020-05-21,498
2020-05-22,507
2020-05-23,521
2020-05-24,523
2020-05-25,541
2020-05-26,555
2020-05-27,561
2020-05-28,589
2020-05-29,598
2020-05-30,599
2020-05-31,601
2020-06-01,608
2020-06-02,613
2020-06-03,622
2020-06-04,627
2020-06-05,630
2020-06-06,639
2020-06-07,649
2020-06-08,654
2020-06-09,659
2020-06-10,662
2020-06-11,664
2020-06-12,669
2020-06-13,672
2020-06-14,678
2020-06-15,684
2020-06-16,689
2020-06-17,694
2020-06-18,697
2020-06-19,709
2020-06-20,712
2020-06-21,715
2020-06-22,733
2020-06-23,740
2020-06-24,743
2020-06-25,751
2020-06-26,760
2020-06-27,783
2020-06-28,824
2020-06-29,836
2020-06-30,837
2020-07-01,858
2020-07-02,875
2020-07-03,957
2020-07-04,962
2020-07-05,993
2020-07-06,1022
2020-07-07,1065
2020-07-08,1115
2020-07-09,1163
2020-07-10,1227
2020-07-11,1246
2020-07-12,1304
2020-07-13,1323
2020-07-14,1364
2020-07-15,1422
2020-07-16,1493
2020-07-17,1582
2020-07-18,1660
2020-07-19,1682
2020-07-20,1685
2020-07-21,1744
2020-07-22,1794
2020-07-23,1827
2020-07-24,1909
2020-07-25,1978
2020-07-26,2019
2020-07-27,2055
2020-07-28,2097
2020-07-29,2186
2020-07-30,2221
2020-07-31,2274
2020-08-01,2345
2020-08-02,2380
2020-08-03,2429
2020-08-04,2466
2020-08-05,2507
2020-08-06,2567
2020-08-07,2629
2020-08-08,2690
2020-08-09,2749
2020-08-10,2788
2020-08-11,2849
2020-08-12,2888
2020-08-13,2888
2020-08-14,2976
2020-08-15,3040
2020-08-16,3065
2020-08-17,3095
2020-08-18,3143
2020-08-19,3171
2020-08-20,3218
2020-08-21,3275
2020-08-22,3293
2020-08-23,3324
2020-08-24,3345
2020-08-25,3373
2020-08-26,3407
2020-08-27,3434
2020-08-28,3461
2020-08-29,3475
2020-08-30,3500
2020-08-31,3521
2020-09-01,3539
2020-09-02,3565
2020-09-03,3577
2020-09-04,3602
2020-09-05,3625
2020-09-06,3650
2020-09-07,3659
2020-09-08,3671
2020-09-09,3684
2020-09-10,3703
2020-09-11,3720
2020-09-12,3732
2020-09-13,3752
2020-09-14,3766
2020-09-15,3785
2020-09-16,3797
2020-09-17,3808
2020-09-18,3826
2020-09-19,3834
2020-09-20,3847
2020-09-21,3868
2020-09-22,3880
2020-09-23,3895
2020-09-24,3895
2020-09-25,3920
2020-09-26,3932
2020-09-27,3939
2020-09-28,3949
2020-09-29,3949
2020-09-30,3972
2020-10-01,3981
2020-10-02,3986
2020-10-03,3992
2020-10-04,3999
2020-10-05,4006
2020-10-06,4015
2020-10-07,4035
2020-10-08,4041
2020-10-09,4054
2020-10-10,4066
2020-10-11,4070
2020-10-12,4076
2020-10-13,4084
2020-10-14,4084
2020-10-15,4109
2020-10-16,4121
2020-10-17,4135
2020-10-18,4145
2020-10-19,4145
2020-10-20,4180
2020-10-21,4180
2020-10-22,4215
2020-10-23,4248
2020-10-24,4248
2020-10-25,4248
2020-10-26,4248
2020-10-28,4248
2020-10-29,4248
2020-10-30,4248
2020-10-31,4248
2020-11-01,4248
2020-11-02,4248
2020-11-03,4248
2020-11-04,4248
2020-11-05,4248
2020-11-06,4248
2020-11-07,4248
2020-11-08,4248
2020-11-09,4248
2020-11-10,4248
2020-11-11,4248
2020-11-12,4248
2020-11-13,4248
2020-11-14,4248
2020-11-15,4248
2020-11-16,4248
2020-11-17,4248
2020-11-18,4248
2020-11-19,4248
2020-11-20,4248
2020-11-21,4248
2020-11-22,4248
2020-11-23,4248
2020-11-24,4248
2020-11-25,4248
2020-11-26,4248
2020-11-27,4248
2020-11-28,4248
2020-11-29,4248
2020-11-30,4248
2020-12-01,4248
2020-12-02,4248
2020-12-03,4248
2020-12-04,4248
2020-12-05,4248
2020-12-06,4248
2020-12-07,4248
2020-12-08,4248
2020-12-09,4248
2020-12-10,4248
2020-12-11,4248
2020-12-12,4248
2020-12-13,4248
2020-12-14,4248
2020-12-15,4248
2020-12-16,4248
2020-12-17,4248
2020-12-18,4248
2020-12-19,4248
2020-12-20,4248
2020-12-21,4248
2020-12-22,4248
2020-12-23,4248
2020-12-24,4248
2020-12-25,4248
2020-12-26,4248
2020-12-27,4248
2020-12-28,4248
2020-12-29,4248
2021-01-03,4248
2021-01-04,4248
2021-01-05,4248
2021-01-06,4248
2021-01-07,4248
2021-01-08,4248
2021-01-09,4248
2021-01-10,4248
2021-01-11,4248
2021-01-12,4248
2021-01-13,4248
2021-01-14,4248
2021-01-15,4248
2021-01-16,4248
2021-01-17,4248
2021-01-18,4248
2021-01-19,4248
2021-01-20,4248
2021-01-21,4248
2021-01-22,4248
2021-01-23,4248
2021-01-24,4248
2021-01-25,4248
2021-01-26,4248
2021-01-27,4248
2021-01-28,4248
2021-01-29,4248
2021-01-30,4248
2021-01-31,4248
