Date,Confirmed
2020-05-01,75
2020-05-02,75
2020-05-03,75
2020-05-04,86
2020-05-05,95
2020-05-06,99
2020-05-07,102
2020-05-08,106
2020-05-09,113
2020-05-10,116
2020-05-11,116
2020-05-12,120
2020-05-13,125
2020-05-14,135
2020-05-15,143
2020-05-16,146
2020-05-17,150
2020-05-18,155
2020-05-19,159
2020-05-20,160
2020-05-21,166
2020-05-22,167
2020-05-23,169
2020-05-24,169
2020-05-25,169
2020-05-26,169
2020-05-27,169
2020-05-28,175
2020-05-29,183
2020-05-30,184
2020-05-31,187
2020-06-01,190
2020-06-02,190
2020-06-03,193
2020-06-04,196
2020-06-05,196
2020-06-06,199
2020-06-07,201
2020-06-08,201
2020-06-09,203
2020-06-10,205
2020-06-11,206
2020-06-12,209
2020-06-13,210
2020-06-14,213
2020-06-15,215
2020-06-16,216
2020-06-17,216
2020-06-18,218
2020-06-19,220
2020-06-20,221
2020-06-21,222
2020-06-22,224
2020-06-23,227
2020-06-24,228
2020-06-25,233
2020-06-26,236
2020-06-27,246
2020-06-28,261
2020-06-29,270
2020-06-30,274
2020-07-01,274
2020-07-02,277
2020-07-03,281
2020-07-04,290
2020-07-05,293
2020-07-06,293
2020-07-07,294
2020-07-08,302
2020-07-09,303
2020-07-10,303
2020-07-11,312
2020-07-12,313
2020-07-13,321
2020-07-14,321
2020-07-15,325
2020-07-16,343
2020-07-17,348
2020-07-18,350
2020-07-19,364
2020-07-20,373
2020-07-21,375
2020-07-22,379
2020-07-23,390
2020-07-24,398
2020-07-25,406
2020-07-26,413
2020-07-27,417
2020-07-28,425
2020-07-29,434
2020-07-30,462
2020-07-31,474
2020-08-01,488
2020-08-02,492
2020-08-03,507
2020-08-04,512
2020-08-05,521
2020-08-06,521
2020-08-07,524
2020-08-08,526
2020-08-09,533
2020-08-10,535
2020-08-11,537
2020-08-12,539
2020-08-13,539
2020-08-14,548
2020-08-15,555
2020-08-16,570
2020-08-17,578
2020-08-18,583
2020-08-19,590
2020-08-20,593
2020-08-21,599
2020-08-22,600
2020-08-23,605
2020-08-24,607
2020-08-25,607
2020-08-26,608
2020-08-27,616
2020-08-28,622
2020-08-29,627
2020-08-30,638
2020-08-31,639
2020-09-01,640
2020-09-02,643
2020-09-03,653
2020-09-04,659
2020-09-05,669
2020-09-06,675
2020-09-07,675
2020-09-08,681
2020-09-09,682
2020-09-10,686
2020-09-11,686
2020-09-12,687
2020-09-13,691
2020-09-14,693
2020-09-15,693
2020-09-16,698
2020-09-17,702
2020-09-18,706
2020-09-19,712
2020-09-20,712
2020-09-21,714
2020-09-22,715
2020-09-23,717
2020-09-24,717
2020-09-25,723
2020-09-26,723
2020-09-27,723
2020-09-28,725
2020-09-29,725
2020-09-30,729
2020-10-01,730
2020-10-02,730
2020-10-03,731
2020-10-04,733
2020-10-05,735
2020-10-06,735
2020-10-07,736
2020-10-08,737
2020-10-09,739
2020-10-10,741
2020-10-11,741
2020-10-12,742
2020-10-13,742
2020-10-14,742
2020-10-15,748
2020-10-16,751
2020-10-17,753
2020-10-18,753
2020-10-19,753
2020-10-20,761
2020-10-21,761
2020-10-22,773
2020-10-23,773
2020-10-24,773
2020-10-25,773
2020-10-26,773
2020-10-28,773
2020-10-29,773
2020-10-30,773
2020-10-31,773
2020-11-01,773
2020-11-02,773
2020-11-03,773
2020-11-04,773
2020-11-05,773
2020-11-06,773
2020-11-07,773
2020-11-08,773
2020-11-09,773
2020-11-10,773
2020-11-11,773
2020-11-12,773
2020-11-13,773
2020-11-14,773
2020-11-15,773
2020-11-16,773
2020-11-17,773
2020-11-18,773
2020-11-19,773
2020-11-20,773
2020-11-21,773
2020-11-22,773
2020-11-23,773
2020-11-24,773
2020-11-25,773
2020-11-26,773
2020-11-27,773
2020-11-28,773
2020-11-29,773
2020-11-30,773
2020-12-01,773
2020-12-02,773
2020-12-03,773
2020-12-04,773
2020-12-05,773
2020-12-06,773
2020-12-07,773
2020-12-08,773
2020-12-09,773
2020-12-10,773
2020-12-11,773
2020-12-12,773
2020-12-13,773
2020-12-14,773
2020-12-15,773
2020-12-16,773
2020-12-17,773
2020-12-18,773
2020-12-19,773
2020-12-20,773
2020-12-21,773
2020-12-22,773
2020-12-23,773
2020-12-24,773
2020-12-25,773
2020-12-26,773
2020-12-27,773
2020-12-28,773
2020-12-29,773
2021-01-03,773
2021-01-04,773
2021-01-05,773
2021-01-06,773
2021-01-07,773
2021-01-08,773
2021-01-09,773
2021-01-10,773
2021-01-11,773
2021-01-12,773
2021-01-13,773
2021-01-14,773
2021-01-15,773
2021-01-16,773
2021-01-17,773
2021-01-18,773
2021-01-19,773
2021-01-20,773
2021-01-21,773
2021-01-22,773
2021-01-23,773
2021-01-24,773
2021-01-25,773
2021-01-26,773
2021-01-27,773
2021-01-28,773
2021-01-29,773
2021-01-30,773
2021-01-31,773
