Date,Confirmed,Unnamed: 2,Unnamed: 3
2020-05-01,31,,
2020-05-02,33,,
2020-05-03,33,,
2020-05-04,36,,
2020-05-05,36,,
2020-05-06,36,,
2020-05-07,37,,
2020-05-08,37,,
2020-05-09,37,,
2020-05-10,37,,
2020-05-11,37,,
2020-05-12,37,,
2020-05-13,37,,
2020-05-14,37,,
2020-05-15,37,,
2020-05-16,38,,
2020-05-17,38,,
2020-05-18,39,,
2020-05-19,39,,
2020-05-20,39,,
2020-05-21,39,,
2020-05-22,40,,
2020-05-23,42,,
2020-05-24,42,,
2020-05-25,44,,
2020-05-26,44,,
2020-05-27,44,,
2020-05-28,46,,
2020-05-29,47,,
2020-05-30,47,,
2020-05-31,47,,
2020-06-01,47,,
2020-06-02,48,,
2020-06-03,50,,
2020-06-04,50,,
2020-06-05,51,,
2020-06-06,51,,
2020-06-07,51,,
2020-06-08,53,,
2020-06-09,53,,
2020-06-10,53,,
2020-06-11,54,,
2020-06-12,54,,
2020-06-13,56,,
2020-06-14,58,,
2020-06-15,60,,
2020-06-16,60,,
2020-06-17,63,,
2020-06-18,64,,
2020-06-19,65,,
2020-06-20,66,,
2020-06-21,66,,
2020-06-22,67,,
2020-06-23,67,,
2020-06-24,68,,
2020-06-25,69,,
2020-06-26,70,,
2020-06-27,72,,
2020-06-28,72,,
2020-06-29,73,,
2020-06-30,75,,
2020-07-01,75,,
2020-07-02,81,,
2020-07-03,81,,
2020-07-04,83,,
2020-07-05,83,,
2020-07-06,96,,
2020-07-07,96,,
2020-07-08,101,,
2020-07-09,103,,
2020-07-10,103,,
2020-07-11,105,,
2020-07-12,105,,
2020-07-13,110,,
2020-07-14,110,,
2020-07-15,113,,
2020-07-16,113,,
2020-07-17,113,,
2020-07-18,113,,
2020-07-19,113,,
2020-07-20,116,,
2020-07-21,118,,
2020-07-22,121,,
2020-07-23,123,,
2020-07-24,123,,
2020-07-25,125,,
2020-07-26,125,,
2020-07-27,125,,
2020-07-28,125,,
2020-07-29,125,,
2020-07-30,125,,
2020-07-31,125,,
2020-08-01,125,,
2020-08-02,125,,
2020-08-03,125,,
2020-08-04,125,,
2020-08-05,125,,
2020-08-06,126,,
2020-08-07,135,,
2020-08-08,135,,
2020-08-09,137,,
2020-08-10,137,,
2020-08-11,143,,
2020-08-12,152,,
2020-08-13,152,,
2020-08-14,152,,
2020-08-15,154,,
2020-08-16,157,,
2020-08-17,157,,
2020-08-18,158,,
2020-08-19,163,,
2020-08-20,163,,
2020-08-21,166,,
2020-08-22,167,,
2020-08-23,168,,
2020-08-24,169,,
2020-08-25,176,,
2020-08-26,189,,
2020-08-27,190,,
2020-08-28,192,,
2020-08-29,193,,
2020-08-30,194,,
2020-08-31,194,,
2020-09-01,196,,
2020-09-02,201,,
2020-09-03,201,,
2020-09-04,201,,
2020-09-05,201,,
2020-09-06,201,,
2020-09-07,201,,
2020-09-08,201,,
2020-09-09,206,,
2020-09-10,206,,
2020-09-11,206,,
2020-09-12,206,,
2020-09-13,206,,
2020-09-14,206,,
2020-09-15,206,,
2020-09-16,206,,
2020-09-17,206,,
2020-09-18,209,,
2020-09-19,209,,
2020-09-20,209,,
2020-09-21,209,,
2020-09-22,210,,
2020-09-23,210,,
2020-09-24,210,,
2020-09-25,210,,
2020-09-26,210,,
2020-09-27,210,,
2020-09-28,210,,
2020-09-29,210,,
2020-09-30,211,,
2020-10-01,213,,
2020-10-02,213,,
2020-10-03,213,,
2020-10-04,213,,
2020-10-05,213,,
2020-10-06,213,,
2020-10-07,213,,
2020-10-08,214,,
2020-10-09,215,,
2020-10-10,215,,
2020-10-11,215,,
2020-10-12,215,,
2020-10-13,215,,
2020-10-14,215,,
2020-10-15,220,,
2020-10-16,220,,
2020-10-17,223,,
2020-10-18,223,,
2020-10-19,223,,
2020-10-20,227,,
2020-10-21,227,,
2020-10-22,227,,
2020-10-23,229,,
2020-10-24,229,,
2020-10-25,229,,
2020-10-26,229,,
2020-10-28,229,,
2020-10-29,229,,
2020-10-30,229,,
2020-10-31,229,,
2020-11-01,229,,
2020-11-02,229,,
2020-11-03,229,,
2020-11-04,229,,
2020-11-05,229,,
2020-11-06,229,,
2020-11-07,229,,
2020-11-08,229,,
2020-11-09,229,,
2020-11-10,229,,
2020-11-11,229,,
2020-11-12,229,,
2020-11-13,229,,
2020-11-14,229,,
2020-11-15,229,,
2020-11-16,229,,
2020-11-17,229,,
2020-11-18,229,,
2020-11-19,229,,
2020-11-20,229,,
2020-11-21,229,,
2020-11-22,229,,
2020-11-23,229,,
2020-11-24,229,,
2020-11-25,229,,
2020-11-26,229,,
2020-11-27,229,,
2020-11-28,229,,
2020-11-29,229,,
2020-11-30,229,,
2020-12-01,229,,
2020-12-02,229,,
2020-12-03,229,,
2020-12-04,229,,
2020-12-05,229,,
2020-12-06,229,,
2020-12-07,229,,
2020-12-08,229,,
2020-12-09,229,,
2020-12-10,229,,
2020-12-11,229,,
2020-12-12,229,,
2020-12-13,229,,
2020-12-14,229,,
2020-12-15,229,,
2020-12-16,229,,
2020-12-17,229,,
2020-12-18,229,,
2020-12-19,229,,
2020-12-20,229,,
2020-12-21,229,,
2020-12-22,229,,
2020-12-23,229,,
2020-12-24,229,,
2020-12-25,229,,
2020-12-26,229,,
2020-12-27,229,,
2020-12-28,229,,
2020-12-29,229,,
2021-01-03,229,,
2021-01-04,229,,
2021-01-05,229,,
2021-01-06,229,,
2021-01-07,229,,
2021-01-08,229,,
2021-01-09,229,,
2021-01-10,229,,
2021-01-11,229,,
2021-01-12,229,,
2021-01-13,229,,
2021-01-14,229,,
2021-01-15,229,,
2021-01-16,229,,
2021-01-17,229,,
2021-01-18,229,,
2021-01-19,229,,
2021-01-20,229,,
2021-01-21,229,,
2021-01-22,229,,
2021-01-23,229,,
2021-01-24,229,,
2021-01-25,229,,
2021-01-26,229,,
2021-01-27,229,,
2021-01-28,229,,
2021-01-29,229,,
2021-01-30,229,,
2021-01-31,229,,
