Date,Confirmed
2020-05-01,5
2020-05-02,5
2020-05-03,5
2020-05-04,5
2020-05-05,5
2020-05-06,5
2020-05-07,5
2020-05-08,5
2020-05-09,5
2020-05-10,5
2020-05-11,6
2020-05-12,6
2020-05-13,6
2020-05-14,6
2020-05-15,6
2020-05-16,6
2020-05-17,6
2020-05-18,6
2020-05-19,6
2020-05-20,6
2020-05-21,8
2020-05-22,8
2020-05-23,8
2020-05-24,8
2020-05-25,8
2020-05-26,8
2020-05-27,8
2020-05-28,10
2020-05-29,10
2020-05-30,10
2020-05-31,10
2020-06-01,10
2020-06-02,10
2020-06-03,10
2020-06-04,11
2020-06-05,12
2020-06-06,12
2020-06-07,12
2020-06-08,13
2020-06-09,14
2020-06-10,14
2020-06-11,14
2020-06-12,14
2020-06-13,16
2020-06-14,18
2020-06-15,18
2020-06-16,18
2020-06-17,18
2020-06-18,19
2020-06-19,22
2020-06-20,23
2020-06-21,24
2020-06-22,24
2020-06-23,24
2020-06-24,27
2020-06-25,28
2020-06-26,32
2020-06-27,32
2020-06-28,32
2020-06-29,40
2020-06-30,40
2020-07-01,40
2020-07-02,40
2020-07-03,40
2020-07-04,44
2020-07-05,44
2020-07-06,46
2020-07-07,46
2020-07-08,46
2020-07-09,46
2020-07-10,46
2020-07-11,46
2020-07-12,46
2020-07-13,49
2020-07-14,49
2020-07-15,49
2020-07-16,51
2020-07-17,52
2020-07-18,54
2020-07-19,54
2020-07-20,54
2020-07-21,54
2020-07-22,54
2020-07-23,54
2020-07-24,56
2020-07-25,56
2020-07-26,56
2020-07-27,56
2020-07-28,58
2020-07-29,58
2020-07-30,58
2020-07-31,58
2020-08-01,58
2020-08-02,58
2020-08-03,58
2020-08-04,58
2020-08-05,59
2020-08-06,59
2020-08-07,59
2020-08-08,59
2020-08-09,59
2020-08-10,59
2020-08-11,61
2020-08-12,61
2020-08-13,61
2020-08-14,61
2020-08-15,61
2020-08-16,61
2020-08-17,61
2020-08-18,61
2020-08-19,62
2020-08-20,62
2020-08-21,63
2020-08-22,63
2020-08-23,63
2020-08-24,63
2020-08-25,63
2020-08-26,63
2020-08-27,63
2020-08-28,64
2020-08-29,65
2020-08-30,65
2020-08-31,65
2020-09-01,69
2020-09-02,69
2020-09-03,69
2020-09-04,69
2020-09-05,70
2020-09-06,70
2020-09-07,70
2020-09-08,70
2020-09-09,70
2020-09-10,70
2020-09-11,70
2020-09-12,71
2020-09-13,72
2020-09-14,72
2020-09-15,72
2020-09-16,72
2020-09-17,72
2020-09-18,72
2020-09-19,72
2020-09-20,72
2020-09-21,72
2020-09-22,72
2020-09-23,72
2020-09-24,72
2020-09-25,72
2020-09-26,72
2020-09-27,72
2020-09-28,72
2020-09-29,72
2020-09-30,72
2020-10-01,72
2020-10-02,72
2020-10-03,72
2020-10-04,72
2020-10-05,72
2020-10-06,72
2020-10-07,72
2020-10-08,72
2020-10-09,72
2020-10-10,72
2020-10-11,72
2020-10-12,72
2020-10-13,72
2020-10-14,72
2020-10-15,72
2020-10-16,72
2020-10-17,72
2020-10-18,72
2020-10-19,72
2020-10-20,72
2020-10-21,72
2020-10-22,72
2020-10-23,72
2020-10-24,72
2020-10-25,72
2020-10-26,72
2020-10-28,72
2020-10-29,72
2020-10-30,72
2020-10-31,72
2020-11-01,72
2020-11-02,72
2020-11-03,72
2020-11-04,72
2020-11-05,72
2020-11-06,72
2020-11-07,72
2020-11-08,72
2020-11-09,72
2020-11-10,72
2020-11-11,72
2020-11-12,72
2020-11-13,72
2020-11-14,72
2020-11-15,72
2020-11-16,72
2020-11-17,72
2020-11-18,72
2020-11-19,72
2020-11-20,72
2020-11-21,72
2020-11-22,72
2020-11-23,72
2020-11-24,72
2020-11-25,72
2020-11-26,72
2020-11-27,72
2020-11-28,72
2020-11-29,72
2020-11-30,72
2020-12-01,72
2020-12-02,72
2020-12-03,72
2020-12-04,72
2020-12-05,72
2020-12-06,72
2020-12-07,72
2020-12-08,72
2020-12-09,72
2020-12-10,72
2020-12-11,72
2020-12-12,72
2020-12-13,72
2020-12-14,72
2020-12-15,72
2020-12-16,72
2020-12-17,72
2020-12-18,72
2020-12-19,72
2020-12-20,72
2020-12-21,72
2020-12-22,72
2020-12-23,72
2020-12-24,72
2020-12-25,72
2020-12-26,72
2020-12-27,72
2020-12-28,72
2020-12-29,72
2021-01-03,72
2021-01-04,72
2021-01-05,72
2021-01-06,72
2021-01-07,72
2021-01-08,72
2021-01-09,72
2021-01-10,72
2021-01-11,72
2021-01-12,72
2021-01-13,72
2021-01-14,72
2021-01-15,72
2021-01-16,72
2021-01-17,72
2021-01-18,72
2021-01-19,72
2021-01-20,72
2021-01-21,72
2021-01-22,72
2021-01-23,72
2021-01-24,72
2021-01-25,72
2021-01-26,72
2021-01-27,72
2021-01-28,72
2021-01-29,72
2021-01-30,72
2021-01-31,72
