Date,Confirmed
2020-05-01,50
2020-05-02,50
2020-05-03,51
2020-05-04,51
2020-05-05,54
2020-05-06,57
2020-05-07,59
2020-05-08,59
2020-05-09,59
2020-05-10,59
2020-05-11,61
2020-05-12,61
2020-05-13,65
2020-05-14,65
2020-05-15,68
2020-05-16,69
2020-05-17,76
2020-05-18,76
2020-05-19,76
2020-05-20,76
2020-05-21,76
2020-05-22,76
2020-05-23,76
2020-05-24,76
2020-05-25,76
2020-05-26,76
2020-05-27,76
2020-05-28,78
2020-05-29,79
2020-05-30,81
2020-05-31,81
2020-06-01,82
2020-06-02,82
2020-06-03,86
2020-06-04,86
2020-06-05,88
2020-06-06,88
2020-06-07,88
2020-06-08,91
2020-06-09,92
2020-06-10,94
2020-06-11,95
2020-06-12,98
2020-06-13,99
2020-06-14,100
2020-06-15,102
2020-06-16,102
2020-06-17,105
2020-06-18,107
2020-06-19,108
2020-06-20,110
2020-06-21,110
2020-06-22,110
2020-06-23,113
2020-06-24,115
2020-06-25,115
2020-06-26,116
2020-06-27,117
2020-06-28,117
2020-06-29,118
2020-06-30,119
2020-07-01,120
2020-07-02,123
2020-07-03,132
2020-07-04,132
2020-07-05,133
2020-07-06,137
2020-07-07,139
2020-07-08,147
2020-07-09,152
2020-07-10,158
2020-07-11,158
2020-07-12,174
2020-07-13,178
2020-07-14,178
2020-07-15,182
2020-07-16,187
2020-07-17,187
2020-07-18,196
2020-07-19,202
2020-07-20,214
2020-07-21,222
2020-07-22,229
2020-07-23,229
2020-07-24,254
2020-07-25,259
2020-07-26,264
2020-07-27,268
2020-07-28,272
2020-07-29,293
2020-07-30,294
2020-07-31,297
2020-08-01,300
2020-08-02,309
2020-08-03,311
2020-08-04,312
2020-08-05,312
2020-08-06,312
2020-08-07,326
2020-08-08,332
2020-08-09,338
2020-08-10,349
2020-08-11,351
2020-08-12,356
2020-08-13,356
2020-08-14,356
2020-08-15,358
2020-08-16,361
2020-08-17,366
2020-08-18,367
2020-08-19,371
2020-08-20,375
2020-08-21,377
2020-08-22,378
2020-08-23,378
2020-08-24,390
2020-08-25,393
2020-08-26,393
2020-08-27,396
2020-08-28,398
2020-08-29,398
2020-08-30,398
2020-08-31,401
2020-09-01,404
2020-09-02,405
2020-09-03,405
2020-09-04,405
2020-09-05,405
2020-09-06,405
2020-09-07,405
2020-09-08,408
2020-09-09,408
2020-09-10,409
2020-09-11,409
2020-09-12,410
2020-09-13,411
2020-09-14,412
2020-09-15,414
2020-09-16,417
2020-09-17,417
2020-09-18,417
2020-09-19,417
2020-09-20,417
2020-09-21,417
2020-09-22,417
2020-09-23,417
2020-09-24,417
2020-09-25,417
2020-09-26,417
2020-09-27,417
2020-09-28,419
2020-09-29,419
2020-09-30,420
2020-10-01,420
2020-10-02,420
2020-10-03,420
2020-10-04,420
2020-10-05,420
2020-10-06,420
2020-10-07,420
2020-10-08,422
2020-10-09,422
2020-10-10,422
2020-10-11,422
2020-10-12,423
2020-10-13,423
2020-10-14,423
2020-10-15,423
2020-10-16,423
2020-10-17,423
2020-10-18,423
2020-10-19,423
2020-10-20,425
2020-10-21,425
2020-10-22,427
2020-10-23,427
2020-10-24,427
2020-10-25,427
2020-10-26,427
2020-10-28,427
2020-10-29,427
2020-10-30,427
2020-10-31,427
2020-11-01,427
2020-11-02,427
2020-11-03,427
2020-11-04,427
2020-11-05,427
2020-11-06,427
2020-11-07,427
2020-11-08,427
2020-11-09,427
2020-11-10,427
2020-11-11,427
2020-11-12,427
2020-11-13,427
2020-11-14,427
2020-11-15,427
2020-11-16,427
2020-11-17,427
2020-11-18,427
2020-11-19,427
2020-11-20,427
2020-11-21,427
2020-11-22,427
2020-11-23,427
2020-11-24,427
2020-11-25,427
2020-11-26,427
2020-11-27,427
2020-11-28,427
2020-11-29,427
2020-11-30,427
2020-12-01,427
2020-12-02,427
2020-12-03,427
2020-12-04,427
2020-12-05,427
2020-12-06,427
2020-12-07,427
2020-12-08,427
2020-12-09,427
2020-12-10,427
2020-12-11,427
2020-12-12,427
2020-12-13,427
2020-12-14,427
2020-12-15,427
2020-12-16,427
2020-12-17,427
2020-12-18,427
2020-12-19,427
2020-12-20,427
2020-12-21,427
2020-12-22,427
2020-12-23,427
2020-12-24,427
2020-12-25,427
2020-12-26,427
2020-12-27,427
2020-12-28,427
2020-12-29,427
2021-01-03,427
2021-01-04,427
2021-01-05,427
2021-01-06,427
2021-01-07,427
2021-01-08,427
2021-01-09,427
2021-01-10,427
2021-01-11,427
2021-01-12,427
2021-01-13,427
2021-01-14,427
2021-01-15,427
2021-01-16,427
2021-01-17,427
2021-01-18,427
2021-01-19,427
2021-01-20,427
2021-01-21,427
2021-01-22,427
2021-01-23,427
2021-01-24,427
2021-01-25,427
2021-01-26,427
2021-01-27,427
2021-01-28,427
2021-01-29,427
2021-01-30,427
2021-01-31,427
