Date,Confirmed
2020-05-01,48
2020-05-02,51
2020-05-03,51
2020-05-04,53
2020-05-05,57
2020-05-06,60
2020-05-07,60
2020-05-08,60
2020-05-09,60
2020-05-10,64
2020-05-11,64
2020-05-12,69
2020-05-13,70
2020-05-14,76
2020-05-15,83
2020-05-16,86
2020-05-17,90
2020-05-18,91
2020-05-19,95
2020-05-20,102
2020-05-21,104
2020-05-22,109
2020-05-23,113
2020-05-24,117
2020-05-25,124
2020-05-26,124
2020-05-27,124
2020-05-28,124
2020-05-29,129
2020-05-30,133
2020-05-31,137
2020-06-01,141
2020-06-02,142
2020-06-03,142
2020-06-04,144
2020-06-05,144
2020-06-06,144
2020-06-07,148
2020-06-08,148
2020-06-09,151
2020-06-10,152
2020-06-11,154
2020-06-12,155
2020-06-13,156
2020-06-14,158
2020-06-15,159
2020-06-16,161
2020-06-17,162
2020-06-18,162
2020-06-19,163
2020-06-20,163
2020-06-21,165
2020-06-22,166
2020-06-23,167
2020-06-24,168
2020-06-25,169
2020-06-26,169
2020-06-27,176
2020-06-28,184
2020-06-29,189
2020-06-30,190
2020-07-01,190
2020-07-02,190
2020-07-03,200
2020-07-04,200
2020-07-05,200
2020-07-06,204
2020-07-07,204
2020-07-08,211
2020-07-09,211
2020-07-10,211
2020-07-11,217
2020-07-12,217
2020-07-13,239
2020-07-14,239
2020-07-15,242
2020-07-16,243
2020-07-17,244
2020-07-18,244
2020-07-19,246
2020-07-20,250
2020-07-21,252
2020-07-22,256
2020-07-23,262
2020-07-24,266
2020-07-25,266
2020-07-26,275
2020-07-27,278
2020-07-28,281
2020-07-29,285
2020-07-30,286
2020-07-31,290
2020-08-01,292
2020-08-02,296
2020-08-03,300
2020-08-04,306
2020-08-05,317
2020-08-06,317
2020-08-07,330
2020-08-08,332
2020-08-09,339
2020-08-10,340
2020-08-11,345
2020-08-12,345
2020-08-13,345
2020-08-14,366
2020-08-15,372
2020-08-16,384
2020-08-17,399
2020-08-18,399
2020-08-19,402
2020-08-20,412
2020-08-21,439
2020-08-22,439
2020-08-23,446
2020-08-24,449
2020-08-25,449
2020-08-26,458
2020-08-27,473
2020-08-28,489
2020-08-29,526
2020-08-30,537
2020-08-31,544
2020-09-01,546
2020-09-02,554
2020-09-03,565
2020-09-04,569
2020-09-05,596
2020-09-06,604
2020-09-07,625
2020-09-08,630
2020-09-09,642
2020-09-10,646
2020-09-11,649
2020-09-12,656
2020-09-13,660
2020-09-14,662
2020-09-15,662
2020-09-16,666
2020-09-17,667
2020-09-18,674
2020-09-19,678
2020-09-20,679
2020-09-21,679
2020-09-22,681
2020-09-23,682
2020-09-24,682
2020-09-25,686
2020-09-26,688
2020-09-27,689
2020-09-28,690
2020-09-29,690
2020-09-30,690
2020-10-01,690
2020-10-02,691
2020-10-03,691
2020-10-04,691
2020-10-05,691
2020-10-06,694
2020-10-07,694
2020-10-08,694
2020-10-09,695
2020-10-10,695
2020-10-11,696
2020-10-12,696
2020-10-13,696
2020-10-14,696
2020-10-15,696
2020-10-16,696
2020-10-17,696
2020-10-18,696
2020-10-19,696
2020-10-20,698
2020-10-21,698
2020-10-22,698
2020-10-23,698
2020-10-24,698
2020-10-25,698
2020-10-26,698
2020-10-28,698
2020-10-29,698
2020-10-30,698
2020-10-31,698
2020-11-01,698
2020-11-02,698
2020-11-03,698
2020-11-04,698
2020-11-05,698
2020-11-06,698
2020-11-07,698
2020-11-08,698
2020-11-09,698
2020-11-10,698
2020-11-11,698
2020-11-12,698
2020-11-13,698
2020-11-14,698
2020-11-15,698
2020-11-16,698
2020-11-17,698
2020-11-18,698
2020-11-19,698
2020-11-20,698
2020-11-21,698
2020-11-22,698
2020-11-23,698
2020-11-24,698
2020-11-25,698
2020-11-26,698
2020-11-27,698
2020-11-28,698
2020-11-29,698
2020-11-30,698
2020-12-01,698
2020-12-02,698
2020-12-03,698
2020-12-04,698
2020-12-05,698
2020-12-06,698
2020-12-07,698
2020-12-08,698
2020-12-09,698
2020-12-10,698
2020-12-11,698
2020-12-12,698
2020-12-13,698
2020-12-14,698
2020-12-15,698
2020-12-16,698
2020-12-17,698
2020-12-18,698
2020-12-19,698
2020-12-20,698
2020-12-21,698
2020-12-22,698
2020-12-23,698
2020-12-24,698
2020-12-25,698
2020-12-26,698
2020-12-27,698
2020-12-28,698
2020-12-29,698
2021-01-03,698
2021-01-04,698
2021-01-05,698
2021-01-06,698
2021-01-07,698
2021-01-08,698
2021-01-09,698
2021-01-10,698
2021-01-11,698
2021-01-12,698
2021-01-13,698
2021-01-14,698
2021-01-15,698
2021-01-16,698
2021-01-17,698
2021-01-18,698
2021-01-19,698
2021-01-20,698
2021-01-21,698
2021-01-22,698
2021-01-23,698
2021-01-24,698
2021-01-25,698
2021-01-26,698
2021-01-27,698
2021-01-28,698
2021-01-29,698
2021-01-30,698
2021-01-31,698
