Date,Confirmed
2020-05-01,15
2020-05-02,15
2020-05-03,15
2020-05-04,15
2020-05-05,19
2020-05-06,20
2020-05-07,20
2020-05-08,20
2020-05-09,27
2020-05-10,27
2020-05-11,27
2020-05-12,27
2020-05-13,33
2020-05-14,34
2020-05-15,34
2020-05-16,38
2020-05-17,38
2020-05-18,38
2020-05-19,41
2020-05-20,41
2020-05-21,46
2020-05-22,50
2020-05-23,55
2020-05-24,58
2020-05-25,58
2020-05-26,61
2020-05-27,61
2020-05-28,66
2020-05-29,67
2020-05-30,68
2020-05-31,70
2020-06-01,72
2020-06-02,72
2020-06-03,76
2020-06-04,76
2020-06-05,77
2020-06-06,77
2020-06-07,79
2020-06-08,80
2020-06-09,82
2020-06-10,84
2020-06-11,84
2020-06-12,86
2020-06-13,87
2020-06-14,88
2020-06-15,90
2020-06-16,92
2020-06-17,95
2020-06-18,97
2020-06-19,97
2020-06-20,100
2020-06-21,104
2020-06-22,106
2020-06-23,108
2020-06-24,111
2020-06-25,113
2020-06-26,118
2020-06-27,119
2020-06-28,120
2020-06-29,122
2020-06-30,122
2020-07-01,130
2020-07-02,130
2020-07-03,133
2020-07-04,137
2020-07-05,137
2020-07-06,139
2020-07-07,145
2020-07-08,147
2020-07-09,149
2020-07-10,149
2020-07-11,152
2020-07-12,157
2020-07-13,157
2020-07-14,161
2020-07-15,163
2020-07-16,171
2020-07-17,174
2020-07-18,175
2020-07-19,178
2020-07-20,184
2020-07-21,192
2020-07-22,195
2020-07-23,198
2020-07-24,200
2020-07-25,202
2020-07-26,205
2020-07-27,218
2020-07-28,222
2020-07-29,224
2020-07-30,232
2020-07-31,234
2020-08-01,234
2020-08-02,235
2020-08-03,241
2020-08-04,241
2020-08-05,246
2020-08-06,246
2020-08-07,253
2020-08-08,253
2020-08-09,256
2020-08-10,256
2020-08-11,257
2020-08-12,257
2020-08-13,257
2020-08-14,269
2020-08-15,274
2020-08-16,277
2020-08-17,283
2020-08-18,283
2020-08-19,291
2020-08-20,293
2020-08-21,299
2020-08-22,300
2020-08-23,304
2020-08-24,304
2020-08-25,304
2020-08-26,304
2020-08-27,311
2020-08-28,313
2020-08-29,314
2020-08-30,316
2020-08-31,319
2020-09-01,333
2020-09-02,337
2020-09-03,338
2020-09-04,348
2020-09-05,349
2020-09-06,349
2020-09-07,358
2020-09-08,361
2020-09-09,372
2020-09-10,373
2020-09-11,381
2020-09-12,383
2020-09-13,390
2020-09-14,390
2020-09-15,390
2020-09-16,396
2020-09-17,397
2020-09-18,400
2020-09-19,405
2020-09-20,406
2020-09-21,406
2020-09-22,406
2020-09-23,419
2020-09-24,419
2020-09-25,419
2020-09-26,425
2020-09-27,427
2020-09-28,428
2020-09-29,428
2020-09-30,429
2020-10-01,433
2020-10-02,435
2020-10-03,438
2020-10-04,442
2020-10-05,442
2020-10-06,444
2020-10-07,448
2020-10-08,449
2020-10-09,449
2020-10-10,449
2020-10-11,458
2020-10-12,458
2020-10-13,461
2020-10-14,461
2020-10-15,463
2020-10-16,463
2020-10-17,470
2020-10-18,477
2020-10-19,477
2020-10-20,481
2020-10-21,481
2020-10-22,487
2020-10-23,487
2020-10-24,487
2020-10-25,487
2020-10-26,487
2020-10-28,487
2020-10-29,487
2020-10-30,487
2020-10-31,487
2020-11-01,487
2020-11-02,487
2020-11-03,487
2020-11-04,487
2020-11-05,487
2020-11-06,487
2020-11-07,487
2020-11-08,487
2020-11-09,487
2020-11-10,487
2020-11-11,487
2020-11-12,487
2020-11-13,487
2020-11-14,487
2020-11-15,487
2020-11-16,487
2020-11-17,487
2020-11-18,487
2020-11-19,487
2020-11-20,487
2020-11-21,487
2020-11-22,487
2020-11-23,487
2020-11-24,487
2020-11-25,487
2020-11-26,487
2020-11-27,487
2020-11-28,487
2020-11-29,487
2020-11-30,487
2020-12-01,487
2020-12-02,487
2020-12-03,487
2020-12-04,487
2020-12-05,487
2020-12-06,487
2020-12-07,487
2020-12-08,487
2020-12-09,487
2020-12-10,487
2020-12-11,487
2020-12-12,487
2020-12-13,487
2020-12-14,487
2020-12-15,487
2020-12-16,487
2020-12-17,487
2020-12-18,487
2020-12-19,487
2020-12-20,487
2020-12-21,487
2020-12-22,487
2020-12-23,487
2020-12-24,487
2020-12-25,487
2020-12-26,487
2020-12-27,487
2020-12-28,487
2020-12-29,487
2021-01-03,487
2021-01-04,487
2021-01-05,487
2021-01-06,487
2021-01-07,487
2021-01-08,487
2021-01-09,487
2021-01-10,487
2021-01-11,487
2021-01-12,487
2021-01-13,487
2021-01-14,487
2021-01-15,487
2021-01-16,487
2021-01-17,487
2021-01-18,487
2021-01-19,487
2021-01-20,487
2021-01-21,487
2021-01-22,487
2021-01-23,487
2021-01-24,487
2021-01-25,487
2021-01-26,487
2021-01-27,487
2021-01-28,487
2021-01-29,487
2021-01-30,487
2021-01-31,487
