Date,Confirmed
2020-05-01,209
2020-05-02,211
2020-05-03,216
2020-05-04,234
2020-05-05,243
2020-05-06,243
2020-05-07,248
2020-05-08,258
2020-05-09,268
2020-05-10,278
2020-05-11,288
2020-05-12,309
2020-05-13,317
2020-05-14,330
2020-05-15,344
2020-05-16,349
2020-05-17,392
2020-05-18,406
2020-05-19,423
2020-05-20,453
2020-05-21,469
2020-05-22,500
2020-05-23,518
2020-05-24,523
2020-05-25,530
2020-05-26,536
2020-05-27,538
2020-05-28,549
2020-05-29,565
2020-05-30,580
2020-05-31,587
2020-06-01,597
2020-06-02,604
2020-06-03,615
2020-06-04,622
2020-06-05,628
2020-06-06,640
2020-06-07,652
2020-06-08,661
2020-06-09,679
2020-06-10,695
2020-06-11,710
2020-06-12,719
2020-06-13,734
2020-06-14,756
2020-06-15,771
2020-06-16,788
2020-06-17,811
2020-06-18,832
2020-06-19,857
2020-06-20,871
2020-06-21,899
2020-06-22,919
2020-06-23,939
2020-06-24,958
2020-06-25,1013
2020-06-26,1072
2020-06-27,1098
2020-06-28,1130
2020-06-29,1178
2020-06-30,1242
2020-07-01,1281
2020-07-02,1350
2020-07-03,1410
2020-07-04,1479
2020-07-05,1539
2020-07-06,1578
2020-07-07,1614
2020-07-08,1656
2020-07-09,1728
2020-07-10,1774
2020-07-11,1795
2020-07-12,1817
2020-07-13,1837
2020-07-14,1855
2020-07-15,1913
2020-07-16,2011
2020-07-17,2069
2020-07-18,2112
2020-07-19,2176
2020-07-20,2216
2020-07-21,2240
2020-07-22,2270
2020-07-23,2340
2020-07-24,2340
2020-07-25,2363
2020-07-26,2409
2020-07-27,2458
2020-07-28,2499
2020-07-29,2511
2020-07-30,2526
2020-07-31,2537
2020-08-01,2545
2020-08-02,2558
2020-08-03,2575
2020-08-04,2590
2020-08-05,2608
2020-08-06,2627
2020-08-07,2642
2020-08-08,2659
2020-08-09,2673
2020-08-10,2689
2020-08-11,2704
2020-08-12,2712
2020-08-13,2712
2020-08-14,2735
2020-08-15,2746
2020-08-16,2758
2020-08-17,2769
2020-08-18,2780
2020-08-19,2788
2020-08-20,2844
2020-08-21,2857
2020-08-22,2857
2020-08-23,2859
2020-08-24,2875
2020-08-25,2890
2020-08-26,2903
2020-08-27,2927
2020-08-28,2936
2020-08-29,2936
2020-08-30,2938
2020-08-31,2970
2020-09-01,2980
2020-09-02,2997
2020-09-03,3008
2020-09-04,3019
2020-09-05,3021
2020-09-06,3039
2020-09-07,3040
2020-09-08,3049
2020-09-09,3068
2020-09-10,3077
2020-09-11,3090
2020-09-12,3098
2020-09-13,3104
2020-09-14,3113
2020-09-15,3136
2020-09-16,3148
2020-09-17,3158
2020-09-18,3164
2020-09-19,3179
2020-09-20,3184
2020-09-21,3184
2020-09-22,3187
2020-09-23,3207
2020-09-24,3207
2020-09-25,3213
2020-09-26,3222
2020-09-27,3227
2020-09-28,3227
2020-09-29,3227
2020-09-30,3237
2020-10-01,3243
2020-10-02,3253
2020-10-03,3258
2020-10-04,3260
2020-10-05,3263
2020-10-06,3263
2020-10-07,3269
2020-10-08,3269
2020-10-09,3274
2020-10-10,3282
2020-10-11,3282
2020-10-12,3289
2020-10-13,3295
2020-10-14,3295
2020-10-15,3302
2020-10-16,3308
2020-10-17,3340
2020-10-18,3340
2020-10-19,3340
2020-10-20,3363
2020-10-21,3363
2020-10-22,3386
2020-10-23,3408
2020-10-24,3408
2020-10-25,3408
2020-10-26,3408
2020-10-28,3408
2020-10-29,3408
2020-10-30,3408
2020-10-31,3408
2020-11-01,3408
2020-11-02,3408
2020-11-03,3408
2020-11-04,3408
2020-11-05,3408
2020-11-06,3408
2020-11-07,3408
2020-11-08,3408
2020-11-09,3408
2020-11-10,3408
2020-11-11,3408
2020-11-12,3408
2020-11-13,3408
2020-11-14,3408
2020-11-15,3408
2020-11-16,3408
2020-11-17,3408
2020-11-18,3408
2020-11-19,3408
2020-11-20,3408
2020-11-21,3408
2020-11-22,3408
2020-11-23,3408
2020-11-24,3408
2020-11-25,3408
2020-11-26,3408
2020-11-27,3408
2020-11-28,3408
2020-11-29,3408
2020-11-30,3408
2020-12-01,3408
2020-12-02,3408
2020-12-03,3408
2020-12-04,3408
2020-12-05,3408
2020-12-06,3408
2020-12-07,3408
2020-12-08,3408
2020-12-09,3408
2020-12-10,3408
2020-12-11,3408
2020-12-12,3408
2020-12-13,3408
2020-12-14,3408
2020-12-15,3408
2020-12-16,3408
2020-12-17,3408
2020-12-18,3408
2020-12-19,3408
2020-12-20,3408
2020-12-21,3408
2020-12-22,3408
2020-12-23,3408
2020-12-24,3408
2020-12-25,3408
2020-12-26,3408
2020-12-27,3408
2020-12-28,3408
2020-12-29,3408
2021-01-03,3408
2021-01-04,3408
2021-01-05,3408
2021-01-06,3408
2021-01-07,3408
2021-01-08,3408
2021-01-09,3408
2021-01-10,3408
2021-01-11,3408
2021-01-12,3408
2021-01-13,3408
2021-01-14,3408
2021-01-15,3408
2021-01-16,3408
2021-01-17,3408
2021-01-18,3408
2021-01-19,3408
2021-01-20,3408
2021-01-21,3408
2021-01-22,3408
2021-01-23,3408
2021-01-24,3408
2021-01-25,3408
2021-01-26,3408
2021-01-27,3408
2021-01-28,3408
2021-01-29,3408
2021-01-30,3408
2021-01-31,3408
