Date,Confirmed
2020-05-01,6
2020-05-02,9
2020-05-03,9
2020-05-04,9
2020-05-05,9
2020-05-06,9
2020-05-07,9
2020-05-08,13
2020-05-09,13
2020-05-10,14
2020-05-11,14
2020-05-12,14
2020-05-13,14
2020-05-14,14
2020-05-15,14
2020-05-16,14
2020-05-17,14
2020-05-18,14
2020-05-19,14
2020-05-20,14
2020-05-21,14
2020-05-22,14
2020-05-23,14
2020-05-24,14
2020-05-25,14
2020-05-26,14
2020-05-27,14
2020-05-28,14
2020-05-29,14
2020-05-30,14
2020-05-31,14
2020-06-01,14
2020-06-02,14
2020-06-03,14
2020-06-04,14
2020-06-05,14
2020-06-06,14
2020-06-07,14
2020-06-08,14
2020-06-09,14
2020-06-10,14
2020-06-11,14
2020-06-12,14
2020-06-13,14
2020-06-14,14
2020-06-15,14
2020-06-16,14
2020-06-17,14
2020-06-18,14
2020-06-19,14
2020-06-20,14
2020-06-21,16
2020-06-22,16
2020-06-23,16
2020-06-24,16
2020-06-25,16
2020-06-26,16
2020-06-27,16
2020-06-28,16
2020-06-29,16
2020-06-30,16
2020-07-01,25
2020-07-02,25
2020-07-03,28
2020-07-04,28
2020-07-05,28
2020-07-06,28
2020-07-07,28
2020-07-08,28
2020-07-09,28
2020-07-10,28
2020-07-11,28
2020-07-12,28
2020-07-13,28
2020-07-14,28
2020-07-15,28
2020-07-16,28
2020-07-17,37
2020-07-18,53
2020-07-19,53
2020-07-20,58
2020-07-21,58
2020-07-22,60
2020-07-23,60
2020-07-24,60
2020-07-25,60
2020-07-26,60
2020-07-27,72
2020-07-28,75
2020-07-29,87
2020-07-30,87
2020-07-31,88
2020-08-01,88
2020-08-02,88
2020-08-03,89
2020-08-04,113
2020-08-05,113
2020-08-06,137
2020-08-07,138
2020-08-08,140
2020-08-09,140
2020-08-10,150
2020-08-11,150
2020-08-12,158
2020-08-13,158
2020-08-14,161
2020-08-15,165
2020-08-16,174
2020-08-17,179
2020-08-18,189
2020-08-19,189
2020-08-20,189
2020-08-21,189
2020-08-22,189
2020-08-23,189
2020-08-24,189
2020-08-25,189
2020-08-26,196
2020-08-27,196
2020-08-28,197
2020-08-29,197
2020-08-30,197
2020-08-31,197
2020-09-01,197
2020-09-02,197
2020-09-03,197
2020-09-04,197
2020-09-05,197
2020-09-06,197
2020-09-07,199
2020-09-08,203
2020-09-09,203
2020-09-10,203
2020-09-11,203
2020-09-12,203
2020-09-13,203
2020-09-14,203
2020-09-15,203
2020-09-16,203
2020-09-17,204
2020-09-18,204
2020-09-19,204
2020-09-20,204
2020-09-21,204
2020-09-22,204
2020-09-23,204
2020-09-24,204
2020-09-25,204
2020-09-26,204
2020-09-27,204
2020-09-28,204
2020-09-29,204
2020-09-30,204
2020-10-01,205
2020-10-02,205
2020-10-03,205
2020-10-04,205
2020-10-05,205
2020-10-06,205
2020-10-07,205
2020-10-08,205
2020-10-09,205
2020-10-10,205
2020-10-11,205
2020-10-12,205
2020-10-13,205
2020-10-14,205
2020-10-15,205
2020-10-16,205
2020-10-17,205
2020-10-18,205
2020-10-19,205
2020-10-20,205
2020-10-21,205
2020-10-22,205
2020-10-23,205
2020-10-24,205
2020-10-25,205
2020-10-26,205
2020-10-28,205
2020-10-29,205
2020-10-30,205
2020-10-31,205
2020-11-01,205
2020-11-02,205
2020-11-03,205
2020-11-04,205
2020-11-05,205
2020-11-06,205
2020-11-07,205
2020-11-08,205
2020-11-09,205
2020-11-10,205
2020-11-11,205
2020-11-12,205
2020-11-13,205
2020-11-14,205
2020-11-15,205
2020-11-16,205
2020-11-17,205
2020-11-18,205
2020-11-19,205
2020-11-20,205
2020-11-21,205
2020-11-22,205
2020-11-23,205
2020-11-24,205
2020-11-25,205
2020-11-26,205
2020-11-27,205
2020-11-28,205
2020-11-29,205
2020-11-30,205
2020-12-01,205
2020-12-02,205
2020-12-03,205
2020-12-04,205
2020-12-05,205
2020-12-06,205
2020-12-07,205
2020-12-08,205
2020-12-09,205
2020-12-10,205
2020-12-11,205
2020-12-12,205
2020-12-13,205
2020-12-14,205
2020-12-15,205
2020-12-16,205
2020-12-17,205
2020-12-18,205
2020-12-19,205
2020-12-20,205
2020-12-21,205
2020-12-22,205
2020-12-23,205
2020-12-24,205
2020-12-25,205
2020-12-26,205
2020-12-27,205
2020-12-28,205
2020-12-29,205
2021-01-03,205
2021-01-04,205
2021-01-05,205
2021-01-06,205
2021-01-07,205
2021-01-08,205
2021-01-09,205
2021-01-10,205
2021-01-11,205
2021-01-12,205
2021-01-13,205
2021-01-14,205
2021-01-15,205
2021-01-16,205
2021-01-17,205
2021-01-18,205
2021-01-19,205
2021-01-20,205
2021-01-21,205
2021-01-22,205
2021-01-23,205
2021-01-24,205
2021-01-25,205
2021-01-26,205
2021-01-27,205
2021-01-28,205
2021-01-29,205
2021-01-30,205
2021-01-31,205
