Date,Confirmed
2020-05-01,143
2020-05-02,161
2020-05-03,169
2020-05-04,175
2020-05-05,175
2020-05-06,188
2020-05-07,193
2020-05-08,194
2020-05-09,204
2020-05-10,212
2020-05-11,224
2020-05-12,231
2020-05-13,245
2020-05-14,247
2020-05-15,249
2020-05-16,256
2020-05-17,272
2020-05-18,275
2020-05-19,280
2020-05-20,280
2020-05-21,292
2020-05-22,292
2020-05-23,309
2020-05-24,309
2020-05-25,322
2020-05-26,322
2020-05-27,325
2020-05-28,329
2020-05-29,329
2020-05-30,329
2020-05-31,335
2020-06-01,337
2020-06-02,340
2020-06-03,343
2020-06-04,346
2020-06-05,348
2020-06-06,350
2020-06-07,352
2020-06-08,356
2020-06-09,359
2020-06-10,361
2020-06-11,364
2020-06-12,367
2020-06-13,369
2020-06-14,371
2020-06-15,371
2020-06-16,374
2020-06-17,377
2020-06-18,377
2020-06-19,377
2020-06-20,377
2020-06-21,378
2020-06-22,380
2020-06-23,380
2020-06-24,385
2020-06-25,389
2020-06-26,394
2020-06-27,397
2020-06-28,401
2020-06-29,408
2020-06-30,420
2020-07-01,447
2020-07-02,461
2020-07-03,461
2020-07-04,510
2020-07-05,535
2020-07-06,547
2020-07-07,561
2020-07-08,580
2020-07-09,588
2020-07-10,588
2020-07-11,595
2020-07-12,606
2020-07-13,630
2020-07-14,644
2020-07-15,649
2020-07-16,663
2020-07-17,676
2020-07-18,693
2020-07-19,704
2020-07-20,716
2020-07-21,723
2020-07-22,745
2020-07-23,760
2020-07-24,769
2020-07-25,798
2020-07-26,814
2020-07-27,826
2020-07-28,836
2020-07-29,849
2020-07-30,879
2020-07-31,890
2020-08-01,908
2020-08-02,917
2020-08-03,931
2020-08-04,949
2020-08-05,969
2020-08-06,975
2020-08-07,985
2020-08-08,993
2020-08-09,1004
2020-08-10,1015
2020-08-11,1030
2020-08-12,1040
2020-08-13,1040
2020-08-14,1071
2020-08-15,1089
2020-08-16,1099
2020-08-17,1110
2020-08-18,1120
2020-08-19,1121
2020-08-20,1125
2020-08-21,1130
2020-08-22,1141
2020-08-23,1161
2020-08-24,1171
2020-08-25,1187
2020-08-26,1196
2020-08-27,1204
2020-08-28,1209
2020-08-29,1216
2020-08-30,1232
2020-08-31,1241
2020-09-01,1253
2020-09-02,1261
2020-09-03,1271
2020-09-04,1276
2020-09-05,1284
2020-09-06,1291
2020-09-07,1295
2020-09-08,1301
2020-09-09,1303
2020-09-10,1306
2020-09-11,1307
2020-09-12,1312
2020-09-13,1319
2020-09-14,1327
2020-09-15,1335
2020-09-16,1339
2020-09-17,1344
2020-09-18,1346
2020-09-19,1360
2020-09-20,1364
2020-09-21,1368
2020-09-22,1376
2020-09-23,1380
2020-09-24,1380
2020-09-25,1387
2020-09-26,1393
2020-09-27,1403
2020-09-28,1406
2020-09-29,1406
2020-09-30,1413
2020-10-01,1418
2020-10-02,1423
2020-10-03,1427
2020-10-04,1434
2020-10-05,1437
2020-10-06,1441
2020-10-07,1444
2020-10-08,1448
2020-10-09,1450
2020-10-10,1457
2020-10-11,1459
2020-10-12,1462
2020-10-13,1467
2020-10-14,1467
2020-10-15,1473
2020-10-16,1477
2020-10-17,1488
2020-10-18,1492
2020-10-19,1492
2020-10-20,1499
2020-10-21,1499
2020-10-22,1505
2020-10-23,1505
2020-10-24,1505
2020-10-25,1505
2020-10-26,1505
2020-10-28,1505
2020-10-29,1505
2020-10-30,1505
2020-10-31,1505
2020-11-01,1505
2020-11-02,1505
2020-11-03,1505
2020-11-04,1505
2020-11-05,1505
2020-11-06,1505
2020-11-07,1505
2020-11-08,1505
2020-11-09,1505
2020-11-10,1505
2020-11-11,1505
2020-11-12,1505
2020-11-13,1505
2020-11-14,1505
2020-11-15,1505
2020-11-16,1505
2020-11-17,1505
2020-11-18,1505
2020-11-19,1505
2020-11-20,1505
2020-11-21,1505
2020-11-22,1505
2020-11-23,1505
2020-11-24,1505
2020-11-25,1505
2020-11-26,1505
2020-11-27,1505
2020-11-28,1505
2020-11-29,1505
2020-11-30,1505
2020-12-01,1505
2020-12-02,1505
2020-12-03,1505
2020-12-04,1505
2020-12-05,1505
2020-12-06,1505
2020-12-07,1505
2020-12-08,1505
2020-12-09,1505
2020-12-10,1505
2020-12-11,1505
2020-12-12,1505
2020-12-13,1505
2020-12-14,1505
2020-12-15,1505
2020-12-16,1505
2020-12-17,1505
2020-12-18,1505
2020-12-19,1505
2020-12-20,1505
2020-12-21,1505
2020-12-22,1505
2020-12-23,1505
2020-12-24,1505
2020-12-25,1505
2020-12-26,1505
2020-12-27,1505
2020-12-28,1505
2020-12-29,1505
2021-01-03,1505
2021-01-04,1505
2021-01-05,1505
2021-01-06,1505
2021-01-07,1505
2021-01-08,1505
2021-01-09,1505
2021-01-10,1505
2021-01-11,1505
2021-01-12,1505
2021-01-13,1505
2021-01-14,1505
2021-01-15,1505
2021-01-16,1505
2021-01-17,1505
2021-01-18,1505
2021-01-19,1505
2021-01-20,1505
2021-01-21,1505
2021-01-22,1505
2021-01-23,1505
2021-01-24,1505
2021-01-25,1505
2021-01-26,1505
2021-01-27,1505
2021-01-28,1505
2021-01-29,1505
2021-01-30,1505
2021-01-31,1505
