Date,Confirmed
2020-05-01,46
2020-05-02,46
2020-05-03,47
2020-05-04,51
2020-05-05,52
2020-05-06,54
2020-05-07,55
2020-05-08,59
2020-05-09,61
2020-05-10,63
2020-05-11,63
2020-05-12,63
2020-05-13,64
2020-05-14,64
2020-05-15,64
2020-05-16,67
2020-05-17,67
2020-05-18,68
2020-05-19,68
2020-05-20,68
2020-05-21,70
2020-05-22,70
2020-05-23,70
2020-05-24,74
2020-05-25,77
2020-05-26,79
2020-05-27,79
2020-05-28,79
2020-05-29,80
2020-05-30,81
2020-05-31,81
2020-06-01,81
2020-06-02,81
2020-06-03,81
2020-06-04,84
2020-06-05,85
2020-06-06,85
2020-06-07,85
2020-06-08,85
2020-06-09,85
2020-06-10,87
2020-06-11,88
2020-06-12,88
2020-06-13,89
2020-06-14,91
2020-06-15,94
2020-06-16,94
2020-06-17,94
2020-06-18,94
2020-06-19,95
2020-06-20,95
2020-06-21,95
2020-06-22,96
2020-06-23,96
2020-06-24,96
2020-06-25,97
2020-06-26,97
2020-06-27,102
2020-06-28,102
2020-06-29,103
2020-06-30,116
2020-07-01,119
2020-07-02,125
2020-07-03,125
2020-07-04,125
2020-07-05,125
2020-07-06,133
2020-07-07,138
2020-07-08,138
2020-07-09,138
2020-07-10,161
2020-07-11,166
2020-07-12,172
2020-07-13,203
2020-07-14,203
2020-07-15,203
2020-07-16,206
2020-07-17,216
2020-07-18,231
2020-07-19,231
2020-07-20,231
2020-07-21,236
2020-07-22,250
2020-07-23,250
2020-07-24,254
2020-07-25,254
2020-07-26,260
2020-07-27,287
2020-07-28,289
2020-07-29,295
2020-07-30,295
2020-07-31,295
2020-08-01,295
2020-08-02,303
2020-08-03,304
2020-08-04,309
2020-08-05,309
2020-08-06,309
2020-08-07,309
2020-08-08,309
2020-08-09,309
2020-08-10,321
2020-08-11,331
2020-08-12,334
2020-08-13,334
2020-08-14,336
2020-08-15,337
2020-08-16,343
2020-08-17,349
2020-08-18,349
2020-08-19,349
2020-08-20,349
2020-08-21,353
2020-08-22,363
2020-08-23,363
2020-08-24,363
2020-08-25,364
2020-08-26,371
2020-08-27,373
2020-08-28,385
2020-08-29,386
2020-08-30,386
2020-08-31,391
2020-09-01,405
2020-09-02,405
2020-09-03,405
2020-09-04,405
2020-09-05,405
2020-09-06,405
2020-09-07,407
2020-09-08,407
2020-09-09,407
2020-09-10,407
2020-09-11,408
2020-09-12,412
2020-09-13,412
2020-09-14,416
2020-09-15,424
2020-09-16,424
2020-09-17,424
2020-09-18,426
2020-09-19,426
2020-09-20,427
2020-09-21,428
2020-09-22,429
2020-09-23,429
2020-09-24,429
2020-09-25,429
2020-09-26,429
2020-09-27,430
2020-09-28,431
2020-09-29,431
2020-09-30,431
2020-10-01,431
2020-10-02,431
2020-10-03,431
2020-10-04,431
2020-10-05,432
2020-10-06,432
2020-10-07,432
2020-10-08,432
2020-10-09,432
2020-10-10,432
2020-10-11,432
2020-10-12,432
2020-10-13,432
2020-10-14,432
2020-10-15,433
2020-10-16,435
2020-10-17,435
2020-10-18,435
2020-10-19,435
2020-10-20,435
2020-10-21,435
2020-10-22,435
2020-10-23,435
2020-10-24,435
2020-10-25,435
2020-10-26,435
2020-10-28,435
2020-10-29,435
2020-10-30,435
2020-10-31,435
2020-11-01,435
2020-11-02,435
2020-11-03,435
2020-11-04,435
2020-11-05,435
2020-11-06,435
2020-11-07,435
2020-11-08,435
2020-11-09,435
2020-11-10,435
2020-11-11,435
2020-11-12,435
2020-11-13,435
2020-11-14,435
2020-11-15,435
2020-11-16,435
2020-11-17,435
2020-11-18,435
2020-11-19,435
2020-11-20,435
2020-11-21,435
2020-11-22,435
2020-11-23,435
2020-11-24,435
2020-11-25,435
2020-11-26,435
2020-11-27,435
2020-11-28,435
2020-11-29,435
2020-11-30,435
2020-12-01,435
2020-12-02,435
2020-12-03,435
2020-12-04,435
2020-12-05,435
2020-12-06,435
2020-12-07,435
2020-12-08,435
2020-12-09,435
2020-12-10,435
2020-12-11,435
2020-12-12,435
2020-12-13,435
2020-12-14,435
2020-12-15,435
2020-12-16,435
2020-12-17,435
2020-12-18,435
2020-12-19,435
2020-12-20,435
2020-12-21,435
2020-12-22,435
2020-12-23,435
2020-12-24,435
2020-12-25,435
2020-12-26,435
2020-12-27,435
2020-12-28,435
2020-12-29,435
2021-01-03,435
2021-01-04,435
2021-01-05,435
2021-01-06,435
2021-01-07,435
2021-01-08,435
2021-01-09,435
2021-01-10,435
2021-01-11,435
2021-01-12,435
2021-01-13,435
2021-01-14,435
2021-01-15,435
2021-01-16,435
2021-01-17,435
2021-01-18,435
2021-01-19,435
2021-01-20,435
2021-01-21,435
2021-01-22,435
2021-01-23,435
2021-01-24,435
2021-01-25,435
2021-01-26,435
2021-01-27,435
2021-01-28,435
2021-01-29,435
2021-01-30,435
2021-01-31,435
