Date,Confirmed
2020-05-01,105
2020-05-02,105
2020-05-03,106
2020-05-04,108
2020-05-05,108
2020-05-06,109
2020-05-07,111
2020-05-08,116
2020-05-09,120
2020-05-10,124
2020-05-11,124
2020-05-12,124
2020-05-13,124
2020-05-14,129
2020-05-15,130
2020-05-16,131
2020-05-17,131
2020-05-18,133
2020-05-19,137
2020-05-20,142
2020-05-21,143
2020-05-22,144
2020-05-23,146
2020-05-24,146
2020-05-25,147
2020-05-26,149
2020-05-27,149
2020-05-28,150
2020-05-29,152
2020-05-30,157
2020-05-31,165
2020-06-01,165
2020-06-02,168
2020-06-03,168
2020-06-04,170
2020-06-05,173
2020-06-06,173
2020-06-07,175
2020-06-08,175
2020-06-09,179
2020-06-10,179
2020-06-11,180
2020-06-12,180
2020-06-13,182
2020-06-14,183
2020-06-15,185
2020-06-16,186
2020-06-17,189
2020-06-18,191
2020-06-19,191
2020-06-20,192
2020-06-21,193
2020-06-22,196
2020-06-23,202
2020-06-24,203
2020-06-25,207
2020-06-26,212
2020-06-27,223
2020-06-28,229
2020-06-29,231
2020-06-30,236
2020-07-01,244
2020-07-02,249
2020-07-03,253
2020-07-04,253
2020-07-05,259
2020-07-06,260
2020-07-07,280
2020-07-08,281
2020-07-09,299
2020-07-10,299
2020-07-11,301
2020-07-12,342
2020-07-13,343
2020-07-14,369
2020-07-15,400
2020-07-16,416
2020-07-17,447
2020-07-18,449
2020-07-19,463
2020-07-20,486
2020-07-21,487
2020-07-22,492
2020-07-23,514
2020-07-24,516
2020-07-25,535
2020-07-26,536
2020-07-27,536
2020-07-28,536
2020-07-29,536
2020-07-30,536
2020-07-31,536
2020-08-01,536
2020-08-02,536
2020-08-03,536
2020-08-04,536
2020-08-05,536
2020-08-06,536
2020-08-07,536
2020-08-08,536
2020-08-09,536
2020-08-10,536
2020-08-11,536
2020-08-12,549
2020-08-13,549
2020-08-14,555
2020-08-15,555
2020-08-16,555
2020-08-17,555
2020-08-18,555
2020-08-19,555
2020-08-20,555
2020-08-21,555
2020-08-22,555
2020-08-23,555
2020-08-24,590
2020-08-25,610
2020-08-26,651
2020-08-27,689
2020-08-28,712
2020-08-29,750
2020-08-30,778
2020-08-31,784
2020-09-01,841
2020-09-02,859
2020-09-03,885
2020-09-04,888
2020-09-05,913
2020-09-06,957
2020-09-07,973
2020-09-08,981
2020-09-09,1006
2020-09-10,1013
2020-09-11,1027
2020-09-12,1059
2020-09-13,1070
2020-09-14,1083
2020-09-15,1084
2020-09-16,1084
2020-09-17,1085
2020-09-18,1085
2020-09-19,1123
2020-09-20,1151
2020-09-21,1162
2020-09-22,1162
2020-09-23,1162
2020-09-24,1162
2020-09-25,1199
2020-09-26,1212
2020-09-27,1234
2020-09-28,1245
2020-09-29,1245
2020-09-30,1270
2020-10-01,1278
2020-10-02,1278
2020-10-03,1316
2020-10-04,1325
2020-10-05,1330
2020-10-06,1338
2020-10-07,1338
2020-10-08,1347
2020-10-09,1351
2020-10-10,1362
2020-10-11,1366
2020-10-12,1374
2020-10-13,1381
2020-10-14,1381
2020-10-15,1404
2020-10-16,1412
2020-10-17,1423
2020-10-18,1442
2020-10-19,1442
2020-10-20,1463
2020-10-21,1463
2020-10-22,1488
2020-10-23,1497
2020-10-24,1497
2020-10-25,1497
2020-10-26,1497
2020-10-28,1497
2020-10-29,1497
2020-10-30,1497
2020-10-31,1497
2020-11-01,1497
2020-11-02,1497
2020-11-03,1497
2020-11-04,1497
2020-11-05,1497
2020-11-06,1497
2020-11-07,1497
2020-11-08,1497
2020-11-09,1497
2020-11-10,1497
2020-11-11,1497
2020-11-12,1497
2020-11-13,1497
2020-11-14,1497
2020-11-15,1497
2020-11-16,1497
2020-11-17,1497
2020-11-18,1497
2020-11-19,1497
2020-11-20,1497
2020-11-21,1497
2020-11-22,1497
2020-11-23,1497
2020-11-24,1497
2020-11-25,1497
2020-11-26,1497
2020-11-27,1497
2020-11-28,1497
2020-11-29,1497
2020-11-30,1497
2020-12-01,1497
2020-12-02,1497
2020-12-03,1497
2020-12-04,1497
2020-12-05,1497
2020-12-06,1497
2020-12-07,1497
2020-12-08,1497
2020-12-09,1497
2020-12-10,1497
2020-12-11,1497
2020-12-12,1497
2020-12-13,1497
2020-12-14,1497
2020-12-15,1497
2020-12-16,1497
2020-12-17,1497
2020-12-18,1497
2020-12-19,1497
2020-12-20,1497
2020-12-21,1497
2020-12-22,1497
2020-12-23,1497
2020-12-24,1497
2020-12-25,1497
2020-12-26,1497
2020-12-27,1497
2020-12-28,1497
2020-12-29,1497
2021-01-03,1497
2021-01-04,1497
2021-01-05,1497
2021-01-06,1497
2021-01-07,1497
2021-01-08,1497
2021-01-09,1497
2021-01-10,1497
2021-01-11,1497
2021-01-12,1497
2021-01-13,1497
2021-01-14,1497
2021-01-15,1497
2021-01-16,1497
2021-01-17,1497
2021-01-18,1497
2021-01-19,1497
2021-01-20,1497
2021-01-21,1497
2021-01-22,1497
2021-01-23,1497
2021-01-24,1497
2021-01-25,1497
2021-01-26,1497
2021-01-27,1497
2021-01-28,1497
2021-01-29,1497
2021-01-30,1497
2021-01-31,1497
