Date,Confirmed
2020-05-01,99
2020-05-02,99
2020-05-03,117
2020-05-04,128
2020-05-05,136
2020-05-06,136
2020-05-07,148
2020-05-08,162
2020-05-09,173
2020-05-10,192
2020-05-11,199
2020-05-12,199
2020-05-13,199
2020-05-14,209
2020-05-15,209
2020-05-16,222
2020-05-17,223
2020-05-18,228
2020-05-19,232
2020-05-20,233
2020-05-21,243
2020-05-22,246
2020-05-23,246
2020-05-24,256
2020-05-25,256
2020-05-26,259
2020-05-27,260
2020-05-28,266
2020-05-29,273
2020-05-30,275
2020-05-31,278
2020-06-01,278
2020-06-02,278
2020-06-03,281
2020-06-04,285
2020-06-05,290
2020-06-06,290
2020-06-07,290
2020-06-08,292
2020-06-09,293
2020-06-10,296
2020-06-11,296
2020-06-12,299
2020-06-13,301
2020-06-14,303
2020-06-15,305
2020-06-16,308
2020-06-17,308
2020-06-18,311
2020-06-19,313
2020-06-20,315
2020-06-21,315
2020-06-22,315
2020-06-23,316
2020-06-24,318
2020-06-25,319
2020-06-26,321
2020-06-27,321
2020-06-28,324
2020-06-29,328
2020-06-30,339
2020-07-01,351
2020-07-02,359
2020-07-03,360
2020-07-04,361
2020-07-05,373
2020-07-06,376
2020-07-07,398
2020-07-08,398
2020-07-09,398
2020-07-10,426
2020-07-11,434
2020-07-12,459
2020-07-13,465
2020-07-14,474
2020-07-15,484
2020-07-16,495
2020-07-17,515
2020-07-18,515
2020-07-19,530
2020-07-20,545
2020-07-21,549
2020-07-22,556
2020-07-23,561
2020-07-24,567
2020-07-25,574
2020-07-26,582
2020-07-27,594
2020-07-28,600
2020-07-29,605
2020-07-30,635
2020-07-31,655
2020-08-01,662
2020-08-02,680
2020-08-03,696
2020-08-04,696
2020-08-05,708
2020-08-06,708
2020-08-07,713
2020-08-08,733
2020-08-09,752
2020-08-10,765
2020-08-11,791
2020-08-12,799
2020-08-13,799
2020-08-14,831
2020-08-15,846
2020-08-16,861
2020-08-17,884
2020-08-18,908
2020-08-19,929
2020-08-20,948
2020-08-21,951
2020-08-22,976
2020-08-23,987
2020-08-24,1001
2020-08-25,1015
2020-08-26,1022
2020-08-27,1025
2020-08-28,1032
2020-08-29,1047
2020-08-30,1047
2020-08-31,1076
2020-09-01,1091
2020-09-02,1111
2020-09-03,1117
2020-09-04,1126
2020-09-05,1142
2020-09-06,1160
2020-09-07,1165
2020-09-08,1172
2020-09-09,1182
2020-09-10,1182
2020-09-11,1189
2020-09-12,1205
2020-09-13,1216
2020-09-14,1216
2020-09-15,1227
2020-09-16,1235
2020-09-17,1252
2020-09-18,1262
2020-09-19,1271
2020-09-20,1274
2020-09-21,1282
2020-09-22,1287
2020-09-23,1299
2020-09-24,1299
2020-09-25,1311
2020-09-26,1323
2020-09-27,1327
2020-09-28,1328
2020-09-29,1328
2020-09-30,1334
2020-10-01,1340
2020-10-02,1340
2020-10-03,1348
2020-10-04,1348
2020-10-05,1348
2020-10-06,1351
2020-10-07,1351
2020-10-08,1356
2020-10-09,1356
2020-10-10,1365
2020-10-11,1365
2020-10-12,1369
2020-10-13,1371
2020-10-14,1371
2020-10-15,1376
2020-10-16,1380
2020-10-17,1387
2020-10-18,1389
2020-10-19,1389
2020-10-20,1394
2020-10-21,1394
2020-10-22,1405
2020-10-23,1405
2020-10-24,1405
2020-10-25,1405
2020-10-26,1405
2020-10-28,1405
2020-10-29,1405
2020-10-30,1405
2020-10-31,1405
2020-11-01,1405
2020-11-02,1405
2020-11-03,1405
2020-11-04,1405
2020-11-05,1405
2020-11-06,1405
2020-11-07,1405
2020-11-08,1405
2020-11-09,1405
2020-11-10,1405
2020-11-11,1405
2020-11-12,1405
2020-11-13,1405
2020-11-14,1405
2020-11-15,1405
2020-11-16,1405
2020-11-17,1405
2020-11-18,1405
2020-11-19,1405
2020-11-20,1405
2020-11-21,1405
2020-11-22,1405
2020-11-23,1405
2020-11-24,1405
2020-11-25,1405
2020-11-26,1405
2020-11-27,1405
2020-11-28,1405
2020-11-29,1405
2020-11-30,1405
2020-12-01,1405
2020-12-02,1405
2020-12-03,1405
2020-12-04,1405
2020-12-05,1405
2020-12-06,1405
2020-12-07,1405
2020-12-08,1405
2020-12-09,1405
2020-12-10,1405
2020-12-11,1405
2020-12-12,1405
2020-12-13,1405
2020-12-14,1405
2020-12-15,1405
2020-12-16,1405
2020-12-17,1405
2020-12-18,1405
2020-12-19,1405
2020-12-20,1405
2020-12-21,1405
2020-12-22,1405
2020-12-23,1405
2020-12-24,1405
2020-12-25,1405
2020-12-26,1405
2020-12-27,1405
2020-12-28,1405
2020-12-29,1405
2021-01-03,1405
2021-01-04,1405
2021-01-05,1405
2021-01-06,1405
2021-01-07,1405
2021-01-08,1405
2021-01-09,1405
2021-01-10,1405
2021-01-11,1405
2021-01-12,1405
2021-01-13,1405
2021-01-14,1405
2021-01-15,1405
2021-01-16,1405
2021-01-17,1405
2021-01-18,1405
2021-01-19,1405
2021-01-20,1405
2021-01-21,1405
2021-01-22,1405
2021-01-23,1405
2021-01-24,1405
2021-01-25,1405
2021-01-26,1405
2021-01-27,1405
2021-01-28,1405
2021-01-29,1405
2021-01-30,1405
2021-01-31,1405
