Date,Confirmed
2020-05-01,33
2020-05-02,33
2020-05-03,33
2020-05-04,34
2020-05-05,36
2020-05-06,37
2020-05-07,37
2020-05-08,39
2020-05-09,39
2020-05-10,39
2020-05-11,39
2020-05-12,43
2020-05-13,46
2020-05-14,46
2020-05-15,47
2020-05-16,47
2020-05-17,49
2020-05-18,49
2020-05-19,51
2020-05-20,57
2020-05-21,57
2020-05-22,58
2020-05-23,60
2020-05-24,64
2020-05-25,65
2020-05-26,66
2020-05-27,66
2020-05-28,66
2020-05-29,67
2020-05-30,68
2020-05-31,72
2020-06-01,76
2020-06-02,77
2020-06-03,81
2020-06-04,84
2020-06-05,84
2020-06-06,85
2020-06-07,87
2020-06-08,89
2020-06-09,93
2020-06-10,95
2020-06-11,96
2020-06-12,98
2020-06-13,100
2020-06-14,103
2020-06-15,104
2020-06-16,106
2020-06-17,110
2020-06-18,111
2020-06-19,112
2020-06-20,113
2020-06-21,117
2020-06-22,122
2020-06-23,130
2020-06-24,136
2020-06-25,143
2020-06-26,144
2020-06-27,152
2020-06-28,165
2020-06-29,177
2020-06-30,181
2020-07-01,182
2020-07-02,190
2020-07-03,206
2020-07-04,206
2020-07-05,208
2020-07-06,208
2020-07-07,226
2020-07-08,226
2020-07-09,242
2020-07-10,243
2020-07-11,248
2020-07-12,272
2020-07-13,297
2020-07-14,320
2020-07-15,320
2020-07-16,335
2020-07-17,335
2020-07-18,351
2020-07-19,363
2020-07-20,374
2020-07-21,389
2020-07-22,402
2020-07-23,402
2020-07-24,413
2020-07-25,441
2020-07-26,442
2020-07-27,443
2020-07-28,458
2020-07-29,458
2020-07-30,484
2020-07-31,495
2020-08-01,503
2020-08-02,503
2020-08-03,514
2020-08-04,521
2020-08-05,528
2020-08-06,528
2020-08-07,536
2020-08-08,549
2020-08-09,556
2020-08-10,565
2020-08-11,573
2020-08-12,574
2020-08-13,574
2020-08-14,592
2020-08-15,608
2020-08-16,624
2020-08-17,636
2020-08-18,642
2020-08-19,649
2020-08-20,672
2020-08-21,673
2020-08-22,678
2020-08-23,688
2020-08-24,692
2020-08-25,692
2020-08-26,692
2020-08-27,696
2020-08-28,706
2020-08-29,720
2020-08-30,724
2020-08-31,727
2020-09-01,737
2020-09-02,743
2020-09-03,760
2020-09-04,773
2020-09-05,797
2020-09-06,806
2020-09-07,820
2020-09-08,822
2020-09-09,840
2020-09-10,847
2020-09-11,860
2020-09-12,860
2020-09-13,872
2020-09-14,878
2020-09-15,886
2020-09-16,891
2020-09-17,900
2020-09-18,908
2020-09-19,908
2020-09-20,916
2020-09-21,922
2020-09-22,926
2020-09-23,934
2020-09-24,934
2020-09-25,939
2020-09-26,944
2020-09-27,945
2020-09-28,954
2020-09-29,954
2020-09-30,959
2020-10-01,963
2020-10-02,964
2020-10-03,972
2020-10-04,975
2020-10-05,979
2020-10-06,982
2020-10-07,982
2020-10-08,985
2020-10-09,990
2020-10-10,993
2020-10-11,999
2020-10-12,1005
2020-10-13,1011
2020-10-14,1011
2020-10-15,1022
2020-10-16,1023
2020-10-17,1031
2020-10-18,1036
2020-10-19,1036
2020-10-20,1048
2020-10-21,1048
2020-10-22,1054
2020-10-23,1058
2020-10-24,1058
2020-10-25,1058
2020-10-26,1058
2020-10-28,1058
2020-10-29,1058
2020-10-30,1058
2020-10-31,1058
2020-11-01,1058
2020-11-02,1058
2020-11-03,1058
2020-11-04,1058
2020-11-05,1058
2020-11-06,1058
2020-11-07,1058
2020-11-08,1058
2020-11-09,1058
2020-11-10,1058
2020-11-11,1058
2020-11-12,1058
2020-11-13,1058
2020-11-14,1058
2020-11-15,1058
2020-11-16,1058
2020-11-17,1058
2020-11-18,1058
2020-11-19,1058
2020-11-20,1058
2020-11-21,1058
2020-11-22,1058
2020-11-23,1058
2020-11-24,1058
2020-11-25,1058
2020-11-26,1058
2020-11-27,1058
2020-11-28,1058
2020-11-29,1058
2020-11-30,1058
2020-12-01,1058
2020-12-02,1058
2020-12-03,1058
2020-12-04,1058
2020-12-05,1058
2020-12-06,1058
2020-12-07,1058
2020-12-08,1058
2020-12-09,1058
2020-12-10,1058
2020-12-11,1058
2020-12-12,1058
2020-12-13,1058
2020-12-14,1058
2020-12-15,1058
2020-12-16,1058
2020-12-17,1058
2020-12-18,1058
2020-12-19,1058
2020-12-20,1058
2020-12-21,1058
2020-12-22,1058
2020-12-23,1058
2020-12-24,1058
2020-12-25,1058
2020-12-26,1058
2020-12-27,1058
2020-12-28,1058
2020-12-29,1058
2021-01-03,1058
2021-01-04,1058
2021-01-05,1058
2021-01-06,1058
2021-01-07,1058
2021-01-08,1058
2021-01-09,1058
2021-01-10,1058
2021-01-11,1058
2021-01-12,1058
2021-01-13,1058
2021-01-14,1058
2021-01-15,1058
2021-01-16,1058
2021-01-17,1058
2021-01-18,1058
2021-01-19,1058
2021-01-20,1058
2021-01-21,1058
2021-01-22,1058
2021-01-23,1058
2021-01-24,1058
2021-01-25,1058
2021-01-26,1058
2021-01-27,1058
2021-01-28,1058
2021-01-29,1058
2021-01-30,1058
2021-01-31,1058
