Date,Confirmed
2020-05-01,4154
2020-05-02,4295
2020-05-03,4474
2020-05-04,4648
2020-05-05,4838
2020-05-06,4997
2020-05-07,5182
2020-05-08,5369
2020-05-09,5558
2020-05-10,5723
2020-05-11,5891
2020-05-12,6067
2020-05-13,6253
2020-05-14,6442
2020-05-15,6629
2020-05-16,6821
2020-05-17,7019
2020-05-18,7201
2020-05-19,7377
2020-05-20,7542
2020-05-21,7728
2020-05-22,7918
2020-05-23,8113
2020-05-24,8306
2020-05-25,8503
2020-05-26,8697
2020-05-27,8857
2020-05-28,8997
2020-05-29,9134
2020-05-30,9267
2020-05-31,9394
2020-06-01,9513
2020-06-02,9626
2020-06-03,9733
2020-06-04,9831
2020-06-05,9935
2020-06-06,10050
2020-06-07,10154
2020-06-08,10265
2020-06-09,10382
2020-06-10,10484
2020-06-11,10589
2020-06-12,10698
2020-06-13,10810
2020-06-14,10919
2020-06-15,11031
2020-06-16,11147
2020-06-17,11268
2020-06-18,11385
2020-06-19,11504
2020-06-20,11631
2020-06-21,11771
2020-06-22,11920
2020-06-23,12077
2020-06-24,12248
2020-06-25,12445
2020-06-26,12685
2020-06-27,12968
2020-06-28,13273
2020-06-29,13571
2020-06-30,13907
2020-07-01,14272
2020-07-02,14657
2020-07-03,15070
2020-07-04,15500
2020-07-05,15941
2020-07-06,16404
2020-07-07,16879
2020-07-08,17348
2020-07-09,17808
2020-07-10,18242
2020-07-11,18712
2020-07-12,19195
2020-07-13,19689
2020-07-14,20216
2020-07-15,20770
2020-07-16,21355
2020-07-17,21948
2020-07-18,22549
2020-07-19,23084
2020-07-20,23691
2020-07-21,24278
2020-07-22,24872
2020-07-23,25484
2020-07-24,26159
2020-07-25,26764
2020-07-26,27357
2020-07-27,27973
2020-07-28,28615
2020-07-29,29229
2020-07-30,29831
2020-07-31,30394
2020-08-01,30950
2020-08-02,31465
2020-08-03,31972
2020-08-04,32504
2020-08-05,33055
2020-08-06,33626
2020-08-07,34155
2020-08-08,34693
